赤いリボンの白い猫,みんなー！今日は来てくれてありがとう！
ピンクの頭巾の白いうさぎ,本当に嬉しいよー！
ベレー帽の黄色い犬,お礼に、ぼくのとっておきの踊りを披露しちゃう！
子供たち,きゃっきゃ！すごーい！
ヴィーネ,今日は一緒に来てくれてありがとうね、タプちゃん
タプリス,いえいえ、わたしの方こそ、呼んでいただいてありがとうございます！。みんな本当にかわいらしくて、わたし大好きです！
ヴィーネ,そう言ってもらえて、よかった
タプリス,でも、どうして他のみなさんに声をかけなかったんですか？
ヴィーネ,えっとね……、たぶんみんなは、こういうのあまり好きじゃないというか。むしろ誘ったらバカにされるというか……
タプリス,バカにされる？こんなに面白いのにですか？
ヴィーネ,はぁ、やっぱりタプちゃんは天使だわ
タプリス,えっ？
ヴィーネ,私たちがここに来たことは、みんなには内緒ね？
タプリス,は、はぁ……わかりました
白い猫,それじゃあみんな！また会おうね！
白いうさぎ,よかったら、投票お願いねー！応援よろしくー！
黄色い犬,ばいばーい！
子供たち,あー、楽しかったー！
タプリス,もう終わってしまいましたね、月乃瀬先輩
ヴィーネ,そうね。楽しい時間は、本当に早く感じられるわね
タプリス,でも、なんでお客さんが、小さい子供たちしかいないんでしょうね。わたしたちくらいの人は、誰もいないです
ヴィーネ,タプちゃん
タプリス,はい？
ヴィーネ,気にしたら負けよ
タプリス,え？
ヴィーネ,こういうのは楽しんだもん勝ちなの、他人の目を気にしてはいけないわ
タプリス,は、はぁ……
ヴィーネ,それより、タプちゃん、お腹すかない？
タプリス,あ、少しすいたかもしれません
ヴィーネ,この会場の裏に、屋台がいくつかあったから、行ってみましょうか
タプリス,はいっ、行きましょう！
ヴィーネ,ん？この声は……
タプリス,誰かいるみたいですね
白い猫,まあそれよりも、あなたの方がひどいです、うさぎさん。ステージの上で露骨な投票催促はさすがに……
白いうさぎ,えー、わたし頭良くないからー、よくわかんないですー
白い猫,アァッ！？オメー、ふざけてんのかッ！？
白いうさぎ,やんのかコラッ！？
白い猫,ちょっとチヤホヤされてるからって、カマトトぶってんじゃねーぞゴラッ！
白いうさぎ,アンッ！？おめーこそ猫かぶってんじゃねーよ、ボケがッ！
ヴィーネ,
タプリス,
黄色い犬,ちょ、ちょっと、二人ともケンカは……
白い猫,アァンッ！？なんか文句あんのか、コラッ！！
白いうさぎ,あんま調子に乗ってっと容赦しねえぞ、この野郎ッ！
黄色い犬,ひっ、ごめんなさいごめんなさい……
ヴィーネ,……私たちは、何も見なかった、いいわね？
タプリス,は、はい……
ヴィーネ,そーっと、通り抜けましょう
タプリス,そーっと、ですね。あっ
白い猫,誰だッ！？
タプリス,ひぇっ
黄色い犬,ただの通行人みたいだ。というか、あなたたち……。さっきステージを見てくれてましたよね
タプリス,え、えーっと
ヴィーネ,ひ、人違いじゃないかしら
黄色い犬,いえ、そんなはずありません！大きなお友達は珍しいですから
ヴィーネ,……
白い猫,私たちのステージを見てくれて、ありがとうね！
白いうさぎ,わたし、嬉しくて、泣いちゃうー
タプリス,す、すごい、変わりようです……
白い猫,変わりようって
白いうさぎ,なんのこと？
