津田タカトシ,おーいコトミ、もう朝だぞ～
津田コトミ,う…ん…
タカトシ,おーい
コトミ,すぐ…起きるから、…先に行ってて…
タカトシ,…ったく、早くしろよ？
コトミ,はーい…。ふあぁ…、お早うタカ兄
タカトシ,ほら、しゃきっとしろ。朝御飯、出来てるからな
コトミ,はーい。いただきまーす
タカトシ,今日は生徒会の仕事で帰るのが遅くなるから、晩御飯は出前でも取ろうか？
コトミ,うん。じゃあ私は…親子丼で
タカトシ,オレはカツ丼にしよう
タカトシ・コトミ,ご馳走さまでした
コトミ,あ、いけない！学校の準備するの忘れてた！。タカ兄、後片付けよろしくね？
タカトシ,…はあ。どうしてコトミはいつもこんな調子なんだろう。七条先輩みたいにもうちょっと女性らしく振る舞ってはくれないだろうか。でも、下ネタを躊躇いなく言う所だけは真似しないで欲しい
コトミ,ごめんねタカ兄。準備出来たから行こっか？
タカトシ,オレも後片付け終わったし、学校に行くとするか
天草シノ,津田兄妹、お早う
タカトシ,お早うございます、会長
コトミ,シノ会長、お早うございまーす
シノ,兄妹一緒に登校なんて、相変わらず仲がいいな
コトミ,そうですねー、小さい頃からいつも一緒ですから
シノ,な…津田？お前、トイレや風呂までコトミと一緒に入っているのか！？
タカトシ,この人の想像力は半端無いな
七条アリア,みんなお早う～
萩村スズ,皆さん、お早うございます
スズ,…って、何か悪意を感じるような気がするんですが
タカトシ,どうかしたの、萩村？
スズ,いや、何でも
コトミ,あ！私、今日は日直だったんだ！。皆さん、先に行きまーす！
タカトシ,…はあ
アリア,どうしたの津田くん？ちゃんと朝、ヌいて来た？
スズ,朝から何を言い出すんだこの人は
シノ,何か悩み事か？
タカトシ,ええ、コトミの事でちょっと
アリア,津田くん、妹に手を出そうとするなんて考えちゃ駄目よ？
スズ,またおかしな事を…って普通だ
タカトシ,いやいや、そんな事は思っていませんって。あいつ、高校生になったのに、不真面目なのは変わらないなと思いまして
シノ,まあ私から見ても、もうちょっとしっかりして欲しいとは思っているが。本人の自覚の問題だからな。私達が無理矢理どうこうしろと言っても意味がない
タカトシ,やっぱりそうですよね
コトミ,えーと、弟は発情期の最新巻はっと…。…うーん、売り切れかあ。仕方無いかー、帰ろっと……うん？。エッチな本なのかな？でも雑誌のコーナーに置いてあるし…。ちょっと覗いて見るだけならいいよね…。どれどれ…。それにしてもレ○プボーイだなんてすごい雑誌だ。………。…なーんだ、普通のティーン誌か…ってすっごい過激！。こんなの普通に載せちゃっていいの！？。……ん？。これは……。………。へぇ～。………。…結局、買っちゃった。ウチに帰って、じっくり読もっと。そう言えば、タカ兄帰るのが遅くなるから出前取れって言ってたっけ…。私は親子丼で…あれ？タカ兄は何だっけ？。…まあいっか、私と同じので
タカトシ,ただいまー
コトミ,お帰り、タカ兄。出前とどいてるよ
タカトシ,そうか。コトミはもう食べたのか？
コトミ,ううん、先にお風呂に入ってた
タカトシ,別に先に食べててよかったのに……って、これ親子丼じゃん
コトミ,タカ兄が言ってたやつ忘れちゃったから親子丼二つにしちゃった
タカトシ,まあ何でもいいんだけど。でも、人の話はちゃんと聞いたいた方がいいぞ？
コトミ,はーい
タカトシ,…うーん
タカトシ・コトミ,ご馳走さまでした
コトミ,じゃあタカ兄、後はよろしくー
タカトシ,おい…ったく…あ、コトミ？
コトミ,なーに？
タカトシ,オレ、明日の朝は校門服装チェックがあって早く出るから。朝御飯用意しとくから、ちゃんと食べていけよ？
コトミ,はーい
タカトシ,ちゃんと後片付けして、遅刻もしない事！いいな？
コトミ,分かってるって、タカ兄ったら心配性だな～
タカトシ,おい、ちゃんと聞けって言っただろ…って、行ってしまった。まったくもう…
コトミ,さっそく、さっき買った雑誌を読もっと。えーと、このページだったよね…。あ、あった！。………。……うんうん。……おおっ！？。………。……よしっ！
タカトシ,ふわぁあ～。眠いけど仕事だから仕方無いか…って、何だこの音は？。台所の方からきこえるけど…。…コトミ？
コトミ,お早う、タカ兄！朝御飯出来てるから座って座って！
タカトシ,あ、ああ。でもどうしたんだ？コトミがこんなに早く起きて、朝御飯まで用意してくれるなんて
コトミ,えっとね？昨日、早く寝ちゃったから起きるのも早くなっちゃって。タカ兄が早出するって言っていたから、たまには私が朝御飯を作るのもいいかなー、なんて思っちゃって
タカトシ,そっか、ありがとうコトミ。今日はゆっくりと出られそうだよ
コトミ,えへへ、ありがと。じゃあ、食べて食べて！
タカトシ,いただきまーす
コトミ,ねえ、どう？美味しい？
タカトシ,ああ、とっても美味しいよ
コトミ,本当！？よかった、上手に出来て！
タカトシ,まあ、トーストに目玉焼きだから、誰にでも出来るんだけどな？
コトミ,あー、ひっどーい！
タカトシ,あはは、ごめん。でも、美味しいのは本当の事だぞ？。二つとも、オレ好みの焼き上がりに仕上がっているし
コトミ,そう言ってもらえると嬉しいなあ
タカトシ,…ご馳走さまでした。じゃあ、オレは先に出るけど、遅れるなよ？
コトミ,はーい、分かってまーす。いってらっしゃい、タカ兄
タカトシ,行って来ます
コトミ,…よし、頑張るぞー！
タカトシ,ーーーという事があったんですよ
シノ,なんだ、私達が言わなくても、しっかりし始めたじゃないか
アリア,もしかしたら、お嫁さんになるのを目指しているのかしら？
スズ,ちょっと早くないですか？…そんなものなのかな？
シノ,とか言っていたら、ご本人の登場だ
コトミ,皆さん、お早うございます！
シノ,お早う、コトミ。珍しく早い登校じゃないか？
コトミ,シノ会長ったらやだなーｗｗ私達は学生なんですよ？。早めに登校して、授業に備えて予習と準備をしておく。これって常識ですよね？
シノ,
アリア,
タカトシ,
スズ,
コトミ,時間が勿体無いので先に行きますね。じゃあ、また後で
シノ,あ、ああ……。……ええと。なあ津田、今のはお前の妹だよな？
タカトシ,あ、はい。今のはオレはの妹、ですよね？
スズ,なんで、アンタまで疑ってるのよ
アリア,それにしても、急にどうしちゃったのかしら
シノ,何はともあれ、ようやく真面目になってくれたんだから良しとしようか
スズ,でも、一日で元に戻るんじゃないですか？
タカトシ,確かに、一日どころか始まる前から駄目だった事もあったからなあ
アリア,とりあえず、長く続く事を祈っていましょう
コトミ,タカ兄、ちょっといい？
タカトシ,どうした、コトミ？
コトミ,今日も帰るの遅いの？
タカトシ,そうだな、最近忙しいからなかなか早くは帰れないな
コトミ,分かった。じゃあ、私が晩御飯を作っておくね？
タカトシ,あ、ああ。ありがとう
コトミ,ふふっ、じゃあ頑張ってね
タカトシ,………
スズ,…ねえ、本当に何があったの？
タカトシ,オレにもよく分からないんだ。急に朝からあんな感じでさ
スズ,でも、アンタにとっては楽になるんだから、いいんじゃないの？
タカトシ,そう…なのかな？。ただいまー
コトミ,お帰りなさーい。御飯にする？お風呂にする？
タカトシ,ああ、いつもの調子に戻ったな。どうせこの後はそれともワタシ？
コトミ,タカ兄、聞いてる？
タカトシ,えっ？
