穂積しおり,４０
しおり,いってらっしゃーーい！！
テロップ,穂積しおり４０
しおり,フーーーッ……
しおりのモノローグ,私は平凡な専業主婦だ。大学卒業後、私は会社で事務として働いていた。合コンで、私はある企業の正社員の男性と出会った。私は、その男性と結婚し……。1年後に、男の子を無事に出産した。現在、夫は大企業で課長として真面目に働いている
テロップ,穂積雅彦４１
しおりのモノローグ,息子は小学5年となり、しっかりした子に育ってくれた
テロップ,穂積優真１１
しおりのモノローグ,私は平凡ながらも、ささやかな幸せを味わっているように見える。しかし、専業主婦というのは本当に退屈だ……
夫役の俳優,俺はお前を見損なった！！お前とはもう離婚だ！！
驚いた表情で、夫役の俳優を見つめる妻役の女優。テレビの画面に,続く
しおり,ファ～～～
司会者と女性アナウンサー,こんにちは。アフタヌーンライブです
女性アナウンサー,まず、今日の話題はこちらから……。夫を殺害し、保険金を騙し取ったとして……
住宅街の中を歩く喪黒福造。喪黒は、塀の門の前で立ち止まる。塀には,穂積
しおり,はい、穂積です！！。どなたですか？
喪黒,私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
しおり,ココロのスキマ、お埋めします！？
喪黒,私はセールスマンです。ただし、他のセールスマンとは一味違っていますが……
しおり,セールスマン？悪いですが、うちは……。必要なものは、ほぼ揃っていますから……
喪黒,いえいえ……。私のセールスは、一銭のお金も要りません
しおり,仕方ありませんねぇ……。じゃあ、話を聞くだけにしておきますから……
喪黒,今の時代の日本は、周りがモノで満たされているように見えます
しおり,そうですか……。変わったお仕事ですね……
喪黒,奥様。見たところ、あなたも心にスキマがおありのようですよねぇ？
しおり,いいえ……。私は悩みなんかありません。今の生活には不満など何もありませんし……
喪黒,果たして、そうでしょうか？いえ……、決してそうではないはずです。なぜなら奥様……
しおり,そ、そんなことは……
喪黒,しかも……。年を取るにつれて、身体の調子も衰えますから……。家事をするのも一苦労になりがち……
しおり,失礼なことを、おっしゃらないでください！私はまだ若いですよ！
喪黒,果たして、本当に心の底から……。そう感じていらっしゃるのですかねぇ？
しおり,そ、それは……
喪黒,日々の退屈さを克服できて……。しかも、若いころのような健康な身体と美を保ち続ける……
しおり,え、ええ……。確かにそうだけど……。そんなことできるのは、ごくわずかな人ですし……
喪黒,奥様、あなたにもできます。毎日、適度な運動を心がければいいんですよ
しおり,適度な運動……ですか。確かに、普段の私は運動不足ですからねぇ……
喪黒,そのために、今の奥様にピッタリなものを紹介しようと思います
しおり,これは……
喪黒,フィットネスクラブの案内状ですよ。この中から、お好きなメニューをお選びすることができます
しおり,うーーーーん……
喪黒,奥様……。例えば、エアロビクスでもなさってみたらどうです？
しおり,エアロビ……ですか
喪黒,エアロビクスは身体にいいですよ。なぜなら、エアロビは有酸素運動ですから、脂肪を燃焼させてくれます
しおり,へぇ……
喪黒,それだけでなく……。エアロビは誰でも気軽にできて、楽しめる運動です
しおり,そうなんですか……
喪黒,奥様。今のあなたには、間違いなく打ってつけだと思いますよ
しおり,うーーーーん……。もう少し、考えてみます
喪黒,じっくり考えて、結論を出してくださいよ。では、私はこれで……
しおり,うわあっ！！私、思ったよりも太ってる……。今の私は、中年のおばさんなんだ……。もう、若くないんだ……。エアロビ……ね。今の私には、ちょうどいいかもしれない……。ここだ……
フィットネスクラブ,キャピタルスポーツ
受付の男性,館内のご利用は？
しおり,は、初めてです……
受付の男性,どのような目的で、ご利用になりますか？
しおり,あ、あの……。実は私、エアロビクスを習ってみようと思って……。エアロビって、レオタードを着てやるものかと思っていたけど……
テロップ,槇村ひとみ４６
しおり,この人、かっこいい……
ある日。,キャピタルスポーツ
喪黒,やぁ、穂積さん
しおり,あ……、喪黒さん。あなたも、ここでスポーツを習っているんですか？
喪黒,いいえ……。今日の私は日帰り入浴をするために、たまたまここへ寄っただけですよ
BAR,魔の巣
しおり,喪黒さん。エアロビクスを習うようになってから、今の私は毎日が楽しいものになりました
喪黒,よかったですなぁ、穂積さん
しおり,生きがいもできましたし、身体の調子も以前より良くなりました
喪黒,それだけではないでしょう……。穂積さん、今のあなたは前よりも若々しく見えますよ
しおり,そ、そうですか……？
喪黒,間違いなく……。エアロビクスはあなたの心と身体に、いい意味で効果をもたらしたはずですよ
しおり,ええ……。それは確かに言えます。何よりも、かっこよくて優しいインストラクターの先生が……
喪黒,ひょっとして、穂積さん……。あなた、インストラクターの人に恋をしているのですか？
しおり,い、いえ……。私はそんな……。私には、夫と子供がいますから……
喪黒,そうです、それでいいのですよ。何しろ、今の穂積さんは一家の主婦なのですから……
しおり,え、ええ……。それは十分、分かっていますよ……
喪黒,だったら、穂積さん……。あなたには、私と約束していただきたいことがあります
しおり,約束！？
