※演出の関係上オリキャラ,っぽいもの
俺の名前は４℃。数字の４に温度の℃。通称黒の絶対零度、"４℃,ｼﾄﾞ
好きな台詞は,知ってるか？乾いた氷は、肌を火傷させるんだぜ
不幸,ﾊｰﾄﾞ･ﾗｯｸ
４℃,ふぇぇ…またフェイリスタンに辛く当たっちゃったよぉ…
とある喫茶店,ｶﾌｪ･ﾃﾘｱ
友人,おっぱいうｐ、と…
４℃,おい！人が真剣に悩んでいるときにパソコンいじんな！
友人,いや、知らねぇーよ。毎回泣き言聞かされるたびに呼ばれるこっちの身にもなれってんだ
４℃,うっ、うっ…ふぇぇ…俺はどーすりゃいいんだよぉ…
友人,あぁもう、泣くなよ面倒くせぇな…。で、何？また恥ずかしくなって厨二全開しちゃった？
４℃,ひっぐ…うん…取り巻きさんたちに囃し立てられちゃって…それで、気がついたら格好つけようと頑張ってたら、酷いこと一杯言った…
友人,これで通算１００回目のアプローチ失敗か。良かったね。フラグが立ったよ
４℃,うっ…うっ…ふぇぇぇぇぇぇん！
友人,しかしどう見てもＤＱＮにしか見えない奴が、ルノア○ルでガチ泣きとかシュールな光景だ
４℃,ふぅ。ようやく冷静ｸｰﾙ･ﾀﾞｳﾝ
友人,ん。ケーキ食って機嫌直るとか何というスイーツ笑
４℃,で、だ。どうしたらフェイリスたんは俺に振り向くと思う？
友人,知るか
４℃,な、な…ひ、ひどい…俺だって真剣に悩んでいるのに…
友人,あぁもう…分かったから泣くなよ…頼むからこんな往来の喫茶店で泣きじゃくるのはやめてくれ
４℃,うん…
友人,只でさえ俺ら、浮いてるんだからな？コーヒーなんてドト○ルでもいいじゃねぇか。何でこんな純喫茶を選んだんだよ
４℃,だってここが一番落ち着くんだもん
友人,何でこんな奴が不良グループのリーダーやってんだろ…。で、話を戻そう。どうすればお前のアプローチが成就するか、だよな
４℃,うん
友人,知るか
４℃,真似事だけでもいいから真剣に考えてくれよ…
友人,もうさ、面倒だから襲っちまえばよくね？
４℃,ば、馬鹿いうな！そ、そういうのはだな、その…ちゃんと男女の仲の行程をちゃんと踏まえたうえで…
友人,お前どんだけ純情なんだよ…
４℃,そ、それにだな！俺は何事にも時と場合を考えるんだよ！ＴＰＯを弁えるのは男として当然だからな！
友人,お膳立てされないとヘタレとか、鈴木功さんマジパネェっす
４℃,その名前で俺を呼ぶな！
友人,前から思っていたけどさ、あの雌猫の何処がいいんだ？
４℃,め、雌猫！？フェイリスたんを雌猫ﾌﾟｯｼｰ･ｷｬｯﾄ
友人,いやそこまで言ってねぇよ
