モバＰ,美玲ー、今日はキグルミのお仕事をとってきたぞ
早坂美玲,ふーん、まぁスタッフと打ち合わせとか頑張れよ
Ｐ,……
美玲,……
Ｐ,……
美玲,な…なんだよ。なに見てんだよ
Ｐ,美玲、キグルミにはどういう人がする仕事だとと思う？
美玲,そんなん、キグルミ被りたいヤツが仕事にするんだろ
Ｐ,俺の仕事は？
美玲,アイドルをプロデュースする仕事…って、何アタリマエのこと言ってんだ。いちいち言わせんなよ
Ｐ,俺がキグルミの仕事とってこれたのはなんでだと思う？
美玲,そんなん…
Ｐ,…
美玲,……まさか
Ｐ,アイドルの仕事としてもってきたから
美玲,……誰の
Ｐ,ウチの自慢のアイドル美玲の仕事に決まってるじゃん
美玲,はああッ！！？。オマエ、自分で何言ってるかわかってんのかッ！？キグルミなんて…そんなん、アイドルがやるもんじゃ…っつーか、なんでウチなんだよッ！
Ｐ,そうか。ぬいぐるみの好きな美玲にはぴったりだと思ったんだけどなぁ
美玲,なわけないだろッ！ぬいぐるみ好きなのと、キグルミに入るのは全然ちがうしッ！
Ｐ,もしかしてキグルミは嫌いだったか？
美玲,べ…べつに嫌いなもんか！それどころか、ぬいぐるみもキグルミも好きだけど…って、だから何言わせんだッ！。そういうことじゃなくて！だからなんでウチがやんないといけないんだよッ！
Ｐ,とあるアイドルはこう言った。キグルミの気持ちになるですよ―と
美玲,…それがどうしたんだよ
Ｐ,キグルミの気持ちにもなれないやつが、本当にキグルミを愛せると思うか？
美玲,そんなの、キグルミの気持ちになることと、ウチがキグルミ被ることとはなんの関係もないだろ
Ｐ,本当にそうか？
美玲,……え
Ｐ,―知っての通り、この事務所にはキグルミアイドルの二大巨頭がいる。そう、さっきの言葉を言った市原二奈と、上田鈴帆だ
美玲,だから…その二人とかにやらせればいいじゃんか
Ｐ,二人は自らキグルミをを演じることで、全力でキグルミを楽しんでる。今やキグルミ界のひっぱりだこだ。方向性は違うがな
美玲,ウチの話きけよッ
Ｐ,二人がキグルミを愛するのと、美玲がぬいぐるみを愛する気持ちは果たして一緒か？
美玲,……ウチがぬいぐるみを好きな気持ちが二人に負けてるってでも言いたいのかよ
Ｐ,そういうことじゃない。どっちが好きの度合いが大きいとか、そんなもの比べること自体野暮だしな。…ただ、二人と美玲の気持ちには明らかに違うものがある
美玲,…なんだよそれ
Ｐ,そこに楽しんでくれる人がいるかどうか、だ
美玲,…！！
Ｐ,仁奈と鈴帆は、キグルミを被ることが楽しいからってだけでキグルミでアイドル活動をしているんじゃない
美玲,…
Ｐ,キグルミの気持ちになるっていうのは、そういうことだと俺は思う。俺は美玲に、自分の好きなものを通して、人を幸せにできる気持ちを、わかってもらいたいんだよ
美玲,そうかもしんないけど…ウチは…キグルミとか…ぬいぐるみとか…見る専門なんだよッ！それぐらいわかれよッ！
Ｐ,いやそれは嘘だな。美玲は俺が用意した被り物の衣装を喜んで着てくれるじゃないか
美玲,ぐッ…
Ｐ,それに、被り物をしているときの美玲はとびきりかわいいしな。これはやらない手なんてない
