今回は本編が25レスを超えたので,ショートコント
大淀,……さて、次は夕張さんね……新型魚雷の試験に伴う工廠利用時間の延長申請……許可、ただし安全面には十分配慮すること。駆逐艦を代表して吹雪ちゃん……芋煮会のための食堂でのガスコンロ利用申請……許可、火の元の始末はしっかりと。こっちは隼鷹さん……第四十五回新年回の開催による食堂の利用申請……もう二月じゃないですか、不許可、先約あり。……どうせ船渠あたりで勝手に飲み始めるでしょうね……片付けも適当だし、あんまり可燃物は持ち込んでほしくないんだけど。最後は提督から……鎮守府正面海域への単独出撃任務、人選は一任する。今詰めてるのは、川内さん、足柄さん、陸奥さん……。……足柄さんにお願いしましょう。……以上が作戦内容です。確認事項はありますか？
足柄,問題ないわ。哨戒任務なんてパッと終わらせて、今夜は飲みにでもいきましょう？
大淀,油断しないでください、まだ鎮守府近辺でも深海棲艦の出現が多数報告されてるんですから。私も緊急時に備えて通信室で待機しますね
足柄,ところで、どうして私だけで出撃するの？
大淀,さぁ……提督はキラキラがどうの、と仰っていましたが……
足柄,よくわからないけど、要は勝てばいいんでしょ？余裕じゃないの
大淀,言動の端々が不安なんですけど……何かあったらすぐに連絡してくださいね？
足柄,もう、心配しすぎよ！行ってくるわ！
大淀,ほんとに大丈夫かしら……。……一応、無線の確認をしておかないと。足柄へこちら大淀、感明送れ。大淀了解、以上……問題なさそうね
霞,大淀！ここにいたのね！
大淀,霞ちゃん？どうしたんですか、そんなに息せき切って
霞,どうしたのじゃないったら！今日はバレンタインよ！
大淀,……え？
霞,前に約束したでしょ？その……司令官にチョコ渡すの、手伝ってくれるって……
大淀,……あ
霞,あって何！？忘れてたの！？
大淀,いえ、忘れてたわけではないんですけど、今日だとは思ってなかったというか、今日だけは困るというか……
霞,……そうよね、一人じゃチョコを渡す勇気もない子の扱いなんて困るだけよね……
大淀,違いますって！手伝います！今すぐに！
霞,……本当？
大淀,もちろん！ただちょっとの間ここから動けない事情があるので、状況が悪化したらすぐに連絡してください。無線でアドバイスしますから
霞,……わかったわ。行ってくるわね
大淀,ええ、応援してますよ。なんてこと……霞ちゃんに足柄はアレだし、大和も逆方向にアレだし、こんなこと頼めるの大淀だけなのとまで言われてたのに……。！……こちら大淀、詳細を報告せよ、送れ。主力級がこんなに近くまで！？すぐに提督に連絡を……。……でも、今提督に状況を伝えれば霞ちゃんはチョコを渡せなくなる……。……後でどんな処分を受けてもいいわ、なんとかして霞ちゃんがチョコを渡すまで状況を引き延ばさないと……！。お待たせしてすみません、何があったんですか？。そんな、いくら赤城さんでも人に渡すチョコを狙うわけが……。何やってるんですか一航戦は！？。これは、赤城さんをやり過ごして廊下の反対側まで行かないと……。っ！。……足柄へこちら大淀、一時静観し状況を逐次報告、次の指示を待てとのご命令です、送れ。……増援は、検討中です。すみません、足柄さん……。……いえ、何も。それより、資源倉庫の鍵を持ってましたよね？。……よし！。十分に距離を取って外周から回り込み、反対側に移動してください。大丈夫です、夜間は索敵機も飛ばせません。相手は空母です。近づいて話しかけ、倉庫のボーキサイトを提供すると申し出てください。その方が魅力的と分かれば手出しはされないはずです
霞,外周、って外側の壁ってことよね……窓から出られるかしら。……高っ！これ落ちたらシャレになんないやつじゃないの……。……よっ……とっ……。……きゃっ！？。あ、赤城さん……？助けてくれたの？。何してたかって、その……。えっと、最近運動不足だから、ボルダリングの練習を……
足柄,近づいて、って……うわ、めっちゃこっち見てるんだけど。ど、どうも……遠路はるばるお疲れ様……。お腹すいてるでしょ？鎮守府にボーキサイトがあるんだけど、食べてかない？。いえ、別に裏なんてないわよ？多分……。ええまあ……こっちの資源倉庫まで案内するわ。あ、ついでにカツカレーも食べる？。いらない？そう……
大淀,とりあえずこれでなんとかなったかしら……。大淀です、今度はどうしました？。満潮ちゃんが？どうして？。やけに詳しいですね。それ以外が理由な気もしますけど……。まあ、そうなりますよね。……そこまで窓から来たんですか？。言ってないと思うんですけど……。！……すみません、少し考えさせてください。足柄さん、現在の状況は？。こっちに！？気づかれたんですか！？。えぇ……。どうして敵の補給をすることになってるんですか……。……そうだ！足柄さん、空母棲姫との距離はどのくらいですか？。……背中を見せている、ということですね？。なら、道は一つ……！足柄さん、少しだけ待ってください。例えライバルに見えても、同じ目的を持った仲間のはずです。きちんと話し合って、一緒に行動するのはどうでしょう？。背中を向けている今がチャンスです！背後から主砲を突き付けて即刻離れるよう脅しつけてください！
足柄,その……ね？まずは一度腹を割って話してみない？。こっちもあなたたちと無闇に反目したいわけじゃなくて。敵同士でも分かり合える部分はどこかにあるだろうし。私たちだって、できれば争いはなるべく早く終わらせたいから。その点きっと同じ目的で行動してると思うのよ……え？違う？
霞,両手をゆっくり上げなさい。できれば私だってこんなことしたくないわ。でも仕方ないのよ、あんたがそこにいるんだもの。私の目的のためにはこうするしかなかったの、ごめんなさい。分かったら早くここから離れて、チョコは預かるわ
大淀,お願い霞ちゃん、早くチョコを渡して……！。は？交渉？。なんで話し合おうと思ったんですか！？。……あまり聞きたくないんですが、今どこにいますか？。嘘、そんな……。……すみません足柄さん、すべて私の責任です。事情は必ず後で説明しますから。はい、ありがとうございます……！。まさか、まだ執務室に入れてないんですか？。ちょっと、何をやったんですか！？。悪に目覚める一歩手前みたいな言動になってるんですけど。落ち着いてください、そんなに攻撃的にならなくても少し待てばきっと……。武力行使も止む無しですね。……だったら！。こうなったら仕方ありません、砲撃を行ってください！至近距離での夜戦ならこちらにも分があるはずです！。鎮守府内の戦艦に協力を仰ぎましょう！確か今の時間なら陸奥さんが待機中のはず……適切な装備の判断はお任せします、すぐに呼び出してください！
霞,……司令官？。どうしたのよ、そんな顔して。ああ、心配ないわ、邪魔なのはそこの二人だけ。あんたを傷つけるのは本意じゃないわ。……でも、そうね。大人してくれないと、ひょっとしたら――
足柄,陸奥、少し時間あるかしら？。……いえ、今日はお酒の誘いじゃないの。ええ、今船渠にいるわ、フル装備で来てもらえる？。……一生に一度の経験でしょうね、近海で空母棲姫に遭遇して、しかも話までするなんて。これで生きて帰れたら一生自慢できるわね、協力してもらえると嬉しいわ。そうね、何でも積んで来て。三式弾でも徹甲弾でも、火薬は多ければ多いほど――
