モバマスより小日向美穂,たぬき
美穂,ぽこ。ぽこー……。ぽこ？
由愛,どこいっちゃったんだろ……
美穂,ぽこっぽこっ
由愛,美穂さん……見つかりましたか？
美穂,ぽこ
ちひろ,どうかしたんですか、二人とも？
由愛,ちひろさん……
美穂,由愛ちゃんのスケッチブックが、どこかに行っちゃって
ちひろ,探しもの？それなら、芳乃ちゃんに頼んだ方がよくないかしら
由愛,芳乃さん、ちょうどお仕事なんです。邪魔しちゃいけないから……
美穂,ちひろさん、見かけたら由愛ちゃんに届けてくれませんか？
ちひろ,ちなみにそれ、どういうスケッチブックなんです？
由愛,えと、これくらいのサイズで、青い表紙で……右隅に私の名前があります。あっ……で、でも、見つけても中は見ないでもらえると……
ちひろ,どうして？
由愛,は、恥ずかしいといいますか……その。ここで見たことや、聞いたことを描いた、絵日記……なので
芳乃,ふむー。それならば、本棚の後ろを探せばよいでしょうー
客Ａ,ありがとうございます！
芳乃,その置物は、南の窓際に置かれるのがよろしいかとー
客Ｂ,わかりました！
芳乃,しかと神棚をお掃除いたさば、嵐に見舞われることはありませぬー
客Ｃ,ふがふが……ありがとうねぇ……
芳乃,あまりお祖父様を頼ってはなりませぬよー
客Ｄ,これも葦名を生かすため……
Ｐ,芳乃の握手会は、ちょっとしたお悩み相談室になることが多い。失せ物、悩み、日々のよしなしごとを人々から聞き、てきぱきと教え導くのだ。まあ回転率は下がってしまうが、それはこっちで調整できるしな。これもこの子の人望だ。俺は見守るとしよう
芳乃,それでは、次の方ー……。ふむー？ほうほう……。ほー……
Ｐ,？
芳乃,さようでございますかー。であれば、わたくしも黙ってはおられませぬー
Ｐ,どうした芳乃？面倒事か？
芳乃,今のお方から、たいそう重大な相談事を聞きましてー。なんでも、外なる星々より、いんべいだーが侵略に来るのだとかー
Ｐ,インベ……宇宙……は？
芳乃,なれば、この地を守るは依田の役目ー。あれを呼ぶしかありますまいー
Ｐ,ちょっと待ってついていけてない、あれって何？なぜ法螺貝を――
芳乃,すぅ～～～～っ。きたれー。よしのんいんぱくとー
Ｐ,ヨシノンインパクト！！？。巨大な芳乃型のロボがーッ！？
芳乃,そなたも乗りませー。さぶ・ぱいろっとが必要なのですー
Ｐ,口の中に吸い込まれるーッ！？。そ、操縦席に座ってしまった……
