モバＰ(以下Ｐ),えっ、ってなんですか酷いなー
ちひろ,いや、その、だって、今日はプロデューサーさん風邪で来ないって連絡がさっき…
Ｐ,俺が風邪？この通り元気ですけど
ちひろ,…いえ、まだプロデューサーさんが無理しているという可能性があります。…失礼、します
Ｐ,えっ、ちょ、ちょっとちひろさん！？
ちひろ,……はい。熱は、なさそうですねっ//
Ｐ,だからさっきから言ってるじゃないですか！
ちひろ,……こほん//じゃあ、さっきの連絡は一体…
Ｐ,どんな感じだったんですか？
ちひろ,事務所の電話にプロデューサーさんの声で今日は風邪で休みますってかかってきたんです
Ｐ,お、俺の声？
ちひろ,はい！それはもう、そっくりすぎて…わ、私でも本人だと勘違いするほどでした！
Ｐ,へぇ…。知ってるよ晶葉…なぁ、お前の仕業だろ？
晶葉,ん？助手は何を言って
Ｐ,人の声を完璧に真似ることができるなんて、うちの事務所にはお前しかいねぇだろ！
晶葉,い、いやまぁ、確かに私にとってそのような事は、変声機を使えば朝飯前だが…助手。話が見えないぞ
Ｐ,…マジで言ってんの？
晶葉,あ、あぁ。…助手。話してくれないか
Ｐ,あ、あぁ…。～というわけなんだ
晶葉,なるほど…
Ｐ,まぁ、今日はみんなオフだから惨事にはならないと思うが
晶葉,…助手は休まないのか？
Ｐ,いやー、結構資料溜まっててな
晶葉,そっか…助手も少しは休息を取れよ？
Ｐ,なんだ、心配してくれてんのか？
晶葉,……う、うるさいっ//。しかし…私以外にも声を真似る者が…ん？
Ｐ,ん？どうした？
晶葉,……やっぱり、ない。私が作った変声機がない！
Ｐ,な、なに！？
晶葉,これで私の疑いは完璧に晴れた、が…
Ｐ,あぁ…謎が深まったな…
晶葉,あっ、そういえば。先週、頼まれて杏に貸したのだった
Ｐ,おい。と、いうわけだが。弁解はあるか？。あっ、そうか…ん？じゃあなぜ…。…杏。俺は倒れたりしないぞ？
