姫川友紀,いーまこ～そ戦え～♪
二宮飛鳥,…おや
早坂美玲,らーくてん、らーくてん！
友紀・美玲,いーぐる～す！！
飛鳥,…？
美玲,…うん、完璧だなッ！
友紀,やったー！ありがと、美鈴ちゃん
美玲,フフン！これくらいお安い御用だぞッ
友紀,詳しい子がいて、助かったよ～！
美玲,ウチだって、前に手伝ってもらったモン！あの時のお返しだと思ってくれッ！
飛鳥,２人でレッスンかい？
美玲,おッ、アスカじゃないか！
飛鳥,やあ
友紀,飛鳥ちゃんも歌うー？
飛鳥,それは必要に応じて…かな。聞いた限り、LIVEで歌う曲ではなさそうだけれど
美玲,あぁ、違う違うッ！これ、いーぐるすの応援歌なんだッ
飛鳥,…いーぐるす？…フム、どこかで聞いたような…
友紀,説明しよう！美玲ちゃん！
美玲,おうッ！楽天いーぐるすって言ってさ！何を隠そう…ウチの出身、宮城のプロ野球チームなんだッ！
飛鳥,ああ…野球。友紀といたのはそういうことか
友紀,うん！いや～…良いよね、応援歌！
美玲,聞くとやっぱり、ワクワクするよなッ！
友紀,がんばれ！がんばれ！
美玲,ら、く、てん！
友紀,らーくて飛鳥…ｺﾎﾝ
飛鳥,話を進めても、良いかな
友紀,あぁうん、ごめんごめん！つい興奮しちゃって！
飛鳥,ええと…そう。なぜ友紀が宮城のチームのレクチャーを受けているんだい？
友紀,そうそう！あたしね、今度お仕事もらえることになったんだ！それで色々教えてもらおうと思って！
美玲,そこでウチの出番ってワケだッ
友紀,美玲ちゃんすごいんだよ？球団応援歌とか完璧なんだから！
飛鳥,へぇ…。たまに２人でキャッチボールをしているのは、知っていたけれど
美玲,ふっふっふ…地元ではよくCMも流れるし、聞いてる内に覚えたんだッ
友紀,こんなに詳しいと思わなかったもん！もしかして…実は隠れファンだったり？
美玲,ファン…って程詳しくは見てないけど。親とか周りが応援してるの見てたから、その流れで何となくだなッ！
友紀,こんな近くに、素質に溢れる子がいたなんて…あたしの目もまだまだだなぁ
美玲,宮城のことならウチに任せてくれッ！
友紀,さっすが美玲ちゃん！ヒューヒュー！
美玲,へへッ！
飛鳥,…
友紀,いよっ！伊達マサムネー！
美玲,へへーん！…って、政宗は関係ないだろッ！
友紀,あっはは、バレたかー！
飛鳥,…確かに眼帯はつけているけれど。だが、１つ不可解だな
友紀,うん？何が？
飛鳥,キミは確か、キャッツ…とかいうチームのファンだったろう？そこ以外を応援しても良いのかい
美玲,あー、確かに。ウチもちょっと思ってた
友紀,あぁ、そこ？んー、話せば長くなりそうだけど…。なんかこう…もう１人のあたしが宮城から呼んでるような、そんな気がして…
飛鳥,は？
美玲,また言ってる…
飛鳥,…頭でも打ったのか？
美玲,最近たまになるんだよな、友紀
友紀,自分でもよく分かんないんだけどさ…うーん…
美玲,こないだの宮城の名残なんじゃないかッ？
友紀,そうかも？。まぁ、単純にリーグが違うってのはあるかなぁ
飛鳥,リーグ？
美玲,チームの組み分けみたいなモノだなッ
友紀,キャッツといーぐるすは別の組だから、どっちかがどっちかに負けるってことはないんだよね。だから、気兼ねなく応援できるんだ！
飛鳥,なるほど…そういうものなのか
美玲,…交流戦は
友紀,何か言った？
美玲,い、いや！なにも言ってないぞッ！
飛鳥,？
友紀,あとね…
美玲,？ど、どうしたんだ…ッ？
友紀,こう、負けが込むとさ。他のチームを見ていたくなるなー…というか。うん
美玲,あっ
飛鳥,…なあ美玲、なぜ友紀は急に萎れていくんだ…？
美玲,それは…その、キャッツに聞いてくれッ
友紀,あははは
美玲,え、えーっと…友紀、元気出せって
友紀,…
飛鳥,…体育座りだと、服が汚れてしまうよ
美玲,その分いーぐるす応援しよう！なッ？
友紀,…そりゃあ、あたしはキャッツのファンだよ？でも、それはそれだよね
美玲,…お？
友紀,アイドルいっぱいいる中から、わざわざあたしを選んでくれたんだもん。しかも野球のお仕事で。だったら、応えない訳にはいかないよね！
美玲,お、おうッ！そうだな！
友紀,だから、どっちも応援する！キャッツのゆっきーと、楽天ゆっきーの二刀流で頑張るから！
美玲,よく言ったぞッ！
友紀,…正直、楽天の選手はまだあんまり詳しくないけど
美玲,ちょっとだけど、ウチも協力するからッ！
友紀,…うん！ありがと、美玲ちゃん！
飛鳥,…。…キミにしかできない、キミに相応しい仕事だと、そう思うよ。…少なくとも、ボクには向かないな
友紀,えー、そんなことないと思うけど
美玲,ウチだってイメージ的にはビミョーかもだけど…楽天だったら絶対オッケーしてたぞッ！
飛鳥,それは、キミが地元だからというのもあるだろう？
美玲,まぁ、そうかもだけど…
友紀,でも、今回のメンバーの候補の中にだって…
P,おーす、ユッキいる？
友紀,あっ、プロデューサー！
P,おぉ、いたいた。飛鳥に美玲も一緒か
美玲,おうッ
飛鳥,…やぁ、何か用事かい？
P,うん、友紀の仕事の話な
友紀,あ！もしかして、コラボの話！？
P,そうそう。ほれ、これが決定版のメンツ
友紀,どれどれ…？。おぉー！うちの事務所からは、あたしと紗枝ちゃんかぁ！
美玲,余所からは、きらりにミカ、
飛鳥,卯月さんと…、…！？
美玲,どうした…！えッ！？
飛鳥,蘭子…だ、と…
P,あー、神崎さんな
友紀,えー！蘭子ちゃん、鷹党だったの！？
P,なんか昔は、たまに球場行ってたとか行ってないとか
美玲,熊本と福岡は…まぁ、近いと言えば近い、かな…？
友紀,なんか意外だなぁ…
P,さっきちょっと話してきたんだけど、好きな選手はアラカキだってさ。ニッチなとこ抑えてるよあの娘
美玲,ほえー…ウチ、その選手までは知らないぞ…
友紀,ピッチャーだったよね
P,そうそう、けっこう荒れ球で…。…飛鳥？
飛鳥,……フ、フフ。成程、そう来るか…ｸｸｯ
美玲,ど、どうしたんだ、アスカッ？
飛鳥,フフッ…あぁ、失礼。また１つ、ボクの知らないセカイを垣間見てしまったような、そんな気がしてね…
友紀,だ、大丈夫？
飛鳥,至って平気さ。…この好奇心の高ぶり、久しい感覚だ。悪くない。興味が湧いた。同じセカイ、同じ目線で覗いてみたくなったよ
友紀,つまり…？
飛鳥,…フッ。野球に詳しい者が２人、素人がここに１人。後は理解るだろう？
美玲,いや、ウチは言う程詳しくないってば…
友紀,！野球、する！？
飛鳥,せっかくの機会だ。仕事の一環としてでも構わない、ご教授願いたいところだよ
友紀,お、おぉー…！普段は滅多にキャッチボールしてくれない、あの飛鳥ちゃんが！
飛鳥,ボクの知識の一部としてみせる。闇の片翼として、相応しいボクになるために
美玲,…蘭子と話合わせたいだけじゃないかッ！？
飛鳥,おや、"だけ"とは心外だね。キミたちもいるだろう？
美玲,お…お、う？
飛鳥,それとも、ボクがキミたちの輪に入ることに不都合でもあるのかな
