姫川友紀,ラジオネーム2億4千万のひちょりさんからだよ
向井拓海,全盛期でもそんなに貰ってねえだろ森本
友紀,拓海さんは交流戦で応援してるチーム同士がやりあったら、どっちを応援するんですか？だって
拓海,あー、もう交流戦の時期か
友紀,そうだよ。もう5月も終わって6月だよ！
拓海,早いもんだな。今年もあと6か月で終わりだぜ？
友紀,そう聞くと早いよね。で、どっち応援するの？
拓海,……リーグ順位が上の方に勝って欲しいぜ。今年を逃したら当分優勝できねえし
友紀,切実な願い！。はーい、姫川・向井のヒットエンドラジオが始まりましたー！
拓海,第9回だな
友紀,このラジオもいよいよ9回の攻防に突入だよ！
拓海,どことどこの戦いなんだよ
友紀,……自分自身？
拓海,このラジオは己との戦いなのかよ！？
友紀,そんなに真剣に考えてしゃべってないから、真面目なツッコミしちゃダメだよ
拓海,はいはい、悪うござんした
友紀,冒頭でも話したけど、もうそんな時期だよねー
拓海,今年で何回目になるんだっけな……？
友紀,もうそんなにやってるの！？
拓海,もっと歴史が浅いかと思ってたわ
友紀,意外と前だったね！
拓海,交流戦って言うと、毎年パリーグ勢が強いイメージなんだが
友紀,だいたい福岡のチームがセリーグを根こそぎ倒していくよね！
拓海,いつぞやの年には、セリーグ全球団借金状態とかあったしな…
友紀,スターの球団がとんでもない大失速したんだよね！
拓海,オマエん所も大概だったじゃねえか
友紀,てへ♪
拓海,そんじゃ、そろそろゲスト呼ぶぞー
友紀,はーい！たくみせんせー！
拓海,どうした姫川
友紀,今日のゲストさんは、前回の人と関係がある人ですかー？
拓海,んー……メチャクチャ関係あるな
友紀,それはアで始まってナで終わる人ですかー？
拓海,残念だが安部菜々さんじゃねえんだよなぁ
友紀,ウサミンとミナミンは関係薄かったかー
アーニャ,アー……そろそろ自己紹介してもいいですか？
拓海,このままボケ重ねてるとキリがねえからいいぞ
アーニャ,ミニャーザヴートアーニャ……アーニャです。今日はよろしくお願いします
友紀,はい、今日のゲストはアナスタシア……もとい、アーニャちゃんでしたー！
アーニャ,友紀、元気イッパイですね？
拓海,やかましいって言ってやっていいぞ
友紀,扱い酷くない！？
アーニャ,アー……アツカマシイ、です？
友紀,もっと酷い！ていうかアーニャちゃんわかってて言ってるでしょ！？
アーニャ,テヘ♪
拓海,そんじゃCM挟んだ後はお便り読んでくぞ
アーニャ,ハラショー
友紀,はーい
拓海,……ところで、ハラショーってどういう意味なんだ？
アーニャ,アラーズビ……色々意味はあるのですが、素晴らしいや了解したなどありますね
友紀,結構いろんな意味があるんだね！
拓海,後でロシア語講座でもしてもらうか？
アーニャ,アー……休憩中に、講座します？
友紀,収録終わったらお願いね！
アーニャ,わかりました……それじゃ、一旦CMです
友紀,お便りのコーナーだよー
拓海,へーい
友紀,ラジオネームみつをの魂100までさんからだよ
拓海,吉川ァ！！！
友紀,アーニャちゃんは北海道出身ですけど、ファイターズファンなんですか？だって
アーニャ,ダー……ファイターズ、応援してます
拓海,しっかりレアードのユニフォームを着て来てるからな
友紀,これでファイターズファンじゃないですって言われたらビックリだよ。しかも、しっかりサインが入ってるユニフォームだね
アーニャ,東京ドームで試合があった時に、書いてもらいました
拓海,おー、いいな
アーニャ,ホンモノのレアード、とっても大きかったです
友紀,プロ野球選手って間近で見るとホント大きいよねー
アーニャ,レアード……森で遭遇したら、心臓止まりますね？
友紀,レアードは熊か何かかな？
拓海,アタシも出待ちでサインはしてもらったことあるな
友紀,三浦大輔かな？
拓海,おう
友紀,生の三浦大輔はどうだった？大きかった？
拓海,リーゼントが最高にマブかったぜ
アーニャ,ツッパリですね？
拓海,マウンドでは最高にツッパってたな
友紀,はい、次のお便りですよ。拓海ちゃん読んでね
拓海,はいよ。ラジオネームわたしたちはずっと…飛翔？からだな
友紀,ずっと飛翔されても困るよ
アーニャ,試合、終わらないですね？
拓海,どうして交流戦だと、パリーグはやたら強いんですかね？やっぱりDH制のせいなんですか？だとよ
友紀,100万回聞いたねこの話題は
アーニャ,アー……耳にタコ、ですね？
友紀,耳にタコさんできちゃうよ、まったく。まー、DH制だと育成できる野手の枠が1枚増えるからとか言われてるよね
拓海,単純計算だが、DHがある分打席に立てる野手は増えるからな
友紀,でも交流戦はDH制がない試合もあるわけだよね
アーニャ,普段DHで慣れてるチームは、DHがないと不利ですね
友紀,セリーグ主催試合で、DH専門の選手を無理やり守らせたら守備の穴になるからね
拓海,こうして考えると、そこまで大差つくとは思えねえんだが
友紀,じゃあ本題に戻ろうか。交流戦だとパリーグが強い理由だよね？
拓海,そうだな
友紀,結論言うと、パリーグはDH慣れしてる選手がいるからだと思うよ
アーニャ,DH慣れ…？
友紀,セリーグって打席だけ立つって選手はほとんどいないよね？
拓海,代打専門職のヤツらぐらいしかいねえな
