片桐早苗,おじゃましまーす
モバP,すみません、仕事終わりにまで・・・
早苗,その辺はいいんだけどねー、一人で飲むのはつまらないし
モバP,いや、飲むのがメインじゃありませんからね
早苗,わかってるわよー。ここがP君の部屋か・・・
モバP,そんなに散らかしてる気は無いんですけど
早苗,まぁ年頃の男性としては綺麗なんじゃない？
モバP,帰っても特にする事ありませんし
早苗,へー
モバP,なに探してるんですか？
早苗,色々
モバP,色々って
早苗,何もな…あ
モバP,どうしました？
早苗,蛸足配線
モバP,あ、そうですね
早苗,駄目よー、危ないから。ん？。どうしようかなー
モバP,どうかしました？
早苗,あ、お化粧室借りてもいい？
モバP,お化粧室て…
早苗,なによー、悪い？
モバP,なんでもありません
早苗,聞いたらシめる
モバP,大丈夫ですよ、ちなみに洗面所の左にありますから
早苗,おまたせー
モバP,早かったですね
早苗,そう？普通だと思うけど
モバP,何人かに貸したことあるんですけど40分くらい籠ってたり…
早苗,へ、へー
モバP,じゃあ始めますか
早苗,そう言えばなんで事務所じゃなくてP君の家なの？
モバP,アイドルとちがってプロデューサーは時給なんで遅くまで事務所はあんまりよくないんですよ
早苗,なるほど
モバP,仕事の話ですし何処かの店というわけにもいけませんし
早苗,台所借りていい？ビールとか冷したいし
モバP,買ってきてたんですか？それくらい俺がやりますけど
早苗,いいよ私が買って来たんだし
モバP,じゃあ、お願いします
？？？,あれ、何も聞こえなく…あれ？？
早苗,ふー
モバP,どうかしました？
早苗,まぁ、色々とね
モバP,何かあったらちゃんと相談してくださいね
早苗,う、うん
モバP,俺そんなに頼りないですか？
早苗,そういう問題じゃないんだけどな
モバP,そうですか
早苗,それより仕事の話よっか
モバP,それもそうですね。次のライブなんですが●●●とかどうでしょう？
早苗,でも派手さに欠けない？〇〇〇は？
モバP,それいいですね、早苗さんらしくて。あ、メモ取りますね
早苗,あのサボテンどうしたの？
モバP,凛からもらったんですよ
早苗,真ん中だけ枯れそうだけど、ちゃんと世話してるの？
モバP,あの鉢に水いれて電源入れれば勝手に育ててくれるらしいんですけど
早苗,へー近くでみていい？
モバP,いいですよ
早苗,P君ー、この鉢壊れてるから電源落としとくね
モバP,あ、そうなんですか？お願いします。
凛,ｯちっ、あのボディコンBAA
卯月,凛ちゃん落ち着いて
未央,あっちは不利だし、またつけ直せばいいじゃん
凛,そうだけど…
モバP,何か言いました？
早苗,ごめん、声に出てた？
モバP,えぇ、あんまりよく聞こえませんでしたけど
早苗,ちょっと小腹が空いてね、おつまみかなにかない？
モバP,じゃあ、スルメ焼きましょうか？
早苗,それちょうだい。今の間に…
元秘書の女性アイドル,あら？
ドラエモン的発明家,んなっ
押し掛け妻系アイドル,あれ？
純粋奏者,え？
モバP,焼けましたよー、ってどうしたんですか？
早苗,ﾊｧ、ﾊｧ私も、まだまだ、現役ね、
モバP,そりゃそうですけど。大丈夫ですか？
早苗,P君！！、すだれある！？
モバP,？、すだれですか？ありますけど。今掛けるんですか？まだ早い気がしますけど
早苗,西の窓にすだれを掛けると金運が上がるって茄子ちゃんが…
モバP,ちょっと掛けてきますね
リボンの似合うアイドル,さすが早苗さんですねぇ、まさか気づくなんて、まぁ1日くらい大丈夫でしょうし
早苗,さぁP君、飲もうよ
モバP,え、あぁそうですね、とってきます
早苗,ジョッキ出しとくねー
モバP,ありがとうございます
早苗,じゃあお酌してもらおうかな
モバP,ハイハイっと
早苗,ありがと、お姉さんもお酌しちゃおうかな
モバP,では、お言葉にあまえて
早苗,どうぞー
早苗・モバP,かんぱーい
早苗,仕事終わりのビールはいいね
モバP,これはちゃんとしたビールじゃないですけど
早苗,細かいことはいいっこなし
モバP,そうですよね。今日愛海がですねー
早苗,へー
モバP,そしたら清良さんがですねー
早苗,うんうん
モバP,早苗さん
早苗,何かな？
モバP,…
早苗,えっ、ちょ、こんなにいきなり…
モバP,…
早苗,あれ？
凛,まぁプロデューサー媚薬飲まされまくって抵抗できてるから1晩くらい心配ないか…
