岡崎泰葉,悠貴さん悠貴さん
乙倉悠貴,なんですかなんですか
泰葉,今日は悠貴さんと親睦を深めようと思って
悠貴,親睦を深めようと思って
泰葉,人形をプレゼントしようと思います
人形,
悠貴,うわぁ
泰葉,うわ？
悠貴,うわ、うわーい、嬉しいです！
泰葉,ふふふ、そうでしょうそうでしょう。だと思ってもう一つ持ってきてるんです
人形,
悠貴,ひっ
泰葉,ひ？
悠貴,ひっ、ひゃーっ、二つも貰えるなんて嬉しいです！
泰葉,そうそう、この人形、後頭部から伸びているひもを引っ張ると……
人形,
悠貴,ひえぇ
泰葉,白目を剥きます
悠貴,白目……
泰葉,こうやってクイクイすると面白いですよ
人形,
悠貴,わわわわ
泰葉,中途半端なところで止めて上目遣いにしたり
人形,
悠貴,んふっ
泰葉,ちなみに頭を取り外すこともできます
人形,首
悠貴,ひえっ
泰葉,胴体が水筒になってるんですよ
人形,身体
泰葉,どうぞ
悠貴,は、はぁ……。ミックスジュースだ……。で、でもこんなにギミック豊富な人形を二つも貰っていいんですか？
泰葉,大丈夫ですよ。大切な人にプレゼントするんですから、惜しくはありません
悠貴,泰葉さん……
泰葉,それにこれ、このドールハウスの中にいっぱいありますから
人形,
悠貴,。
泰葉,もしかしてまだ欲しいんですか……？
人形,。
悠貴,あ、いえ、二つで充分ですよ
泰葉,二つと二つで四つですよ？
悠貴,二つで充分ですよ！分かってくださいよ！
泰葉,あっ……。……
悠貴,あ、あの……
泰葉,うどんでも食べて落ち着きましょう。七味も用意してますよ、ほら
人形,首
悠貴,あっはい、そうですね
