ありすが色々なキャラを論破,仮
ありす,この度は集まっていただきありがとうございます・・・
周子,・・・
志希,・・・
フレ,・・・
ありす,これから、辛く厳しい論破がはじまることになるかもしれません
周子,・・・
志希,・・・
フレ,・・・
ありす,みなさん、心してかかるように。はじめましょう
周子,・・・おなかすいたーん
志希,・・・くんかくんか
フレ,・・・フンフンフフーン
卯月,みなさんおはようございます！
周子志希フレ,確保～！
卯月,へっ？なんですかこれ？
ありす,卯月さん、論破の時間です！
卯月,あわわわわわ・・・！
ありす,卯月さん、日ごろから自らのことを普通だと仰ってますよね？
卯月,は、はい・・・だってそうですし・・・
ありす,あんな立派な家に住んでいる上流階級出身の美少女が普通なわけないでしょう！
卯月,かはっ・・・！
ありす,論破です。復唱してください。
卯月,はい・・・
ありす,私は家庭にも友人にも容姿にも恵まれたスーパーアイドル、第五代目シンデレラガール、島村卯月です！
卯月,わ、私は家庭にも友人にも恵まれたスーパーアイドル・・・、第五代目シンデレラガール、島村卯月です・・・
ありす,ダブルピースはどこに行ったんですか！
卯月,え、えへへ・・・
ありす,別室に連れて行きなさい。フレデリカさんに普通とは何か教えてもらってください
凛,おはようございます
周子志希,確保～！
凛,え、ちょっと・・・
ありす,凛さん、論破の時間です
凛,な、なにこれ？テ、テレビ？
ありす,蒼の剣を受けよ笑
凛,そ、それはファンタジー要素のある世界観を壊さないために・・・！
ありす,じゃあ、残していこうか、私たちの足跡笑
凛,ぐふっ・・・
ありす,論破です。さて、どうしてくれましょうか
志希,ありす様、ここは私にお任せを～
ありす,わかりました、一任します
志希,じゃあ別室にごあんな～い！
凛,何をするつもりなの・・・？
志希,ちょっとプロデューサーの匂いに加齢臭を加えたものをテイスティングしてもらおうかにゃ～？
凛,え、ちょっと、ねぇ、やめっ！
ありす,・・・次です、いきましょう
未央,みんなおはよ～！
周子,はい確保ね～
未央,おっと～未央ちゃん捕まってしまいましたな～！
ありす,さて、論破の時間です
未央,ん？カメラはなさそうだけど・・・テレビじゃないの？
ありす,・・・どうしてアイドル辞めるって言ってたのにまだアイドル続けてるんですか？
未央,ぐぼぉっ・・・！
ありす,一撃論破です。周子さん
周子,ほいほ～い
ありす,アイドルが出来ることのありがたさを教えてあげてください
周子,了解で～す、ほないこか～
未央,はい・・・
ありす,ふぅ・・・三人が帰ってくるまで待ちましょうか。
かな子,みなさんおはようございま～す！
周子フレ志希,確保～！
かな子,へ？
ありす,論破の時間です。かな子さん。おいしいから？
かな子,え、えっと・・・大丈夫だよ～？
ありす,ほう、つまりあれだけ甘いものを食べているのは大丈夫からだと？
かな子,そ、そういうことに・・・なるんですかね・・・
ありす,身体に悪い物って大体おいしいことが多いですよね、論破です。
かな子,ううぅっ・・・
ありす,周子さん、実際に甘いものをひたすら食べさせて大丈夫か実験しましょう。別室へ
