伊168,以下イムヤ
提督,俺にか
イムヤ,ええ
提督,……そうさな…とりあえず入渠してこい
イムヤ,今じゃなきゃ嫌なの
提督,我が儘だな
イムヤ,そっちこそ、いつまで言わないつもり？
提督,……入渠し終わったら言うから
イムヤ,今じゃなきゃ嫌
提督,えぇ…
イムヤ,ほら、言って
提督,なんでまた急に
イムヤ,だって…聴きたくなったから
提督,理由になってないんだけど
イムヤ,いいじゃない！嫌いになったの？
提督,そんな訳無いだろ
イムヤ,じゃあ、好き？
提督,ああ。ほら、言ったぞ。入渠してこい
イムヤ,だめ。好きって言ってないもの
提督,……。ほ、ほら、今後処理が忙しくてな
イムヤ,でも喋れてるじゃない
提督,うぐっ…だから、入渠してきたら言うって
イムヤ,今じゃなきゃ嫌なの！
提督,うぅ…分かった、言う！言うから！
イムヤ,
金剛,ヘエエエェェェェェエエッッッイ!!!テートク!!決まりましたカ！？
提督,
イムヤ,
金剛,エッ、なんデスかこのアトモスフィアは…
イムヤ,砕けろ
金剛,ｱｳｯ!やめるデース!な、なんで叩くデース!
榛名,あまりお姉様をいじめないで頂けますか…？
イムヤ,いきなり入ってくるそっちが悪いのよ
金剛,うぅ…待機してマース
提督,うん
イムヤ,……ふぅ、さぁ！
提督,なんか言う気なくなっちゃったよね
イムヤ,なんで…
川内,何をやっているのかと思えば、本当にくだらないことしてるね
イムヤ,く…くだらないってなによ！
川内,いや、だってさ、二人共強情すぎ、これじゃ何時まで経っても進めないよ？
提督,イムヤが入渠すればいい話だ
イムヤ,司令官が一言言えばいい話よ
川内,全く…。もう付き合ってられないわ…私も待機してる。荷物はもうまとめてあるから。那珂は知らないけどね
提督,了解
川内,……程ほどにね
イムヤ,司令官がね
提督,イムヤがな
川内,ﾊｧ…
イムヤ,うぐぐ…
提督,んむむ……
朝潮,司令官…ｶﾞﾁｬ
提督,そうか、報告ありがとう、待機していてくれ
朝潮,了解。失礼します
提督,……ほら、もうすぐだ。潜水艦の入渠ならすぐだろ？
イムヤ,………
提督,イムヤ？
イムヤ,………
提督,……イムヤさん？
イムヤ,…言ってくれるまで動かないから
提督,んん……
古鷹,失礼します。重巡、及び航巡の出発準備が終了しました
提督,あれ、早かったね。鈴谷とか加古が居るから最後になるかなって思ったんだけど
古鷹,…まぁ、今日くらいは…皆さんふざけたりせずにしていました
提督,そっか…ありがと
古鷹,いえ、では待機しています。失礼します
イムヤ,………
提督,…ﾋﾟﾎﾟﾊﾟ
イムヤ,……何する気？
提督,貴女を動かします
