奏,不味い事態になったわよ、プロデューサーさん
楓,まぁ……なんて事……お酒を飲むしかありません……
文香,はぁ……この事務所はもう、終わりですね……
志希,こんな事態がいつか起きる事は分かってたし、さっさと海外に本社作れば良かったのに
茄子,ごめんなさい……幸運な私が、最近家でサボって出社してなかったから……
P,すいませーん！通して下さい！
ちひろ,プロデューサーさん……私達、どうなるんでしょう……
今西部長,……そろそろ、潮時かもしれないね
美城専務,……………………どういう事だ。説明したまえ
P,これは……
セミ,ーーーーーーーー
P,……セミファイナル、か……なんで、こんな場所で……。……なんで、こんな場所で……
美城専務,……ライバル事務所の企みだろう。こんな形で一矢を報いてくるとはな
今西部長,しかし、見上げた根性だね。誰か一人は、このセミをここに運ぶ為に犠牲になったんじゃないかい？
ちひろ,他者の陰謀かどうかはどうでも良いんです……専務、どうしますか？
美城専務,我が社の人間が正面玄関以外から出社するなど、認める訳にはいかない
P,じゃあどうしろって言うんですか！セミファイナルなんですよ！もし起爆したら！
セミ,ジッーーーー
全員,っっっっっ？！？！！
加蓮,……今、動いたよね
凛,……やっぱりまだ、生きてるんだ……
奈緒,待てよ！まだ気のせいだった可能性もあるだろ！
まゆ,Pさん……まゆ達、どうなるんですか……
響子,いざとなったら、みんなの為に私がお掃除しなきゃ……
智絵里,カエルさん……カエルさん……
卯月,が、頑張らなきゃ……頑張ります……頑張……
美穂,ダメ、無理
李衣菜,いっそ今日は休みにしちゃう判断もロックだと思いますけどね
P,……みんな、落ち着くんだ。ここは大人に任せてくれ。警備員は？清掃担当の人達は何処に？
ちひろ,……真っ先に、逃げ出しました……
P,……いや、責任を押し付ける訳じゃない。分かってる、あの人達にも家族がいる
典子,ドーナツで誘き寄せられないかな？
ゆかり,でしたら、フルートで……
有香,いざとなったら、二人だけは絶対に守ってみせます……！
ありす,っ！みなさん！生死の確認は足を開いてるか組んでるかで判断出来るそうです！！
仁奈,無駄でごぜーます……まれに例外もいるでごぜーます……
桃華,ボディガードの方、分かっていますわね？何があっても、皆さんの命だけはお守りするんですわよ？
輝子,……ふひ……セミファイナルは、本当に危険だ……
乃々,避難するべきだと思うんですけど……
小梅,……あの子でも、逃げちゃった……
美嘉,莉嘉、あんたなんとか出来ない？
莉嘉,ムリムリムリムリ！セミファイナルだけは絶対に近付いちゃいけないってそれ常識じゃん！
フレデリカ,ふんふんふふーん
周子,どないすんの？このままずっと炎天下に晒されてたらそれこそもっと被害が広がりそうだけど
P,……今、考えてる……
ちひろ,他の役員の皆さんは……
かなり偉い人,セミファイナルだと？何故対策しておかなかった！
そこそこ偉い人,馬鹿者！何の為に警備員を雇っている！
あんまり偉くない人,犠牲になれと仰ってるんですか？！
偉そうな人,だったらあんたらが何とかしろよ！
通りがかりの人,なんの騒ぎだい、こりゃ……
占い師っぽい格好の朋,終わりじゃ……破滅の未来が見えるのじゃ……
P,くそ……混乱が広がってく……
肇,昔なら、この程度脅威じゃなかったんですが……
杏,仕方ないよ、今日は休みにしない？
かな子,美味しくなさそうだから大丈夫じゃないよ
きらり,にょわ、やべぇ
凪,これを機に他の優良物件を探すべきでは？築五分、駅前から20年
颯,それじゃ終電逃しちゃうよ。あ、寧ろ憧れの展開かも
あきら,#JIMUSHONOOWARI#夏の風物詩#セミファイナル
りあむ,え、この事務所バカ過ぎてやむ
あかり,これが都会んご……
忍,都会のセミファイナルは威力が違うからね
柚,暇だしバトミントンしない？はーいみんなスペースあけてー！
ちとせ,千夜ちゃん千夜ちゃん、なんとか出来ない？
千夜,……お前、早くなんとかしろ……して下さい……！
P,……みく、お前猫だろ
みく,食べろとか言ったらぶちころがすにゃ
アナスタシア,あー……セミ、ファイナル……？
美波,えっとねアーニャちゃん。セミファイナルのセミは直前とか手前って意味と蝉がかかってて……
みりあ,みりあセミファイナルの掃除やんないよ
未央,あーちゃんあーちゃん、喫茶店行かない？
茜,良いですね！私があーちゃんです！！
藍子,一回でも茜ちゃんがあーちゃんって呼ばれた事ありましたか？
裕子,むむむーん……これにはエスパーゆっこも匙を曲げる次第です
瑞樹,意地でも匙を投げる気は無いのね、分かるわ
美城専務,仕方ない…………皆、聞け！
皆んな,！
美城専務,我が社の規則として、正面玄関以外からの出社は認めていない！
美優,……初耳です……
美城専務,そして！規則を曲げる訳にはいかない！
P,……まさかっ！
美城専務,よって本日！全ての業務予定は白紙に戻し！美城プロは休業日とする！
皆んな,うぉぉぉぉぉぉぉぉっっっ！！。帰るぞぉぉおぉぉぉぉっっ！！
ペロ,にゃあ
セミ,ジッ…………
雪美,あ…………ペロが、食べちゃった…………
皆んな,……………………
美城専務,…………何をしている、皆。早く出社したまえ
ちひろ,えぇ……もう帰るテンションなんですけど
美城専務,馬鹿な事を言うな。全員を休みになんて出来るはずが無いだろう
P,まぁ、やる事あったし良いか
美城専務,さあ、入るぞ
皆んな,…………
セミ,ジッ…………
皆んな,…………
美城専務,帰ろう
皆んな,うぉぉおぉ！
