多田李衣菜,みくちゃんみくちゃん！聞いて聞いて！
前川みく,どしたの李衣菜チャン？そんなに言わなくても聞こえてるけど
李衣菜,さっき茜ちゃんとお仕事だったんだけどさ？室内で、靴を脱いでの写真撮影だったの
みく,うんうん
李衣菜,茜ちゃんってさ？すごい豪快な感じのキャラクターじゃん？
みく,もちろんそうにゃ
李衣菜,なのに、靴を脱ぐ時、凄い丁寧だったんだよ！しかも脱いだ後、ちゃんとしゃがみこんで向きを揃えて端に寄せてて！
みく,あー、茜チャン、そういうところはキッチリしてるもんね
李衣菜,なんかそれを見たとき、すごく……こう……いいなって！
みく,ふーん？
李衣菜,こういうのって、"ギャップ萌え"って言うんでしょ？
みく,そうだね。最近わりとよく聞くけど
李衣菜,私もやりたい！
みく,……は？
李衣菜,ギャップ萌え……！ふとした瞬間に漏れ出る自分の内面……！ロックじゃない！？
みく,なんか始まったにゃ……
李衣菜,早速だけど、どういうギャップ萌えがいいかな？
みく,そもそも、そういうのは素で出るから好感を呼ぶんだよ？足そうとしてなんとかなるものじゃないんだから
李衣菜,まあまあ、考えるだけでもさ？
みく,面倒くさいにゃあ……
李衣菜,後でみくちゃんのも一緒に考えてあげるから
みく,普通に巻き込まれてるけど余計なお世話にゃ
李衣菜,ってかその前に、今の私にギャップ萌えとか、あるかな？
みく,それなら料理にゃ！ロック好きを公言してるけど、案外家庭的でしょ？
李衣菜,えぇ～
みく,そ、そのリアクションは予想外にゃ……。不満なの？
李衣菜,ロックじゃない……
みく,ロックの定義がわからないんだけど……
李衣菜,これで得意料理が"アフリカの先住民に伝わる伝統料理"とかならロックなんだけど
みく,アイドルやってる場合じゃないよ
李衣菜,もっといいのないかな～
みく,そんなこと言われても……
李衣菜,なんかこう……インパクトあるやつがいいよね
みく,例えば？
李衣菜,趣味が墓荒らしとかさ
みく,萌える？墓荒らし系アイドルって萌える？
李衣菜,SNSが燃えそうだよね
みく,やかましいわ！。ってか普通に犯罪にゃ！
李衣菜,え～？じゃあ、実はギターが上手いとか？
みく,それがギャップになったら李衣菜チャンはおしまいだよ！？大々的にアピールしなよ！
李衣菜,実はジャズが大好きとか
みく,なんでさっきから自分の個性を消しにかかってるの！？
李衣菜,実はヘッドホンに見せかけて冬用の耳当てを集めてるとか
みく,もう李衣菜チャンでもなんでもないにゃ！。このままじゃジャズ好きな寒がりの墓荒らしだよ！？どこに行くつもりなの！？
李衣菜,"ジャズ好きな寒がりの墓荒らし"って何なのさ笑
みく,お前のことにゃあああ！！！
李衣菜,じゃあみくちゃんにはどんなギャップ萌えがあるのさ！
みく,なんでちょっと怒ってるの！？理不尽じゃない！？
李衣菜,実は犬好きとか？
みく,それでネコアイドルやってたらメンタル強すぎでしょ。自分を殺すってレベルじゃないよ
李衣菜,その語尾の"にゃ"は"般若心境を唱えて救われよ"の略とか？
みく,みくの個性も潰しにかかるのやめてくれないかな！？
李衣菜,実は趣味が墓荒らしとか？
みく,墓荒らしはこんな短時間に何回も出てきていいような単語じゃないにゃ！！！。ってかさっきからギャップに重きを置きすぎて萌えがちっとも考えられてないんだけど！
李衣菜,はっ！確かに！
みく,もっとちゃんと、"それを趣味にしてるアイドルがいてもいいけど、まさかこの人が！"みたいに思わせなきゃでしょ？
李衣菜,難しいね……
みく,簡単ならみんなやっちゃうにゃ……
李衣菜,あっ！ひらめいた！
みく,どうせろくでもないアイデアにゃ
李衣菜,ひどいなー
みく,はいはい、それで？
李衣菜,なんか正反対っぽい性格のアイドルの趣味を入れ替えれば、いい感じのギャップ萌えキャラが生まれそうじゃない！？
みく,……みくと李衣菜チャンの話だったのに、他のアイドルに飛び火してるにゃあ……
李衣菜,そこからギャップ萌えとはなんたるかを学ぼうよ！
みく,自力か他力かよくわかんない……
李衣菜,例えば、時子さんと雪美ちゃん！
みく,いきなりエグイとこ突くよね。ダメにゃこれ思ったよりじわじわくるやつ。これもけっこう危ないにゃあ！
李衣菜,これ、面白いね！
みく,角煮をコトコト煮込む雪美チャンなんて見たくないにゃ……
李衣菜,次いこう！
みく,早速目的とか見失ってるでしょ
李衣菜,時子さんと仁奈ちゃん！
みく,時子さんに何か恨みでもあるの？。なんか年少組の間で空前の豚料理ブームが起きてるにゃ……。怖い怖い怖い！
李衣菜,ギャップだね～
みく,死んだ目でカゴに着ぐるみを捻じ込む時子さんのどのあたりが萌えなの……
李衣菜,でも仁奈ちゃんが時子さんのカゴにこっそりと着ぐるみを入れてたんだとしたら？
みく,……
李衣菜,……
みく,まあ……ちょっといい感じだけど……
李衣菜,でしょ？。ハイ次！
みく,李衣菜チャンのテンションがみく全然わかんないにゃ
李衣菜,ライラちゃんと乃々ちゃん！
みく,そもそも性格が反対には感じないんだけど……。何があったの！？。キャラが根底から崩れてるにゃ！社交性の塊になっちゃったよ！
李衣菜,萌えない？
みく,ゆっくり休んでほしいレベルにゃ……。これは……まあ、悪くないと思うけど、どんなポエム書くのか想像できないにゃ
李衣菜,"目には目を、歯には歯を"とか？
みく,それポエムじゃなくてハンムラビ法典じゃない！？そんな物騒なポエムがあってたまるか！
李衣菜,お、落ち着いて！
みく,誰のせいにゃ！！！
李衣菜,ご、ごめんって
みく,"それポエムじゃなくてハンムラビ法典じゃない！？"なんてツッコミ、人生でもう二度と言うことないもん！
李衣菜,つ、次いこ！次！
みく,もう好きにして……
李衣菜,真奈美さんと千佳ちゃん！
みく,もうすでにヤバそうにゃ……。真奈美さんが壊れた……。魔法少女物理
李衣菜,盛り上がってきたね！
みく,今さらだけどこれ誰も得しなくないかにゃ？
李衣菜,次は菜々ちゃんと志希ちゃん！
みく,どっちもキュートだけど……。シャレになってないにゃ！！！。菜々チャンどうしちゃったの！？。これウサミン星乗っ取られてない！？
李衣菜,壮大な物語……ロックだね！
みく,結局菜々チャンはどこへ！？
李衣菜,次！千枝ちゃんと鈴帆ちゃん！
みく,また似ても似つかない2人を……。……あれ？。……あっ、この2人って趣味いっしょなんだ！
李衣菜,へへーん！
みく,でも趣旨から完全に外れてるからね！？
李衣菜,いやー、楽しかったね！
みく,……李衣菜チャン、当初の目的、覚えてる？
李衣菜,え？"みんなの趣味を覚える"でしょ？
みく,ダメだこいつ……
李衣菜,う、うそうそ！ギャップ萌えについてでしょ！そんな冷たい目で見ないでよー
みく,李衣菜チャンはバカっぽく見えてバカだからギャップもなにもないにゃ
李衣菜,ひどいなー！みくちゃんだって可愛く見えて可愛いじゃん！
みく,なんでこの流れで褒めたの！？めっちゃリアクションしにくいんだけど！？
李衣菜,えー？褒めても怒られるのはおかしくない？
みく,……
李衣菜,……？
みく,り、李衣菜チャンだって……その……
李衣菜,え？
みく,好きなことに真っ直ぐなとことか……いいと思う……けど
李衣菜,みくちゃん……
みく,……
李衣菜,さっきまで怒鳴ってたのに急に小声になるなんて、ギャップ萌えだね！やるじゃん！
みく,せっかく褒めたんだからリアクションしろにゃああああああ！！！！！
李衣菜,うわあ！？なんで怒ってるの！？
みく,うるさい！もう李衣菜チャンなんて知らないにゃ！！！
李衣菜,な、なんか悪いことしちゃったなら、みくちゃんも同じことしていいよ？ほら、"目には目を、歯には歯を"って
みく,ハンムラビ法典はもういいにゃあああああああ！！！！！！！
