前川みく,15
Ｐ,ったくあの馬鹿どこいったんだか……。……っと、やっと見つけた。おい何してんだ、この猫娘が。こんなずぶ濡れになりやがって
みく,…………Ｐチャン…
Ｐ,ったく突然いなくなったと思ったらこんなとこほっつきよって、ほら帰るぞ
みく,あっ……
Ｐ,ほれ、ついたぞ
みく,にゃ……ここって事務所じゃなくて……Ｐチャンのおうち？
Ｐ,とりあえず入れ
みく,うん……おじゃまします……
Ｐ,んでそのままこっちゃこい
みく,うにゃ……お風呂場？
Ｐ,いいかー……じっとしてろよ？
みく,目を閉じてどうしたのかにゃ？
Ｐ,秘技！十時直伝！！一発脱がせッ！！！
みく,に”ゃっっ！！？？
Ｐ,かーらーのー？桐野直伝！フェザースロー！そぉい！！
みく,に”ゃぁぁぁぁ！？
Ｐ,はいお風呂場のドアガチャー
みく,ちょ、ちょっとぉぉ！？何するにゃあああＰチャーーン！？
Ｐ,ふはは驚いただろう！だがこれだけではないぞっ。続いてはお風呂場のハイテクリモコン攻撃！
みく,うにゃぁぁ！？いきなりシャワーからお湯が出てきたぁぁ！？
Ｐ,この風呂場は外からリモコンでお湯を出せるのだフハハハ！さあ食らえ食らえぃ！
みく,ちょっと本当に何なのこれぇぇ！！。に”ゃぁぁ～……結局お風呂に無理やり入れられて洗うハメになっちゃったにゃあ……。その上脱いだ服は勝手に洗濯機に入れられていつのまにか用意された着替えまで渡されて。一体何が何やら……
Ｐ,お、上がったな
みく,うん……お風呂ありがとうにゃ
Ｐ,勘違いするなよ？悪い子へのお仕置きファーストステップをこなしただけだ。次はここへ正座しろ
みく,うにゃ～……お次は何なのにゃ
Ｐ,ライブにボロ負けしたからといって突然飛び出したお馬鹿の子にお説教だ
みく,うぅ……ごめんなさいなのにゃ。わぷっ
Ｐ,但し、普通にお説教するだけでは効かんだろうからな、熱風攻撃をしながらお説教だ！。俺が良いと言うまで正座して動くんじゃないぞ？そもそも一回ライブに負けたぐらいで逃げ出すんじゃない――――
みく,にゃぁぁぁ――。結局髪が乾くまでお説教されたにゃ……足が痺れて動けないにゃ
Ｐ,よーしまだまだお仕置きは続くぞぉ
みく,にゃ？ごはん……？
Ｐ,お仕置きその３！昨日の余り物＋俺の嫌いな食べ物押し付け攻撃！！
みく,えっと……食べなさいって？
