モバＰ,おはようございまーす！
杏,うー誘拐犯ー変態ーっ！は～な～せ～！
ちひろ,あ、おはようございます、プロデューサーさん、杏ちゃん
きらり,杏ちゃん、Ｐちゃん、おっすおっす☆
Ｐ,おう、おはよう。元気いっぱいのきらりには杏をあげよう
きらり,うきゃーっ☆杏ちゃん朝からハピハピすぅー？
杏,ちょ、きらり待って、朝からそのテンショ……むぐ
Ｐ,きらり、そのままレッスン連れて行ってくれ。その後はお持ち帰りでいいから
きらり,うきゃー☆杏ちゃんきらりんルームへお持ち帰りー！
杏,
凛,おはよ、プロデューサー
Ｐ,おう、凛もおはよう。今日は番組の打ち合わせの後レッスンだったな？送ってくよ
凛,うん、でも大丈夫だよ。プロデューサーも仕事いっぱい入ってるでしょ？
ちひろ,そうですよプロデューサーさん。今日は智絵里ちゃんのレコーディングに和久井さんの撮影、智香ちゃんのインタビューに……
凛,前から思ってたけど働きすぎだよプロデューサー。そのうち倒れちゃうよ？
Ｐ,鍛えてるからこのくらいじゃ俺は倒れないさ、みんなをプロデュースするのは楽しくてしかたないしな！
凛,まぁ……確かにプロデューサーって疲れてるところ見たことないけど……
莉嘉,おはー☆今日も寒いけど頑張ろうねＰくん☆
雪美,……おはよう……Ｐ……今日は寒い……
こずえ,ふわぁー……ぷろでゅーさー……こずえねーさむいのー
Ｐ,よーし、寒い子はおいでー
莉嘉,えへへ……あったかーい
雪美,……もっと、ぎゅって強くして……
こずえ,ぎゅー……えへー……ぎゅってするの、すきー
凛,……むぅ
Ｐ,凛もほら、ぎゅーっ
凛,わわっ！ちょっとプロデューサー！？
Ｐ,よーし！暖まったら仕事行くぞー！みんなつかまれー車まで運んでやるぞーっ！
凛,あっ！ちょ、おろしてよ！もう！///
ちひろ,行ってらっしゃーい。……それにしてもプロデューサーさんホントにタフですねぇ。ちょっとお仕事を覗いてみましょうか
お仕事その１,急なトラブルにきっちり対処！
幸子,ぷぷぷ、プロデューサーさん！なんでボクはまたこんな所にいるんですか！？
Ｐ,何でってそりゃお前、幸子トライアスロンの企画が通ったからに決まってるだろ
幸子,だ、だからって砂漠に着地とか酷いですよ！すす、スカイダイビングの後砂漠なんて！
Ｐ,幸子の為の特別なトライアスロンなんだぞー！砂漠の後は水泳！陸海空を制覇するんだ！
幸子,うっ海！？ちょっと聞いてないですよ！打ち合わせじゃただのライブだって……！
Ｐ,ｂ
幸子,いや、グッドラックじゃなくてあの……ちょっとその親指やめてください！押さないで！
Ｐ,後で俺も飛ぶから、できるできるー頑張れ幸子ー！
幸子,あああぁぁぁぁぁぁ！！。いやああああぁぁぁぁ！。パ、パラシュート……！早く開かないと……！。えっ！？。ち、ちぎれたっ！？嘘っ！えええええっ！？。予備っ！予備のパラシュートがあったはず！どこに……！。無い！？えっ嘘！？うそぉぉぉっ！！。早く！見つけないと……見つけ……！このままじゃ……。死ぬ！？。いやああああっ！やだっプロデューサーさんっプロデューサーさんっ！！
Ｐ,おーい幸子ー落ち着けーその横だ横ー！
幸子,！？ぷ、プロデューサーさん！？助けてっ！助けてくださいっ！
Ｐ,だーから、その横のやつを引けって……ああ、もうしょうがない
幸子,ふぇ！？
Ｐ,うーむ、直前に知らされるサプライズ企画って事だったんだがちょっと無理があったか……
幸子,えっ！？えっ！？プロデューサーさん、今ボクどうなって……！？
Ｐ,ごめんな幸子、降りるまでお姫様抱っこの形になるが我慢してくれ
幸子,！？プロデューサーさん！パラシュートは！？
Ｐ,幸子がパニクってるの見えたからさ、脱ぎ捨ててきた
幸子,ええっ！？でもそれじゃ落ちちゃいますよ！
Ｐ,大丈夫大丈夫～！こうやって高速で空中を蹴って勢いを殺してやれば……。ほらな？無事着地できた
幸子,。あ……あ……
Ｐ,いや～どうするかな……もう一回飛ぶ時間も無いし……最悪、インザスカイはカットか編集で何とかするか
幸子,……
Ｐ,おーい幸子、これから砂漠を10キロくらい歩くぞーしっかり付いてこーい
幸子,えっ！？ちょっと待ってくださいよプロデューサーさん！今のは何なんですか！？
Ｐ,ほーら、もう撮影してるんだから……幸子スマーイル！スマーイル！
幸子,えっ……撮ってる！？……ふふーん！砂漠横断なんてボクのカワイさなら楽勝ですよ！。……じゃなくて！説明してくださいってばー！
ちひろ,……。あら？もしかして思った以上にプロデューサーさんってタフな人……？
未央,いや、タフってレベルじゃ無かったよ今の……
ちひろ,わわっ！？未央ちゃん？お、おはようございます！
未央,おはようちひろさん。今来たんだけどちひろさんがプロデューサーの記録映像見てたから……
ちひろ,ほら、プロデューサーさんって結構人間離れしたところあるじゃないですか……だからちょっと確認してみようかって
未央,あー確かにプロデューサーって凄いよね。150人以上一人で担当してるし……
ちひろ,やっぱり未央ちゃんも気になりますよね！一緒に色々見てみましょうよ！
未央,……時間もあるし、そうだね！色々見ちゃおうか！
楓,ではＶＴＲスタート！
ちひ未央,楓さん！？いつの間に！？
楓,……ふふっ♪
お仕事その２,アイドルのケアもばっちり！
輝子,キノコーキノコー……フヒ……し、親友、机の下で新しいキノコが出来たんだけど……フヒヒ……
Ｐ,おおう、こりゃまたすごい色のキノコだなぁ、７色に輝いている
輝子,フヒ……愛情いっぱい育てた……ジメジメ……親友の足の成分もちょっと入ってるかも……
Ｐ,どれ、ちょっと貸してみ……ｸﾝｸﾝ……うーん、毒はないみたいだが……
輝子,ど、どう……かな？おいしい……？フヒヒ
Ｐ,ああ、うまいぞこれ。……ただこれは普通の人には食べられないかもなーちょっと刺激が強い
輝子,そ、そっか……残念……だけど私と親友だけ食べられるキノコ……フヒ……特別……フヒヒ
Ｐ,そうだな、食べるとちょっとハピハピになってヒャッハー！！って気分になるのが無ければ良かったんだけどな
輝子,うん……次はみんながトモダチになれるキノコ作る……フヒ
Ｐ,おー楽しみにしてるぞー
小梅,あっ、あの……プロデューサーさん、おはようございます
Ｐ,ああ、小梅おはよう……ん？
小梅,あ……やっぱりわかる……かな？
Ｐ,まーた変なの憑けてきたなぁ……この前の廃墟めぐりの後か？
小梅,う、うん……おうちまで付いてきちゃったみたいで……あの子もいろいろ説得してくれたんだけど……。別に憑いてくれるのはいいんだけれど……イタズラ好きで……ちょっと困ってるかも……
Ｐ,うーむ、確かにイタズラっ子だな
小梅,み、みんなに迷惑かけるのは駄目って言ってるんだけど……
Ｐ,よーし任せとけ、こんな時の為に寺産まれの友達にならった技があるんだ。いい子にしないなら……破ァーッ！！
小梅,あ、怖がってる……
Ｐ,今のが直撃する事になるぞーっ！嫌だったらいい子に……って
小梅,に……逃げちゃった……
Ｐ,ハハハ……少し脅かしすぎたかな
小梅,う、うん……でもプロデューサーさんかっこよかった……よ？
Ｐ,そうかーありがとな小梅。よっし仕事の続きだー！
麗奈,アーッハッハッハ！アタシにひれ伏しなさい！
光,くっ……パワーが……！アタシはまだ負けられないんだ……！
麗奈,フフフ……無駄よ！このレイナサマは無敵なの！アーッハッハッバッ……ゲホッゲホッ！
