関裕美,どうしたの？莉嘉ちゃん？そんなに慌てた様子で？
城ヶ崎莉嘉,どうしたもこうしたもないよーっ！メール見てないの～？
裕美,メール……？あっ、メール来てたんだ、えっと……Ｐさんから？
莉嘉,そうそう！アタシもさっき教えて貰ったんだけどね☆
裕美,……。夏休み、田舎で……お仕事？
莉嘉,アタシも裕美ちゃんと一緒にそこ行くんだよ☆色々なカブトムシ楽しみー☆ってそこじゃないの～！
裕美,り、莉嘉ちゃん。ちょっと落ち着いて……。私に何かお願いしたいことがあるんじゃなかったの？
莉嘉,うん！お願いしたいことってのはね―――。じゃーん☆どうかな？アタシセクシー？
裕美,かわいいけど！そんな姿でカーテン開けちゃダメ……！
莉嘉,ぶー……。水着だからいいと思うんだけど～
裕美,ここお店なんだから、ちょっと気を付けようね、莉嘉ちゃん
莉嘉,はーい……。じゃあ、次の水着の時はこっそり開けるね☆お着替えして次の水着を選んじゃおっ。でも、さっきの水着も可愛かったし、やっぱり裕美ちゃんに頼んで正解だったかも☆
裕美,水着を選びたいって言ってたけど、莉嘉ちゃんの学校水泳の授業ないの？
莉嘉,あるよ～。体育で泳ぐのすっごい楽しいから、大好き！でも、学校の水着可愛くないし……。他の可愛い水着もあるんだけど、やっぱりＰくんを悩殺するには、いままでのじゃダメかもっ！って思ったんだー☆へへ～
裕美,何でそこでＰさんがでてくるの？あっ、一緒に遊びに行く約束したとか？
莉嘉,ぴんぽ～ん☆今度アタシと裕美ちゃんが田舎に行くでしょ？その時ね、Ｐくんがすっごいキレイな川に連れてってくれるんだって！
裕美,そうなんだ……。私はまだ詳しい話聞いてないから知らないけど……
莉嘉,時間が空いたら泳いでもいいって言ってたから、ガンバって可愛い水着選んじゃうの！
裕美,ふふ……。莉嘉ちゃん可愛いから、どんな水着でも似合うと思うよ
莉嘉,ありがと～♪でも、アタシだけじゃ不安だし、裕美ちゃんも行くなら可愛い水着を着ちゃおうよ～☆
裕美,えっ？わ、私はいいよ！その……。恥ずかしいし……
莉嘉,さっきはアタシが選んでもらったから、今度は裕美ちゃんの選んであげる☆
裕美,い、いいよ。莉嘉ちゃん。私に可愛いのは……。可愛いのは……。……
莉嘉,？どーしたの裕美ちゃん？ねぇねぇ、これなんてどうかなー？
裕美,可愛いのなんて似合わない……。ずっとそう思ってたっけ……。でも、こんな私でも可愛くなれるって、ずっと応援してくれて……。それで……
莉嘉,ピンク色のこれ裕美ちゃんに似合うと思うんだけど、どうかなっ？アタシもお姉ちゃんほどじゃないけど、センスには自信あるよっ♪
裕美,その水着可愛いね、莉嘉ちゃん。……ありがとう、ちょっと試着してくるね
莉嘉,いってらっしゃーい！……わっ、このビキニ小さいのに凄い高い……！
裕美,ここの試着室意外と広いんだね。……この水着、莉嘉ちゃんが選んだだけあって、可愛いね。可愛い水着なんて、似合わないし、目つきがきつくて、怒ってるなんてずっと思われてたのに……。そんな私が、アイドルになって、輝けて……。皆を笑顔にできたんだよね。莉嘉ちゃんみたいに悩殺とまではいかなくても、こんなに可愛い水着を私が着たら、Ｐさん喜んでくれるかな？。そ、それじゃあ恥ずかしいけど……着てみ莉嘉ねーねー裕美ちゃん！その水着どんな感じー！？。あっ……
莉嘉,まだ着替えてたの？ごめ裕美か、カーテン閉めてー！
裕美,……じっと見てなくてもいいよ？サイズは計ったから、別のことして待ってても……
莉嘉,いーの♪裕美ちゃんがアクセ作ってるところみたいもん☆
裕美,そんな凄いものじゃないよ、ただ好きで作ってるだけだし……
莉嘉,でも、アタシが裕美ちゃんにブレスレット作ってってお願いしたから！それにアタシもアクセ作ってみたいな～
裕美,このブレスレット作り終わったら、一緒に作る？簡単なのなら一緒にできるから
莉嘉,本当！？それじゃあ髪留め作りたい！
裕美,莉嘉ちゃん髪２つに纏めてるからね、２人で作れば丁度いいかな？……はい、できたよ。手を出して
莉嘉,あーっ！完成するところアタシ見てないよー！
裕美,ごめんね、サイズはぴったりだと思うんだけど……
莉嘉,……ぴったり！ありがとー！裕美ちゃん！それじゃあ次は髪留めつくろー！
裕美,莉嘉ちゃんの髪を纏めるなら、ヘアゴムかな？莉嘉ちゃんはどんなのがいいとかある？
莉嘉,あのねあのね！アタシが作りたいのはね！―――。おっはよ～Ｐくん！アタシ今日すっごい楽しみだったけど、ちゃんとお布団はいったよー！
モバＰ,おはよう、莉嘉、裕美。こんな朝早くに集合させて悪かったな。現地には車で向かうから、車の中で寝ててもいいぞ
莉嘉,え～！Ｐくんとお喋りしててもいいでしょ？だってアタシ今日ちゃんとコーヒー飲んできたんだよ！
裕美,無理して全部飲まなくてよかったのに……。あ、おはようＰさん。荷物は後ろに載せればいいのかな？
モバＰ,ああ、後ろのトランク開けるから……よっと。それじゃ２人とも、荷物預かるぞ。高速に乗っていくから、必要な手荷物は持っててくれ
莉嘉,アタシＰくんのとなりー☆……えへへ、ほらほらＰくんはやく行こうよー！
モバＰ,あまり急かすなって……。それじゃあ裕美は後部座席に乗ってくれ
裕美,うん、それじゃあお邪魔します
莉嘉,Ｐくんこの時間帯って変な番組しかやってないよー
モバＰ,一応ＤＶＤとかもあるぞ、聖靴学園の七不思議とか他にもトークバトルのディレクターズカット版とか
莉嘉,七不思議はアタシもう見たよー☆でも、怖かったらＰくんに抱き着いちゃってもいいよね♪
