二階堂千鶴,以下千鶴
三浦あずさ,以下あずさ
千鶴,あずさの方向音痴伝説は聞いていましたが、まさか埼玉からのロケ帰りで京都に辿り着くとは…
あずさ,あら？あそこのお土産屋さんはまだ開いてるわね、お土産買って行かないと…
千鶴,お、お待ちなさいあずさ！一人で歩き回るなと何度も言ったでしょうが！
あずさ,大丈夫ですよ千鶴さん、いくら私でも見えている場所へ向かうのに迷子になるなんて事は…
千鶴,今日だけで4回ありましたわ…
あずさ,あ、あら?そうだったかしら…。所持金、所持金…えーっと…
千鶴,新幹線と宿代で2万円弱使う計算です、お土産を買ったら帰れなくなったなんて事が無いように…
あずさ,あ、あのー…私の所持金、確かめたら5000円を切っちゃったんですけどどうしましょう…？
千鶴,うえぇ！その所持金では新幹線どころか夜行バスにすら乗れないではないですか！？
あずさ,も、もし良ければ明日返すので帰りの電車代を貸して頂ければありがたいのですが…。最悪、ネットカフェか何かで夜露を凌いで朝の高速バスで帰るって方法も…
千鶴,明日の15時からテレビの収録があるのをお忘れですか？最悪でも明日の正午までには戻らないといけません。
あずさ,えーっと、じゃあヒッチハイクで東京まで戻るとか…
千鶴,おやめなさい！下心丸出しの下種に拾われたら帰るどころか取り返しの付かない事になりますわよ！？
あずさ,うぅ…確かに女二人でヒッチハイクの旅はリスクが高過ぎますね…
千鶴,まぁ、事務所に助けを求めるしかないでしょうね、うまくチケットを手配してくれれば良いのですが…
あずさ,それなら電話も長くなりそうですし、どこかカフェでも探して…
千鶴,だから！一人で歩くなと言ってるでしょうがーっ！。なんとかチケットを手配して貰えることになりましたわ。小鳥の苦い顔が目に浮かぶようでしたが…
あずさ,行きの新幹線代も経費で落ちる事になって良かったですね～。
千鶴,迷子代と迷子の迎え代で処理される領収書なんて前代未聞でしょうね…
あずさ,まあ、経費で通るなら良いじゃないですか…それで、宿はどうします？やはり雰囲気の良い…
千鶴,京都駅近辺の安宿です。近くでないとまた迷子になりますし、そもそもあなたお金無いでしょう？
あずさ,えーっと、それなら折角京都に来たし何か記念品を…
千鶴,始発の新幹線に乗って帰るので買う時間などありませんよ？今日はもう土産物屋も閉まってますし…
あずさ,そうなると、京都観光とかをする時間は…
千鶴,ある訳ないでしょう？それに宿泊費も3000円くらいはかかるのに残金で何をするつもりですか？
あずさ,い、言われてみれば所持金2000円以下では何もできませんねぇ…
千鶴,まったく、あずさは方向音痴を差し引いても抜けていますわねぇ…私と同い年でこうも天真爛漫でいられるとは…
あずさ,うふふ、こうも言動全てにツッコミを入れられると友美を思い出すわ…
千鶴,友美…あずさの友人ですか？。それはそれは…友美さんもさぞ苦労された事でしょうね…
あずさ,ええ、今でも迷子になってない？とか起きた？とかそんな連絡も来るくらいですから…。…そうだ！宿を見つけたら少しだけお酒を飲みませんか？私が奢りますよ？
千鶴,また唐突に話を変えましたね…このみさんのように晩酌の習慣でもおありでして？
あずさ,いえ、普段はあまり飲まないですけど、千鶴さんとじっくりお話する機会ってあまり無かったですしね。
千鶴,心配するのはそこでは無いと思いますが…まあ、構いませんよ。安酒もたまにはいい物です…。知ってか知らずか周りも巻き込んでゆったりとしたペースに持ち込む、これが彼女の人徳の源ですかね…
あずさ,じゃあまずは京都駅の方に向かわないといけませんね…えーっと、来た道は…
千鶴,あずさ！そっちは来た方向ではありませんわ！今から比叡山にでも登るつもりですかあなたはっ！。そう言えば、わたくしとあずさは同い年だと思っていましたが…良く考えると違いますわね
あずさ,えっ？同じ21歳ですよね？
千鶴,いや、あずさは去年短大を卒業したんですよね？
あずさ,ええ、去年から765プロのお世話になって、ようやく恩を返せるくらいに人気が出てきましたね…
千鶴,ですから学年に換算すると大学4年生相当…学年基準だとわたくしではなく風花と同い年ですわ。
あずさ,えっ…つまり私より千鶴さんの方が年下…？。えーっと…実は千鶴さんが21歳の大学4年生って事になりません？
千鶴,明記されていないので無いとは言いませんが…少々苦しいのではないかと…
あずさ,待って千鶴さん！私を置いて行かないで！
千鶴,年齢的に置いて行ったのはあずさの方なのでは…？
