和久井留美,おはようございます
ちひろ,あ、留美さんおはようございます
留美,あら……Pくんはいないのね。また営業かしら
川島瑞樹,聞いてよっ……それが違うのよっ！？
留美,……川島さん、ご立腹のようね。どうかしたの？。……そう言えば、北海道の会社だったわね。予定がまるまる無くなっちゃったのね。……。本当にそれで良いのかしら？
ちひろ,えっ
瑞樹,そうよね、留美さんもそう思うわよね？ちひろちゃんってば、Pくんに甘すぎなのよっ
留美,川島さん違うわ。私は、ちひろさんにもお休みが必要なんじゃないか？って事よ
瑞樹,あ……確かに。休日だろうが祝日だろうが……事務所の扉を開いたら、必ず最初にちひろちゃんの顔を見るような気がするわ
ちひろ,……でも、私は別に……
留美,ちょっと失礼するわね……ほら、案の定
ちひろ,あ、私の――。それはその……
留美,呆れた。幾ら年末の忙しい時だからって……身体の方は大丈夫なの？
ちひろ,これくらい問題ないですよ。そんな事よりも、留美さん達アイドルが今一番大事な時期ですから……
留美,そんな事？聞き捨てならないわね
ちひろ,えっ…。か、川島さんまで…
留美,そう言うわけで……今日はちひろさんのお仕事の一切を禁止します
ちひろ,そんな……いきなり過ぎますっ
瑞樹,でも、こうでもしない限り、休むつもりもないんじゃないの？
ちひろ,うっ、それは
瑞樹,えっ、留美…さん……？
留美,…
瑞樹,え、ええ、大丈夫よ。ちひろちゃんの為だもの！
留美,そうかもしれないわね。でも、外に出てフラフラしているだけでも、きっと良い気分転換になると思うのだけど
瑞樹,そうよねぇ……あ、そうと決まればアレね
ちひろ,…アレ？。あの……コレ……
留美,安心しなさい。サイズはピッタリだから
ちひろ,そう言うことじゃなくて、コレは元は皆さんが着る服で……
留美,気にしなーい気にしない。皆が憧れるアイドルが着る服は、皆が憧れる服でもあるのよ？ちひろさんにも着る権利はあるわ
瑞樹,そうよね。でも……うーん、お化粧に服はOKなんだけど、まだちひろちゃんって感じだなぁ
ちひろ,ど、どういう事ですか？
留美,ちひろさんのイメージを劇的に変化させる為の何かが足りないって事よね？わかるわ
瑞樹,ちょっ！それ、私の専売特許～！！
留美,そうね……
