そのいち,龍驤とヌ級
龍驤,フフフ……。ついにやったで！。これぞ燦然と輝くレシプロ機用の単発免許証！。艦載機の飛びよる姿見て、ウチもいつかはと思っとったんよな……。思えば、早いもんやなぁ。終戦から、もう３年かぁ……。ウチはこないだ、地方の観光会社にパイロットとして就職したんや。せやから、会社の所有するこの小型機が当面のウチの愛機。これから初めてのお客さんを乗せるんや。いつか自分だけの飛行機を持つために、がんばるで！
社長,おーい龍驤ちゃん！この人が今日のお客さんだよ！。シンカイってところからいらっしゃった、ヌキュウさん！。陸のことが知りたいそうだから、よろしく頼むね！
ヌ級,ヨ、ヨロシク……。オ願イ……シマス
龍驤,……よ、よろしゅうな……。初めてのお客さん……深海棲艦かいな！！。イヤイヤ、よー考えたら別におかしいことやあらへん……。最近は深海の人らがぎょーさん観光に来るて、ニュースでもやっとるし。この人はちゃんと日本語(?)喋ってはる。せやし、ウチが元艦娘やてバレへんかったら問題は無いはずや……
ヌ級,ド、ドウシタンデスカ？
龍驤,い、いえいえ！何もあらへんですよ！。早速乗ってくださいな！オホホホホ……！
ヌ級,？
龍驤,うぅ……狭いでぇ……。お客さんの頭がウチの肩にバシバシあたっとる……。お客さん、ほな行きますよー
ヌ級,ハ、ハイ……
龍驤,？。どないしたんやろ、お客さん。えらい、震えとんなぁ……
ヌ級,ヒィーーーーーーッ！！
龍驤,！？。ど、どどどどないしたん！？
ヌ級,ト、飛ンダ！本当ニ飛ンダッ！！。イヤーーーッ！死ニタクナイーーーーーッ。キャーーーーーーッ！！
龍驤,ちょちょ、暴れんとってお客さ……。オゥエッ！。あーもー、どうしよ！。……そうや！。お客さん、このアメちゃん舐め！アメちゃん……。落ち着いた？
ヌ級,ハ、ハイ……
龍驤,そか、よかった
ヌ級,ス、スミマセンりゅーじょーサン……。私、ハジメテ空ヲ飛ブモノデシテ……
龍驤,あぁー、やっぱりなぁ……。でも、ウチは気にしてへんで。誰にでも初めてのことなんか、いくらでもあるんやから！
ヌ級,ムム……面目ナイ
龍驤,それより、大丈夫やったら下、見てみ？
ヌ級,ハ、ハイ。…………
龍驤,ウチらがさっきまでいたとこ、もうあんなに小さくなってるで！
