トレーナー,よし！今日はここまで！
P,ありがとうございました。ほら、りあむ挨拶。……りあむ？
りあむ,…………ｧｱ？
P,し、死んでる……
りあむ,めっちゃやむ……っていうか詰んでる……現在進行形で……全身が……
P,今日は最後までやれたじゃないか。その調子だぞ
りあむ,Pサマの優しさが沁みる……けど現実は厳しい……うう……
P,この調子なら次のステップが見えてくるぞ。とりあえず今のところあと5回くらいかな
りあむ,5回！？
P,ああ
りあむ,…………減らせたりしない？
P,りあむ次第だ
りあむ,さよならPサマ……ぼくのこと、忘れないで……
P,こらこら
りあむ,うわーん！毎日毎日レッスンばっか！！。もっとお手軽にチヤホヤされるようなことってないの？オタクども相手にさぁー！！
P,とはいってもなあ。まだデビュー前なんだし
りあむ,ちぇー。アイドルならあんなことやこんなことできると思ってたのに
P,例えば？
りあむ,目立つだろ？ぼくをすこるだろ？チヤホヤされるだろ？そんで売れるだろ？。そうなったらりあむちゃん大人気で大勝利！完璧な作戦だな。な？
P,見事なまでの承認欲求の塊だよな、お前……
りあむ,それ言うかー！？本人の前で！傷つくなあ！めっちゃやむ！。それにしてもさー。仮にも芸能事務所なんでしょ？ここ。なのにアイドル全然いないじゃん！
P,平日の真昼間なんだから仕事で出てるか学校行ってるかだろ
りあむ,あーあ。ここならアイドルのみんなとお近づきになれるかと思ったのになあ。アイドル権限で現地参戦できたりして……うへへ……
P,私情まみれじゃねえか……。けど……そうだな。現地参戦か
りあむ,えっ。もしかしていけそう？
P,んー……
りあむ,ねっ、ねっ？頼むよー。神様仏様P神様ぁ。こう見えてぼく毎日頑張ってるでしょ？ご褒美にちょっとくらい、ね？
P,
りあむ,
P,―――……。よしっ、行くか！
りあむ,えっマジ？
P,レッスンの繰り返しじゃりあむもアイドルを想像し辛いだろうしな。スタッフの手伝いって条件付きだけど、時間作ってくれるとさ
りあむ,やった！Pサマ愛してるぅー！。で、誰に会いに行くの？。
P,完璧おのぼりさんじゃねえか
りあむ,でかい……。たかい……。ひろい……。これが、テレビ局……！！
P,来たことないのか？
りあむ,テレビ局は、その。……空気が違い過ぎて
P,それじゃいくぞ
りあむ,えっ。あっ、まって。ね、ねえ……Pサマ、やっぱりやめようよう
P,何だよ急に
りあむ,だ、だって……無理だよう。ぼくに挨拶なんて。やむちゃんだし、ザコメンタルだし、こんなカッコだし
P,いつも通りのりあむじゃないか
りあむ,いつも通り過ぎるよぉ。もっとこう、何かしなきゃダメじゃないの？
P,うちの事務所のモットーは素材の味で勝負だ
りあむ,初耳なんだけど、それ。それに……ぼく、この間スカウトされたばっかりで、アイドルとしても全然なのに。そんなぼくが……あ、あの人と。お、お話するなんて
P,先方に話は通してある。一言挨拶するくらいだから大丈夫だよ
りあむ,なんでPサマはいつも通りなんだよお……
P,ほら、もう扉の前まで来たんだ。腹括っていくぞ
りあむ,容赦ない！！うわーん！！もう知ってるけど……
P,―――
？？？,～～～
りあむ,うう……
P,りあむ、ほら
りあむ,ぴっ
？？,だあれ？
りあむ,
？？？,研修生の子だそうだ。今日はスタッフとして手伝ってくれるらしい
？？,じゃ、挨拶に来てくれたんだね。ありがと！えっと―――
りあむ,……ほ
？？,ほ？
りあむ,ほああああああああああああああああああああああああああああああああああああああああああ！！！！！！！！！！！！！！
？？,！？
りあむ,美希ちゃん！！！本物の！！！星井美希ちゃん！！！！！！！！！！
美希,え、えっ
りあむ,すごい！生きてる！！目の前にいる！！！ぼくの目の前！！テレビで見るよりきれい！！！！！。え、何これリアル？天国じゃないよね？？生きてる？？ぼく。はい、これ実は夢でしたー☆なんとPサマのドッキリだったのでーす☆。ってうっぜ！キレるわ！！いくらぼくでも！訴えてやる！！社会に！！！炎上させてやるうー！。みなさーん、ここに乙女の純情を弄ぶ女の敵がいまーす！！！
P,おいりあむ
りあむ,っていうか！！眩しい！！！溶けるううぅぅぅぅぅぅぅ！！！美希ちゃんヤバすぎ、直視できないよお！
美希,
りあむ,それにお隣の人！！！美希ちゃんのプロデューサー！！！ってことは旦那様じゃん！！！
美希P,え。お、おお
りあむ,あーダメダメいけませんよこれは。あのトップアイドルとプロデューサーがいるなんて。クソザコナメクジのぼくとは大違い。別世界？？尊すｇ
美希,ハニー……。この子、なんかヘンなの……
りあむ,
美希P,まってまって
P,申し訳ありませんでした！！！
りあむ,Pサマ……もうちょっとやさしく……
美希P,いえ、こちらこそウチの美希が失礼なことを
りあむ,美希ちゃんに嫌われた……マジ無理……やむ……。やっぱぼくにはダメだったんや……
美希,えっと。怪しい人じゃ、ないんだよね？
美希P,ああ。少なくともプロデューサーの方の素性は保証する
美希,じゃ、ファンの人だね。ね
りあむ,はひっ！？
美希,お名前、聞いてもいい？
りあむ,ゆ……ゆゆ、ゆ、夢見りあむっていいましゅ！！
美希,じゃ、りあむって呼んでいい？
りあむ,え
美希,ミキ、別にりあむのことキライになったわけじゃないよ
りあむ,だ、だって……さっきヘンな人って……それにキモイことしか言ってないし……
美希,うん。ヘンだと思う
りあむ,
美希,でもうるさくしちゃうほど嬉しかった、ってことでしょ？。ミキに会えて嬉しい、って言ってくれる人のこと、キライになんてなれないの
りあむ,み、みきちゃん……
美希,初めまして、夢見りあむさん。星井美希です。さっきは失礼なこと言ってごめんなさい。挨拶に来てくれてありがとうございました。ちょっとびっくりしたけど、ミキ嬉しかったよ。ミキと一緒に、キラキラしようね☆
りあむ,
美希,りあむ？
りあむ,
美希,どしたの？
りあむ,…………………………しゅき
美希,えっ
りあむ,まって無理。しんどい。控えめに言って最高。ぼくのギザギザハートが癒されてく……こんな丁寧な扱い初めてなんだけど？？Pサマとは大違い。見習って？。神か？仏様か？？女神様か？？？あー、トップアイドルだったわ美希ちゃん。尊すぎ。ホントダメ。無理。好き……抱いてほしい……
美希,…………やっぱりヘンな子なの
りあむ,
美希P,この子はこういうキャラなんですか？
P,地なんです。これが
美希P,ああ………
りあむ,ほわぁ……！！
P,ほらりあむ、仕事忘れるなよ
りあむ,あ。うん。よさみしかなかった……。現地参戦までできるとかアイドル最高か？
P,言っとくけど今回のは特例なんだぞ。たまたま運がよかっただけだからな
りあむ,その運を引き寄せるPサマホント神じゃない？もっとぼくにわけて
