順番待ち僕,……
ひびき,ラスト5回～！
朱美,ひびき頑張って！
彩也香,広背筋を意識して！
ジーナ,ラスト1回よ！
ひびき,うおおお
朱美,お疲れ様～！
僕,あ、いいすか？
ひびき,お待たせしました！
僕,チッッ！！。ぜやああああ！！どるるるるぅ！！
ひびき,すげ～！
僕,ふぅ、ねえ君たち、そんなウエイトでトレーニングしたって意味ないでしょ
ひびき,なんだと～～！！
街雄,こらえて紗倉さん＾＾；
僕,ジムってのは主婦や女子供が集まっておしゃべりする場所じゃないんだよ
街雄,申し訳ございません、休憩所のスペースを潰して器具の設置を増やすなどして対応させていただきます＾＾
僕,うむ
ひびき,街雄さんはあのおっさんの味方なんですか！？
街雄,たしかに筋トレの素晴らしさが世に広まってほしい、だけどそれだけにわかが増えると本格的な人はどう思うかな＾＾。僕には一人の才能ある人とその他大勢を天秤にかけることはできないんだ＾＾
ひびき,くそ～～！
彩也香,いいよ！ナイスフック！よし休憩！
僕,ここか、ボクシングジムってのは
彩也香,お前はあのときの！！？
僕,すいません、体験入会したいんですけどｗ
彩也香,あのときの仕返しをしてやる！！
僕,スパーさせてくれるんですか？うれしいなあ！あ、僕グローブとヘッドギアいらないんで
彩也香,なに！！？じゃあこっちもなしでいかせてもらうよ！
僕,いいですね～ｗ
彩也香,まずは足でかく乱して・・・
僕,む～～んｗ
彩也香,！？
ひびき,彩也香！彩也香に会わせてください！
看護師,落ち着いてください、今朝目を覚ましたばかりなので5分だけですよ
ひびき,彩也香、無事か！？
彩也香,うじゅじゅ・・きろきろ～ｗ
ひびき,彩也香・・・？
彩也香,ぶいいい・・・
看護師,上原さんはその、いわゆるパンチドランカーに
ひびき,・・・・
彩也香,びびぎｗびびぎｗ
ひびき,彩也香ぁ・・・
ジーナ,彩也香の仇はとらせてもらうわ
僕,やれやれ君はシルバーマンジムにいた子だね
ジーナ,うおおおお
僕,組み手、これは柔道・・・いや違うな、サンボか
ジーナ,抱え投げて関節に持ち込む！
僕,ふうんｗ体重180kgある僕を投げるとはねｗ
ジーナ,右腕もらったわよおお！！。え！
僕,もういいかな？ｗ
ジーナ,あっ・・・あっ・・・
僕,このままコンクリートに腕ごとぶちこまれるのとジャップの劣等遺伝子漬けになって本国に帰るの。どっちがいい？ｗ
ジーナ,ごめんなさい・・・ごめんなさい・・・劣等民族ロシア人おまんこ堪能してください・・・
僕,ｗ
ひびき,朱美、お前だけは復讐だとか考えないでくれ。いつも通りジムで顔を合わせても相手にするんじゃないぞ
朱美,わかってるわ
僕,～♪
朱美,レッグエクステンションはあの男が使ってるわね、バイクでも乗ろうかしら
僕,あ、君これ使う？どうぞｗ
朱美,え、いいんですか
僕,ｗ
朱美,う、動かない・・・
僕,あ、すいません僕200kgでやってそのままでした
朱美,うそ・・・200だなんて
僕,あ～綺麗な大腿四頭筋ですねえ、フォームも美しい
朱美,あ、あ、ありがとうございます・・・///。本当にこの人、悪い人なのかしら・・・。ひびき、あの人本当は悪い人じゃないかも
ひびき,なに言ってんだよ朱美！彩也香もジーナもあいつにめちゃくちゃにされたんだぞ！！
朱美,ひびきは、ダンベル何キロもてる？
ひびき,え、いつもは4キロくらいの使ってるけど・・・
朱美,あのおじさんは50kgのを使ってたわ
ひびき,それって街雄さんクラスじゃん！！
朱美,ひびきは懸垂もちゃんとできないデブだし、本当はまじめにトレーニングしてないんじゃないかしら。本格的に体を作ってる人たちがウエイトマシンで遊んでる女の子を見て怒るのは仕方のないことだったのよ。ごめんなさい、もうひびきとは一緒にジムに行けないから
ひびき,。街雄さん
街雄,なんだい紗倉さん＾＾
ひびき,私を、鍛えてやってください
街雄,ジムにきてくれればいつでも＾＾
ひびき,月10万円で、専属トレーナーになってほしいんです
街雄,紗倉・・・さん？＾＾
ひびき,・・・
朱美,あ、あなた本当にひびきなの？。ねえ一緒に筋トレしましょうよ、私ダンベルカールを5kgでするようになったのよ
ひびき,・・・
朱美,見てなさい！ベンチなんか30kgで・・・
ひびき,終わった？
朱美,え、えぇ、次どうぞ
ひびき,チッッ！！！。ぜああああああ！！！。ふ～・・・。朱美さ、そんな軽いウエイトでやっててなにか意味あんの？
僕,君ぃ！！朱美さんになんてひどいことを言うんだ！！
朱美,僕さん・・・
ひびき,あなた誰ですか？
僕,僕と勝負だ！！僕に負けたら朱美さんに謝るんだ！！
ひびき,はぁ
街雄,いくら僕さんでも無理だ・・・＾＾；
僕,街雄さん、なんでそんなボロボロに！？
街雄,紗倉さんは僕が鍛えた・・・しかしわずか1ヶ月で僕をはるかに超えてしまった・・・。教えることのなくなった僕は彼女の成長の糧に・・・
僕,くっ、街雄さん・・・！！！！
モブマッチョ,頑張れ僕さーん！！
ひびき,ディスク重し
僕,500・・・！！？僕のベストが130kg・・・できるのか・・・！？僕に・・・！！
ひびき,う～～・・・・。ぐああああああ！！！！！
僕,ここから、挙がるのか！！？
