最上静香,以下、静香
ミリP,以下、P
静香,女の子を抱き枕にして寝たいとか言って通報されないとでも思ったんですか！？
P,う、正論……
静香,……もしかして、疲れてるんですか？
P,まぁ、いつも通りかな。睡眠時間は少ない方だと思うけど。けど、ホントにそう思った事ないのか静香？
静香,同年代の友達を抱き枕にしようなんて考えた事もないですよ
P,そうかぁ……
音無小鳥,以下、小鳥
小鳥,なんかこう……ギュってしてワシャワシャーってしたくなるといいますか！
P,分かってくれますか音無さん！
静香,…………
小鳥,やめて静香ちゃん。その目で見られるの辛いから
静香,そういう目をしたくもなるじゃないですか……
P,そうか……理解はしてもらえないか……
静香,だ、大体抱き枕なら……
P,静香？
静香,な、なんでもないです！レッスン行ってきますね！
P,あ、ああ……今日は未来とボイスレッスンだっけ？頑張れよ
静香,無責任な応援ですね……プロデューサーらしく、アドバイスとかないんですか？
P,アドバイスか？そうだなぁ……歌い終わりにしつこくし過ぎないとかかな。この前聞いた時、異様に引きずってた気がするぞ
静香,えっ……ほ、本当ですか？
P,ホントホント。不安なら千早にも聞いてごらん
静香,あ、ありがとうございます……それじゃ、行ってきますね
小鳥,いってらっしゃーい！
静香,まったく、真面目な時はちゃんとアドバイスできるのに
春日未来,以下、未来
静香,うわっ！未来、いたの！？
未来,う、うん……
静香,もう……いるなら、声くらいかけてよね
未来,ご、ごめんね？ちょっと、入りにくかったから
静香,……さっきプロデューサーがしてた話なら無視していいわよ？
未来,無視、していいのかな？
静香,良いに決まってるでしょ。どうせ、本気で言ってるわけじゃないだろうし。……それとも、本当にプロデューサーの抱き枕になってみる？
未来,ええっ！む、無理だよ！そんなの恥ずかしいし……
静香,でしょ？だから気にしなくて良いの！。さ、馬鹿な事言ってないでレッスンに行きましょ！言われたところ、なんとしても直すんだから！
未来,し、静香ちゃん！置いていかないでよー！
P,……ふぅ
小鳥,お疲れですか？
P,ええ……まぁ、俺が疲れるって事は皆の仕事が増えてきたって事ですから。俺としては、嬉しい悲鳴なんですけどね
小鳥,皆の前で疲れを見せないように頑張るのは良いですけど……あんまり、無理はしないでくださいね？。プロデューサーさんが倒れたら、皆が心配しちゃいますから
P,はは、ありがとうございます。……よし、これで大体チェックは終わったかな
小鳥,お疲れ様でした。休憩ですか？
P,はい。昨日あんま寝てないし、仮眠でも取ろうかな……
小鳥,おっ、未来ちゃん抱いて寝ちゃいますか？
P,はは、それが出来たらリラックスして寝られるんでしょうけど……。未来も嫌がるでしょうし、大人しく一人で寝ますよ
小鳥,そんな事ないと思いますけど……
P,お世辞は良いですって！それじゃ、少し休んできますね
小鳥,はい、ゆっくりしてきてください！。まったく、プロデューサーさんも変なところで意地張るんだから……
未来,ただいまでーす！
小鳥,おはよう、未来ちゃん！今日のレッスンどうだった？
未来,そ、それが……あの後、静香ちゃん一人で特訓し始めちゃって
小鳥,ああ、プロデューサーさんに言われてたところ？
未来,はい！絶対プロデューサーさんを見返してやるんだって、意地張っちゃって。だから、私だけ先に帰ってきちゃったんですけど……
小鳥,誰か探してるの？
未来,ええっと……プロデューサーさん、どこか行ったんですか？
小鳥,ああ、プロデューサーさんなら仮眠室ね。最近、あんまり寝てなかったみたいだから
未来,仮眠室……
小鳥,どうかしたの？
未来,い、いえ！なんでもないです！
小鳥,……もしかして、朝してた話聞いてた？
未来,は、はい
小鳥,うう……静香ちゃんだけじゃなく、未来ちゃんにまで冷たい目で見られる事になるのね小鳥……
未来,あ、あのその……
小鳥,？どうかしたの、未来ちゃん？
未来,ええっと……朝、ぎゅっとしてワシャワシャとか言ってたじゃないですか？
小鳥,やめて！復唱されると、傷が抉られて……！
未来,べ、別に変なつもりで言ってるんじゃないですよ！
小鳥,……ん？
未来,その……プロデューサーさんも、そう思ってるのかなって
小鳥,……ふ～ん？
未来,うう……
小鳥,心配しなくても、多かれ少なかれ思ってるわよ。本人は、未来ちゃんが嫌がると思ってやろうとしないけどね
未来,そ、そうですか……
小鳥,そうだ！折角の機会だし、ベッドに潜り込んでみれば？
未来,ええっ！？そ、そんなの恥ずかしすぎますよ！
小鳥,気になるなら、今のうちに試してみても良いと思うわよ～？
未来,うう……でも、恥ずかしいし
小鳥,……未来ちゃん、自信持って
未来,小鳥さん？
