多田李衣菜,みくちゃんみくちゃんみくちゃーん！！！
前川みく,にゃっ！？ど、どしたの李衣菜チャン！？
李衣菜,これ見てよこれ！！！
みく,これ……？って、美嘉チャンの……インスタ？
李衣菜,そう！それで、この投稿！
みく,えっと……美嘉チャンがポーズ取って……あ、これ、莉嘉チャンのこの前の写真集にも似たような構図、あったよね？
李衣菜,さすがみくちゃん話が早い！これ、美嘉ちゃんの撮影のオフショットを特別にインスタに乗せたんだって！しかも妹の莉嘉ちゃんのパ……えっとパ……パクり！！！
みく,パロディ
李衣菜,それ！！！
みく,ふーん？でも、そんなに急いで報告することなのかにゃ？
李衣菜,違うよみくちゃん！見てほしいのはこっち！
みく,こっち？
李衣菜,ここ！
みく,んー？いいね！512,324件ってとこ？
李衣菜,それそれ！すごくない！？50万人が美嘉ちゃんに”いいね！”って言ってるんだよ！？
みく,ま、流石はカリスマギャルって感じかにゃ？すごいとは思うけど……
李衣菜,こういうのって、”インスタ映え”って言うんでしょ？
みく,そうだね、ちょっと昔から聞くようになったかな？……って、もしかして李衣菜チャン
李衣菜,私もやりたい！
みく,また始まった……。ってかこの前のギャップ萌えを狙うって話はどうなったのにゃ……！？
李衣菜,みくちゃん……ああいうのは素で出るから好感に繋がるんだよ？自分から足そうとしても意味が
みく,それ前回の最初にみくが言ったにゃあ！？
李衣菜,それに比べてインスタ映えはみんな自分から狙ってるからね！やる気があってダメなことはないでしょ？
みく,すでにちょっと偏見が混じってる気がするにゃ……
李衣菜,大丈夫！後でちゃんとみくちゃんのインスタも映えるようにしてあげるから
みく,その”お前も狙ってるんだろ？”みたいなお節介やめてくれない？ってかみくインスタやってないし
李衣菜,え！？みくちゃんインスタやってないの！？何が楽しくて生きてるの！？
みく,インスタってそんな幸福度に直結するの！？
李衣菜,絶対始めた方がいいよ！
みく,ってか李衣菜チャンがインスタやってるってのも初耳なんだけど
李衣菜,まあ私も昨日アカウント作ったんだけどさ
みく,お前さっきみくになんて言ったにゃ？
