モバＰ,以降Ｐ表記、ひょうきんに…ンフッ
ありす,はい
Ｐ,表面はこんがり、断面からは肉汁がジュワーって迸り…一度口に入れれば濃厚な肉の旨味と風味が口の中を駆け巡る
ありす,そうですね
Ｐ,パンはもちろん、ご飯のお供としても抜群だ。濃い目のソースでいくのも良し。おろしポン酢でさっぱり食べるのも捨てがたい。いやシンプルに塩で、という手も考えられるな
ありす,なるほど
Ｐ,んで、そんなみんな大好きハンバーグ師匠がどうした？
ありす,師匠はつけなくて良いです。別物になってしまいます。いえ、今度学校の調理実習がありまして。作る料理がハンバーグなんです
Ｐ,調理実習、懐かしいなぁ。俺も小学生の時やったわ
ありす,プロデューサーさんは何を作ったんですか？
Ｐ,うん？小学生だし簡単なものだよ。目玉焼きとかポテトサラダとかブッシュ・ド・ノエルとか
ありす,遠月学園付属ではありませんよね？
Ｐ,そっか、つまり橘さんは実習前に練習しておきたい訳か
ありす,ありすです。はい、そういうことです
Ｐ,偉いなぁ、橘さんは
ありす,ありすです
Ｐ,そういう事なら早速葵に…と言いたいところだけど、来週のドキッ☆アイドルだらけの水泳大会
ありす,計算ずくです
Ｐ,今残ってるのは…
ありす,ちひろさんも今は外出中。つまりプロデューサーさんだけ。完璧です。計画通りです！
Ｐ,お、いたいた。頼めるか？
アッキー,俺に任せろ
ありす,ちょ
Ｐ,本当に俺でいいのか？男飯だぞ？自己流だぞ？
ありす,大丈夫です。何の問題もありません
Ｐ,そりゃまぁ、多少の指導ぐらいは出来るとは思うけど…橘さんだって料理するだろ？
ありす,ありすです。こうなったら呼んでもらえるまで折れません、ありすです。私は…その、お恥ずかしい話ですがイチゴ料理なら自信があるんですけど…
Ｐ,自信をもってあの暗黒物質を提供しているというのか…
ありす,何故か学校から使用禁止食材としてイチゴが挙げられてしまいまして
Ｐ,ときに橘さんや。前回の調理実習では何を？
ありす,ご飯とお味噌汁という、ごく基本の調理でした。なのでイチゴ混ぜご飯とイチゴのお味噌汁という橘アレンジをクラスメイトと先生に披露してみました
Ｐ,全力で教えるから今度の実習頑張ろうな！
ありす,？は、はい。よろしくお願いします。プロデューサーさんと２人でお料理、２人で……にゅふふ
Ｐ,俺が橘さんの学友達を守護まも
ちひろ,ただいまもどりましたよー。…あれ、プロデューサーさんは？
アッキー,諸事情で帰宅した
ありす,本当に良いんですか？プロデューサーさんのお宅にお邪魔してしまっても
Ｐ,俺が女子寮に入る訳にもいかんだろ
ありす,紳士みたいですね
Ｐ,紳士以外の何物でもないぞ
ありす,ふふふ…こうも計画通りに事が運ぶとは…自分の計画性が恐ろしいです
Ｐ,あ、もちろん帰りは送っていくからな
ありす,えっ
Ｐ,えっ？
ありす,…え？
Ｐ,…泊めないぞ？もちろん
ありす,そ、そんな事考えていみゃせんよ！？。…失礼、噛みました
Ｐ,子供とは言え年頃の女の子がホイホイ男の家に宿泊するもんじゃありません
ありす,プロデューサーさん、まるでお父さんみたいです
Ｐ,橘さんみたいな娘だったら欲しいなぁ
ありす,私はプロデューサーさんが父親なのは嫌ですけど。あとありすです
Ｐ,…スイマセン。やってきました庶民の味方、サ〇ットです！
ありす,あ、私カート持ってきますね
Ｐ,そんなに沢山買わないから大丈夫だぞー
ありす,そうですか？では買い物カゴだけ。…って、どうして歌舞伎揚げなんて見ているんですか？
Ｐ,えっ？あ、つい習慣で…。とりあえず無難に合い挽き肉でいいだろ。んで、タマネギ、パン粉、卵に…
ありす,プロデューサーさん、イチゴが安いですよ！
Ｐ,禁止食材じゃなかったんかい
ありす,ハッ！そ、そうでした…
Ｐ,んで、アレとコレとソレとこんなモノと…よし、こんなもんだろ。ついでだ、５００円以内ならお菓子買っていいぞー
ありす,そ、そんな子供じゃありません！
Ｐ,いらないなら別にいいけどさ。んじゃレジ行くぞ
ありす,ちょ、ちょっとだけ待ってください！
Ｐ,マッテルーヨ
店員,イッテイーヨ
Ｐ,誰だ。重くないか？やっぱそっちの袋も持つぞ？
ありす,大丈夫ですよこれぐらい
Ｐ,そっか
ありす,あっ……えへへ。なんだかこうして２人並んで買い物袋持って歩いているの、良いですよね
Ｐ,そうか？
ありす,ふふ、周りから私達ってどう見えるんでしょう？
Ｐ,仲の良い兄妹だろ
ありす,むうっ
Ｐ,いや親子かな…どっちだろ。なあ、どう見える？
時子,その質問に私の時間を奪う価値があるのかしら。これからタイムセールなのだけど？
ありす,あ、ちゃんとエコバックもって来てる…
Ｐ,ただいまー
ありす,お邪魔します
Ｐ,さて、では早速…と言いたいところだけど先に洗濯物とかやっておきたいから橘さんはリビングで休んでな
ありす,いえ、私もお手伝いしますありすです。買ってきたものを冷蔵庫にしまわないといけませんし…ってもう終わってます！？
Ｐ,気ぃ使わなくてもいいぞ？こうしてだね、予め洗濯機にタイマーセットしておいたので後は畳むだけなのだよ
ありす,プロデューサーさんは良い主夫になりそうですね
Ｐ,生涯プロデュース業していたいんですけど
ありす,では、お言葉に甘えて待たせていただきますね
Ｐ,テレビ観ててもいいからなー。録画してるスーパーヒーロータイムも
ありす,いえいえ、お構いなく
Ｐ,おーい、そこは寝室ー
ありす,あ、すいません。間違えました
Ｐ,そういう割には何の迷いもなく…それにウチに来たの初めてじゃないだろ橘さん
ありす,ありすです
Ｐ,布団まだ干してないからオッサン臭いぞ？リビングこっち、こっち
ありす,ああっ、足がもつれてっ
Ｐ,おいおい
ありす,とうっ
Ｐ,ちょっ
ありす,すいません躓いてしまって、躓いてしまって！
Ｐ,何て清々しい言い訳なんだ！
ありす,プロデューサーさんはどうぞ、私に構わず洗濯物を。ふぇんふぁくふぉふぉお
Ｐ,この橘さんは構わざるを得ないんですけど！？
ありす,ああっ、もうちょっと、もうちょっとだけ！
Ｐ,本来の目的を忘れてませんか橘さんや
ありす,ありすです。あなたの匂いに包まれていたかったありすです
Ｐ,いいから手を洗ってきなさい
ありす,わかりました…では、続きはまた後程
Ｐ,続きなんて無いからね
ありす,手洗い完了ですっ
Ｐ,おお、エプロン持ってきてたのか
ありす,どうですか？
Ｐ,うん、似合う似合う
ありす,ほ、本当ですか？
Ｐ,心にもない事は言わないよ。言わなさ過ぎて社交辞令ぐらい使いなさい
ありす,それは社会人としてどうなのでしょう…。では、よろしくお願いします
Ｐ,んじゃ始めるか。…って言いたいところだけど、何でエプロンの下体操着なの？
ありす,えっ？汚れても平気なようにと思って…何かまずかったでしょうか？
Ｐ,自宅に体操着エプロン姿の小学生を連れ込んでいるオッサンってどうなんだろ…
こずえ,かんがえるなー、かんじろぉー…
Ｐ,危機感は感じてるよ
ありす,…あ。も、もしかしてプロデューサーさんはエプロンの下は何も着ない方が良いというご趣味でしたか？ごめんなさい…流石にそれはあと４年ほどお待ちしていただかないと…
Ｐ,よぉーし早速始めるぞぉー。さぁ始まりました３４６クッキング。今日のテーマはハンバーグです
ありす,あ、あの、今の音楽は一体どこから…
Ｐ,ではまずはハンバーグの元である挽き肉からいきましょう。合い挽きでも豚肉だけのものでも結構です。鶏挽き肉で作ってもヘルシーかつ肉汁ジューシーなハンバーグが出来上がります
ありす,それ、大きなつくねじゃあ…
Ｐ,ではボウルに挽き肉を投下しましょう。さぁ橘さん
ありす,ありすです。私がやるんですか？
Ｐ,誰の練習だよ
ありす,そ、そうですね…では、いきます！。どうですか？できました！
Ｐ,いや、この段階でドヤ顔されても。それではボウルの中で挽き肉をよくこねます。あ、手が汚れるのが嫌な人はビニール袋に入れて揉み込むという手もあります
ありす,あれ、玉ねぎとかはまだ入れないんですか？
Ｐ,まず肉だけをよく揉んで粘り気を出しておくと焼いた時に割れにくくなるんよ。他の食材を混ぜてからだとしっかり粘り気が出ない場合があるからな
ありす,なるほど…論理的ですね
Ｐ,個人的にはこの段階では塩コショウもしないでおく。塩を入れると肉から水分が出て出来上がりの時の肉汁が損なわれちまうからな。ステーキでもそうだけど、塩やコショウは焼く寸前にが良いな。まぁ塩入れた方がもっと良く粘るから入れるって人もいるけど
ありす,やり方は人それぞれ、ということですね
Ｐ,…さて、こんなもんかな？
ありす,そう言えば今更言うのもなんですが、随分沢山お肉買ってきましたね
Ｐ,そうだね
ありす,…何か企んでますね、その顔は
Ｐ,さぁ次は玉ねぎだ橘さん。みじん切りだけど大丈夫か？
ありす,問題ありません。既に何度も脳内でシミュレート済みですから
Ｐ,よし、戦力外だな。橘さんにみじん切りやらせると何か怖いので今日はフードプロセッサーを使います
ありす,ありすです。みじん切りぐらい大丈夫です！既に私には勝利のイマジネーションが見えてますから
Ｐ,んじゃ練習に１個切ってみ？あ、念のために子供包丁でな
ありす,むぐぐ…見ていてくださいね、これ以上無いぐらいの完璧な包丁捌きで子ども扱いなんて出来なくしてあげますから！。……ぅぁあああああああ～
Ｐ,脳内シミュレーションじゃ目はしみないもんなぁ
ありす,うぐ、ぐすっ…な、なんのこれしき…。うにゃぁぁあああああああ～
Ｐ,はいはい、顔洗っといで。目ぇ擦ると余計痛くなるぞ？
ありす,うぅ…グスッ…
Ｐ,さてと…では今のうちにフードプロセッサーで細かくした玉ねぎをフライパンで軽く炒めておきます。加熱する事によって玉ねぎの糖度が引き出されるのですよ。あ、フードプロセッサーが無ければ擦り卸してしまうのもアリです
ありす,…顔洗ってきました
Ｐ,おかえり。ハハッ、目ぇ真っ赤になっちゃったな
ありす,うぅ…プロデューサーさんに泣かされるのは将来プロポーズの時に、って決めておいたのに…
Ｐ,未来予想図に勝手に出演させないでくれ。あと泣かせたのは玉ねぎだぞ？
玉ねぎ,せやね
Ｐ,さてさて、ではさっきしこたま捏ねくり回していた挽き肉に炒めた玉ねぎを投下します。橘さん、繋ぎの卵割って。卵
ありす,ありすです。お任せください。卵割り程度、既に何度も検索済みですから！
Ｐ,よぉし、戦力外だぞぉ？
ありす,では、行きます！
Ｐ,親の仇のように叩き付けおった
ありす,…
Ｐ,いや、こんな筈では。…うん、後でオムレツにでもしようか？。一通り混ぜたら手頃なサイズにまとめて整形していきます
ありす,アレですね、空気抜きするんですよね
Ｐ,お、流石橘さんよく知ってるな
ありす,ありすです。アリス役の仕事は何故か来なかったありすです
Ｐ,こうしてペタペタとキャッチボールするみたいに空気を抜いてくんだ。コレもちゃんとやっておかないと焼いた時に崩れる原因になるからな。肉が手にくっついてイライラするんだよ…、って人はサラダ油を手にちょっぴり垂らしておくと良いぞ
ありす,よくお肉を練ってあるから形がしっかりしていてやりやすいです
Ｐ,最初に肉だけ練るって行程があるだけで大分変わるんだよなぁ。よし出来た。それじゃあ…
ありす,焼くんですね？
Ｐ,いんや、一旦冷蔵庫にぶち込みます
ありす,えっ？
Ｐ,手の熱で肉の脂が溶けてきてるから一度冷やすんだ。コレも実は焦げたりする原因になるから面倒がらずにしっかりやると失敗しなくなるぞ
ありす,成程…勉強になります
Ｐ,３０分ぐらい冷蔵庫に入れておけばいいから、少し休憩するか
ありす,そうですね。では私は寝室でお昼寝でも…
Ｐ,こらこら待ちなさい。俺の布団を狙うな
ありす,ああっ、せめて枕だけでもっ、枕だけでもっ！
Ｐ,橘さん最近野生開放しすぎじゃない！？。…お、そろそろ３０分経つな。料理再開するぞ橘さん
ありす,ありすです。もうちょっと、もうちょっとでこのＳガンダムが出来上がるんです…
Ｐ,続きは食後でいいだろ。ほら、片づけて手を洗って、ハンバーグ焼くぞー
ありす,はいっ
Ｐ,ついでだから体操着着替えたら？
ありす,えっ？す、スクール水着の方がお好みでしたか…？
Ｐ,橘さん本能覚醒しすぎじゃない？。フライパンを火にかけて熱して、油をひいて…。形を整えたハンバーグを投下します。ほら
ありす,わ、私がですか？
Ｐ,だからお前さんの練習だってばよ。あんまりビクビクしながらやると逆に危険だからな？あ、かと言って高いところから放り投げたりしたら油が飛び散るし肉が崩れるぞ
ありす,む、難しいです…！
Ｐ,イチゴパスタは作れるんだからそこそこ料理スキルあるかと思ってたんだが…
ありす,パスタは茹でるだけですから。あ、でもイチゴソース作りには自信がありますよ！今度また食べさせてあげますからね
Ｐ,わーい
ありす,で、では…ハンバーグ投下します！
Ｐ,だから危ないってば
ありす,ひゃっ！
Ｐ,こうしてゆっくりフライパンの上に置くようにして…油が跳ねないように。よし。これでまずは中火で焼き目がつくぐらいに焼く。…聞いてる？
ありす,あわわわわわわわわ…
Ｐ,君に熱が通ってどうするよ
ありす,…はっ！結納ですか？
Ｐ,現実におかえり。ん、焼き目ついたからひっくり返すぞー
ありす,あれ、いつの間にか美味しそうな光景に？
Ｐ,そりゃ数分意識手放してたもんなぁ。さて、裏面も焼き目がついたら…
ありす,フタをして熱を通すんですよね？予習済みです
Ｐ,いや、一旦フライパンから出してアルミホイルに包みます
ありす,えっ？
