千川ちひろ,プロデューサーさん、明日はお休みでしたよね
Ｐ,ええ。久々の休みですけど、いざとなると何していいかわかんないもんですよね。なんか結局、家でゴロゴロして終わっちゃいそうで
若林智香,もったいないですよっ！それならアタシとでかけましょうよっ☆な、なーんて……////
Ｐ,ああ、智香も明日はオフだったな。よし、じゃあ出かけるか
智香,えっ！？
ちひろ,えっ！？
Ｐ,たまには担当アイドルと、仕事以外で一緒にいるのもいいかもな。あ、智香がオフにまでプロデューサーと一緒は嫌だって言うなら別だが
智香,い、嫌じゃないですっ！で、でかけましょう！
Ｐ,いいのか？じゃあ、９時頃寮に行くよ
智香,わかりましたっ☆
ちひろ,……
島村卯月,聞いたよ、智香ちゃん！デートだって！？
智香,え？ええっ！？
佐久間まゆ,智香ちゃんもようやく、担当のプロデューサーさんとそういう関係に……長かったですねぇ
城ヶ崎美嘉,いいなあ……いつかはアタシも////
城ヶ崎莉嘉,お姉ちゃんにはナイショで、こないだＰくんにテーマパーク連れてってもらっちゃったんだけどね☆
智香,み、みんなまってまってっ！た、ただ明日一緒にお出かけするだけだよ
卯月,それを、デートって言うんだよ
まゆ,ういういしいですねぇ
美嘉,それで！？プランとかはもうあるの？
智香,プランとかは別にっ……プロデューサーさんは、映画でも観ようかって言ってたけどっ
卯月,いいよいいよ、まずは身近で一緒にいられて、見た後は共通の話題ができるし
まゆ,今、映画ってどんなのやってましたかねぇ？
輿水幸子,今ならアクション大作の00765スイカフォールをやってますよ
莉嘉,あ、スイカがスカイダイビングするんだよね！見たい見たいー！
美嘉,アクションねえ。それよりもここは、恋愛ストーリーとかがいいんじゃない？
卯月,うんうん、そうだよ
莉嘉,てゆーとぉ……明日の上映は……
白坂小梅,あ、明日から……期待の大作……貞子３ＤＳＬＬが公開……
美嘉,それ、ホラー映画じゃないの！
小梅,ほ、ホラーにみせかけたアクション映画だった前作貞子３ＤＳの、は、反省をいかした……本格ホラー……制作費は、３ＤＳの約１．５倍
莉嘉,こ、こわそー！
小梅,同時上映……はもいでよどうぶつの首
美嘉,デートなんだから、ホラーはだめだよ
まゆ,そうでもありませんよぉ
美嘉,え？
卯月,そうだよ。怖いシーンで、プロデューサーさんの手とか握っちゃうんだよ
美嘉,て、手を……////
智香,////
まゆ,そこからステップアップして、抱きついたりするんですよぉ
智香,////////
美嘉,な。なるほどね★
美嘉莉嘉,参考になるなあ……
まゆ,智香ちゃん、明日はがんばってくださいねぇ
卯月,ぐっと親密になるチャンスだよ
智香,みんな……うんっ！みんなの応援、アタシ無駄にしないよっ☆。プロデューサーさんっ、おはようございますっ☆
Ｐ,ああ、おはよう。おっ、ちゃんと変装してるな
智香,そこはちゃんとわかってますよっ。でも、変じゃないですかっ？
Ｐ,可愛いよ。さ、行くか
智香,あ、はいっ！。今、アタシのこと可愛いって……////
まゆ,行きましたねぇ
美嘉,？なんで隠れて見てるの？
卯月,じゃあ私たちも行こうか
美嘉,え？
小梅,で、デートがうまくいくか、見守る……
美嘉,えええ？？？
Ｐ,え？ホラー映画が見たいのか？
智香,はいっ！これ、話題になってるんですよっ☆
Ｐ,ああ。出演陣も豪華だし、監督も今回は実力派を抜擢したな。前作が不入りだったから、映画会社も本気を出したみたいだし、どういう演出をしてきたのか興味あるな
智香,もうプロデューサーさんっ、今日は純粋に楽しみましょうよっ！
Ｐ,あ？ああ、そ、そうだな。どうしてもそういう目で見てしまうな……反省する
智香,いいですよっ☆そういうの、プロデューサーさんの素敵なところだしっ
Ｐ,え？そ、そうか？
智香,はいっ！じゃあ入りましょう
Ｐ,あ、なにか食べ物と飲み物を買おうか。智香、なにがいい？
智香,映画と言えば、ポップコーンですよっ☆
Ｐ,お、智香は映画とかよく来るのか？
智香,事務所のみんなと来るんですよっ
Ｐ,へえ、みんな映画が好きなんだな
智香,それもありますけど、暗くてあんまり騒がれないですし。みんなでお出かけするのに向いてるんですよっ
Ｐ,なるほどな
智香,美嘉ちゃんは、ロマンチックな映画が好きなんですよっ☆
Ｐ,意外だな。もっとアクションとか好きなのかと思ってたが。美嘉のプロデューサーに、今度教えてやろう
智香,小梅ちゃんは、ホラー映画好きですしっ
Ｐ,そうだな。ん、小梅もこれ、見たがるんじゃないか？
智香,はいっ。実はこの映画、小梅ちゃんのオススメ。なんですっ
Ｐ,そうなのか。お、順番きたな。ポップコーンとコーラを２人分、お願いします
店員,こちら、カップルでのご入場ですか？
Ｐ,え？
智香,え？
店員,カップルでの来場の方には、特別セットをご用意しておりますが
Ｐ,えーと俺たちは……
まゆ,チャンスですよぉ。ここでカップルだって言っちゃうんですよ！
卯月,まずは形からはいるんだよ。頑張れ！
美嘉,あ、アタシは無理だな……////
小梅,ポップコーンは……塩味が……おすすめ……
智香,こ、ここでがんばらなきゃ！が、がんばれアタシっ☆。か、カップルですっ！
Ｐ,と、智香
智香,特別セットって、なんだか嬉しいんてすよっ！今日だけお願いします、プロデューサーさんっ☆
Ｐ,そうか……わかったよ。あーと、俺たちはカップルです。俺たちはカップルです……俺たちはカップルです……俺たちはカップルです……カップルです……カップルです……
智香,えへへへへっ☆////
店員,わかりましたー。では、こちらをどうぞ
Ｐ,え？これ、大きいですね
店員,２人分のポップコーンが、ひとつのボックスに入れてありますので、仲良く食べてくださいね
Ｐ,こ、コーラも同じ容器ですか？
店員,ストローも、一緒に吸えるようになってますから。あ、ストローの形はハート形と星形から選べますがどちらになさいますか？
智香,あ、星形でお願いしますっ☆
Ｐ,いいのか？智香
智香,アタシはいいですよっ☆。ど、ドキドキするよう……あ、アタシがんばった！
Ｐ,智香……
まゆ,やりましたねぇ！
卯月,智香ちゃんは、やればできる娘だよね
美嘉,すごいなあ……
小梅,え、映画……楽しみ
まゆ,じゃあ、まゆ達も入場しましょうか
卯月,あ、そうだね。私たちもポップコーン買う？
美嘉,うん。そうしようよ
小梅,か、カップルのセットに……する？
美嘉,……それはやめとこうよ
Ｐ,結構いい席がとれたな
智香,そうですねっ☆実はアタシ、ホラーって初めてなんですよっ
Ｐ,え？そうなのか？これ、結構怖いって聞いてるぞ
智香,そう言われると……ちょ、ちょっと心配になってきました……
Ｐ,こ、怖かったら手を握ってやるから
智香,えっ？
Ｐ,そ、そうすれば、怖くないかも知れないだろ
智香,あ……はいっ！ありがとうございますっ！。プロデューサーさんと、手を……////
Ｐ,ほら、智香ポップコーン
智香,あ、はいっ☆プロデューサーさんもどうぞっ！
Ｐ,ああ……あっ！
智香,あっ！
Ｐ,智香の手と触れた……
智香,今一瞬、プロデューサーさんと手が……
Ｐ,の、のみもにょ、飲み物も飲むか？
智香,は、はひっ！。同じドリンクを一緒にストローで……嬉しいけど、恥ずかしい////
Ｐ,智香の顔が近い……やっぱり可愛いな、智香////
まゆ,どうやら、順調みたいですねぇ
卯月,意外にやるよね、智香ちゃん。心配いらなかったみたいだね
美嘉,これはアタシも、うかうかしてられないなあ
小梅,く、暗くなってきた……わくわくしてきた……
まゆ,それにしてもちょっと離れた席だから、上映中は様子がわかりませんねぇ
卯月,いくら薄暗くても、席を移動したりウロウロすると目立っちゃうよね
美嘉,じょ、上映中も見守るのお！？
小梅,いい考えがある……あの子にお願い……する
まゆ,あの子、ですかぁ？
卯月,誰かな？
美嘉,え？アタシたち以外にも誰かいるの？
小梅,……様子、見てきてくれるって
まゆ,？
卯月,？
美嘉,？
Ｐ,お、照明が落ちて暗くなってきたな
智香,始まりですねっ☆
Ｐ,映画泥棒のダンス、キレがあるよな
智香,後でアタシもあのダンス、やってみます！
Ｐ,おいおい、今日はオフだからな
智香,そうですね。アタシったら……
Ｐ,いや……そういうの、智香のいい所だから
智香,え？
Ｐ,いつも一生懸命でな。だから応援された方も、それ以上にがんばれるんだよ
智香,はいっ！。いい所って……////
小梅,い、いい雰囲気だったって……
まゆ,それは良かったですけどぉ
卯月,誰が見てきてくれてるの？
美嘉,暗がりでこっそりと……あやめちゃんかな？
まゆ,マキノさんですかねぇ
卯月,意外に乃々ちゃん？
小梅,じゃあ……また、お願い
智香,も、もう始まりの雰囲気からして、怖いですねっ★
Ｐ,ああ、上手い撮り方だな
智香,きゃっ！い、今なんだか怖いものが映りましたよっ！！
Ｐ,……こ、怖かったらほら
