藤居朋,おはよ～……忙しいのは嬉しいけど、こうやって朝早いのが増えるのも悩みどころね……
白菊ほたる,……
朋,あっ、ほたるちゃん、おはよ！
ほたる,……
朋,……？
ほたる,……
朋,ほたるちゃん？黙ってあたしの顔見てどうしたの？……あ！もしかして寝グセついてる！？
ほたる,……
朋,違うの？あっ、ひょっとしてあたしに見惚れてたとか～？
ほたる,……
朋,そんなに否定する？
緒方智絵里,そこからはわたしが説明しますっ
朋,わ！智絵里ちゃんいたのね
智絵里,どうしてかはわからないんですが、ほたるちゃんが喋れなくなってしまったんです……
ほたる,……
朋,ええ！？大事件じゃない！？
智絵里,でも心配いりませんっ！わたしとほたるちゃんは以心伝心なので、わたしが通訳できますっ
朋,！？
ほたる,！？
朋,いやほたるちゃんがビックリしてる時点でウソ確定じゃない
智絵里,百聞は一見に如かず、ですよっ
朋,まあ、本当にできるなら助かるけど……
智絵里,ほたるちゃん、何かメッセージを伝えようとしてもらっていいかな？
ほたる,……。……
智絵里,ふむふむ……
朋,智絵里ちゃんの”ふむふむ”かわいいわね
ほたる,……
智絵里,なるほど……米中の貿易戦争が……
朋,いや絶対言ってないでしょ
智絵里,そもそもテレパシーなんて非科学的ですっ！
朋,鮮やかに放り投げたわね……
ほたる,……
朋,え？どうしたのほたるちゃん
ほたる,……
智絵里,紙とペン……
朋,あっ、なるほど、筆談ならできるものね！
智絵里,その手がありましたねっ
朋,とりあえず、何か書いてもらっていい？今の気持ち的な……
ほたる,……。……
朋,なんで顔文字……
ほたる,(˘ω˘)
朋,いや同じ顔されても困るんだけど……
智絵里,ほたるちゃんっ！顔文字とかは読む媒体で崩れたりするからあまり使わない方がいいよっ
朋,どういう角度からのアドバイス？？？
ほたる,(/・ω・)/
朋,かわいいけど煽んないの！。とりあえず、声が出ないのはいつから？
ほたる,……
朋,今日初めてほたるちゃんと意思疎通ができた気がしたわ……
智絵里,昨日の……？何かあったでしょうか……？
朋,うーん……わからないわね……
智絵里,ノドは痛かったりする？のど飴買ってこようか？
朋,やさしい
智絵里,おねえさんですからっ
朋,あたしの心は読んでくるのね
ほたる,……
朋,うーん……心当たりは？
ほたる,……
朋,変なもの食べたとか、ノドに植木鉢が当たったとか……
ほたる,……
朋,そっか……
智絵里,最初は植木鉢にあんなにビックリしていた朋さんが植木鉢は当たるものと当然のように思うようになってる……
朋,どうしたものかしら……
智絵里,あっ、そろそろお仕事の時間が……！
朋,わ、もうそんな時間？今日はお仕事が詰まってるけど……大丈夫かな……
智絵里,誤魔化しながらやっていくしかないですね……
朋,ほたるちゃん、大丈夫？
ほたる,……
朋,なんで顔文字が海外基準になったの？？？
島村卯月,説明しましょうっ！LackLuckの3人の握手会は、長机の向こうに右から智絵里ちゃん、ほたるちゃん、朋さんが立っていて、その順番で握手をして終わりというシステムになっています！
卯月,ほたるちゃんが真ん中なのは、ご本人の私が最初だと後ろの2人に不運が移るかもしれませんし、私が最後だとファンの方々が不運を持ち帰ってしまうかもしれません……という意見を汲んで、サンドイッチする形になったそうです！。また、智絵里ちゃんが最初なのは朋さんと握手するだけで満足して帰ってしまうファンの方がいるかも……！？という懸念からです！。朋さんはこの順番についてどうでもよくない？とおっしゃってました！現場からは以上です！
本田未央,しまむー、誰に話してるの？
卯月,シマムラ的にもオールオッケー♪
未央,ダメだ会話ができない
朋,……
智絵里,……
朋,これはちょっと……
智絵里,予想していましたが……
ファンA,応援してます！
ほたる,……
ファンB,頑張ってください！
ほたる,……
ファンC,ずっとファンでした！
ほたる,……
ファンD,会えて嬉しいです！
ほたる,……
ファンE,このために飛行機で来ました！
ほたる,……
朋・智絵里,工場のラインみたい……
朋,いやこれ大丈夫なのかしら……
智絵里,戸惑ってる方もいらっしゃいますね……
ファンF,あれ、ほたるちゃん、体調悪いんですか？
ほたる,！
智絵里,！
朋,あ！えっと、それは……
智絵里,き、キャラ変ですっ！
ほたる,！？
智絵里,ほたるちゃんは”くーるびゅーてぃー”を目指してるんですっ
ほたる,！？
智絵里,くーるびゅーてぃーたるもの、ファンの方と気軽に言葉を交わすなんてもってのほか……！握手できることを幸運に思いなさい！ってほたるちゃんは言ってますっ！
ほたる,！？
朋,マナーモードかってくらい首が振れてるけど
ファンF,なるほど！！！！！
朋,物分かりが良すぎる
智絵里,窮地を脱しましたね……！
ほたる,……
朋,めっちゃ見てるけど
ファンG,あれ、ほたるちゃん、もしかして体調が
智絵里,くーるびゅーてぃーちょっぷ！！！！！
ファンG,ぐああああああ
朋,緒方ァ！！！！！！！。なんで手を出したの！？！？！？
智絵里,ふふっ
朋,そしてなんで笑えるの！？
ファンG,智絵里ちゃんのチョップに加えて、生”緒方ァ！”が聞けるなんて、僕は幸せです……！
朋,なんだこいつそ、そうなの……！？
智絵里,おそらく逆です、朋さん。なんとかなりましたね……！
朋,なってなかったわよ！？
ほたる,……
朋,あ、いや、別にほたるちゃんを責めてるわけじゃなくてね？
智絵里,いえ、今のは”お腹ペコペコ”という意味のペコペコですね
朋,頭下げてたんじゃないの！？紛らわしっ！
卯月,説明しましょうっ！この日はファッション雑誌の撮影のお仕事が入ってるんです！オーダーは高校生くらいのオトナ背伸びファッションで、本来なら智絵里ちゃんしか年齢に該当しないんですが、常務がまあ藤居は実年齢より下に見えるし白菊は大人っぽいからいけるやろと言いくるめて取ってきました！有能ですね！
未央,だからしまむー、誰と喋ってるの……
渋谷凛,何？常務の話？
未央,しぶりんもそろそろ常務に慣れなよ……
朋,正直、この仕事は助かったわね……
智絵里,ファッション誌の撮影ですから、トークは必要ありませんね
朋,うん、ほたるちゃんも順調にこなしてるわね
智絵里,あっ、終わったみたいですっ
スタッフ,次、藤居さんお願いします
