ベテトレ,よーし。今日のレッスンはここまで！おつかれ！
美波,ふう。今日もトレーナーさん、厳しかったね
文香,はい……以前と比べて、体力はついてきたのと思うのですが……それでも、疲れてしまいます
奏,………
美波,奏さんも、お疲れさま
奏,……あ、うん。お疲れさま
美波,誰かからメールでもきたの？
奏,ええ。フレちゃんから。この後シューコちゃんと飲みに行くから付き合ってー、って。あなた達も誘うように書いてあるわ
美波,私達も？
文香,……お酒、ですか
奏,飲みに行くと言ったら、まあアルコールでしょうね。どうする？急なお誘いだし、嫌なら断ってもいいけど
美波,私は行かせてもらおうかな。二人とゆっくり話せる機会も、そう多いわけじゃないから
奏,文香は？
文香,………。この後は、特に用事もないので……お付き合いさせていただきます
奏,そう。なら決まりね。向こうはもう少し撮影に時間がかかるみたいだし、先にお店に行っておきましょう。個室が空いていてよかったわね
美波,うん。私、お酒弱いから、あんまり酔っぱらった姿を他の人に見られるのは恥ずかしいし
文香,お酒、弱いんですか？
美波,あはは……恥ずかしながら
奏,弱いというより、絡み酒なのよ。今日もガンガン来るだろうから、文香も気をつけてね
美波,あ、あんまり飲みすぎないようにするからっ
文香,はあ……わかりました
奏,それにしても……文香も、私達の誘いに普通に応じてくれるようになったのね
文香,え……？
奏,クローネができたばかりの頃は、どうもこういうのに遠慮がちだったから。1年以上経ったけど、少しは私達に心を開いてくれたってことかしら
文香,……そう、ですね。皆さんと一緒に、アイドルとしての日々を過ごして……そうしているうちに、皆さんとともにいる時間が、心地のよいものに変わっていきました
美波,よかったわね、奏さん
奏,ふふ、そうね
文香,それに……クローネの皆さんは、とてもいい人ばかりですから
奏,いい人、ね。一部、いい人じゃなくてノリのいい人が混じっている気もするけれど
美波,みんないい子だと思うよ。もちろん、奏さんも含めて
奏,……そう。……あら。フレちゃん達、ちょっと撮影が長引くから遅れそうだって。先に飲んでてーって書いてあるわ
美波,そうなの？でも
奏,いつまでも注文せずに個室に居座るのもよくないし、先に頼みましょう？
美波,……それもそうね。さて。酔いすぎないように、アルコールの弱いお酒を選ばなきゃ
奏,私はどのジュースにしようかしら……
文香,………。そういえば、奏さんは未成年でした……
美波,今さらだけど、私達だけお酒飲んじゃっていいの？
奏,いいも悪いも、私はまだ18なんだから仕方ないじゃない。フレデリカも周子も、私の前で遠慮せずにどんどん飲むわよ。だからあなた達も気にしないで
文香,では……お言葉に甘えて
店員,お待たせしましたー
美波,じゃあ、今日も一日お疲れさまでした、ということで
奏,乾杯
文香,乾杯です
美波,うん。おいしい。毎日はちょっと厳しいけど、こうしてたまに飲むお酒はやっぱりいいなぁ
文香,……そうですね。日ごろの疲れを忘れられて、いい気持ちです
奏,二人とも、すっかりアルコールの虜ね。私もあと2年したら、同じようになるのかしら
美波,奏さんは、私達以上に飲むようになりそうな気がするわ。楓さんとか、年長組の人達と同じくらい
奏,あら、どうして？
美波,イメージかな。グラスが似合いそうだから
文香,………
奏,イメージだけで語られるのも困るけど。でも、飲めるようになるのが楽しみではあるわね。毎度毎度、食事の相手がごくごく飲んでいるのを見ているわけだから。自然と興味は湧くわ。アルコールが入るだけで、いつもと違う顔を見せる子もいるし
美波,うっ……それは言わないでよぅ
奏,あなただけじゃないから安心していいわ。私、なぜか飲みの付き添いに誘われること多いから、いろんな人のそういう姿を見ているのよ
美波,他の人も、お酒が入ったら人が変わったりするの？
奏,ええ。たとえば、周子はアルコールが入ると逆におとなしくなるわ
文香,……普通は、羽目を外される方が多いと聞きますが
奏,あの子、色白でしょう？だからすぐ顔が真っ赤になってかわいいのよ。目がとろーんとして、借りてきた猫みたいに静かなの。普段が普段だから、見ているだけで面白いわ
美波,そうなんだ。ちょっと意外だったかも。ちなみに、フレデリカちゃんは？
奏,あの子は飲んでも飲まなくても変わらないわ。いつも同じノリ。違うのは顔が赤くなることだけ
美波,あ、そっちは予想通りね
文香,………
奏,文香はどう？私、あなたが飲む姿を見るのは初めてなんだけど
文香,私、ですか……特に変わらないとは思いますが……自分のことなので、はっきりとはわかりません
奏,そう。普段は寡黙な子が、お酒が入った途端饒舌になったりすると面白そうだと思ったんだけど
美波,文香ちゃん、ペース速いね。もうグラスが空になってる
文香,速い、ですか？
美波,少なくとも、私よりはずっと
奏,ふふ、実は酒豪だったりして
文香,そこまでではないと思いますが……
奏,寡黙と言えば……あなたのところのプロデューサーさんはどうなの？アルコール入ったらおしゃべりになったりする？
美波,えっ？どうして急にプロデューサーさんの話に
奏,だから、寡黙つながりでふと気になったのよ。私、あの人と飲んだことないし。あなたはたくさんあるでしょう
美波,た、たくさんってほどじゃないよ。最近、月イチ＋αくらいで一緒に飲んでるだけなんだから
奏,定期的に約束している時点で十分よ。しかも＋αって
文香,仲……よろしいんですね
美波,うう～
奏,それで、彼の飲みっぷりはどうなの？
美波,別に普通だと思うけど……私が先にできあがっちゃうから、詳しいところはよくわからないかな
奏,ふうん、つまり覚えてないのね。だったら、私が直接確かめようかしら。今度二人きりで食事のお誘いでもして
美波,え、ええっ！？
奏,ダメ？
美波,そ、そういうわけじゃないけど……。そもそも、だ、ダメとかなんとか、そういうこと言う権利は私にはないし……
奏,ふふっ♪
文香,美波さんの取り乱した姿、初めて見たかも……。あ、またグラスが空に
奏,あ、そうだ。美波、今度舞台に出るんですって？
美波,うん。初挑戦だけど、未央ちゃんが一緒に出てくれるからそこは安心かな
文香,舞台ですか。すごいですね……私は、うまく役を演じられる気がしません
美波,やってみれば、案外なんとかなるものだと思うよ。といっても、私もまだまだNG連発なんだけどね
奏,私や文香も、いずれそういう仕事をするようになるのかもしれないわね。正直、まだまだ歌とダンスで精一杯だけれど
美波,確かに、新しいことに挑むのは大変だけど……そのぶんやりがいがあるから
奏,チャレンジ精神旺盛ね、美波は
文香,羨ましいです……
美波,そんな、たいしたことじゃないよ。だって……アイドルの道に進んだ時点で、私達みんな、チャレンジ精神をもって踏み込んだことになるんだから。そこは、私も奏さんも文香ちゃんも同じ。でしょう？
文香,………
奏,……確かに、そうかもしれない
美波,それぞれ、仕事の内容は違うかもしれないけど……目指すところは、きっと同じだから
奏,……うん。頑張りましょうか、アイドル
文香,私も……もっと、新しい自分自身を探したいです
美波,ふふっ
奏,まあ、真面目な話はこのあたりにしておいて……シンデレラプロジェクトのリーダーさんのお話に戻りましょうか
美波,……その笑顔がなんだか怖い
奏,まずは、巷で男じゃなくて女が好きなんじゃないかと疑われている件について一言
美波,えっ！？初耳だよ、それ！。ど、どこからそんな根も葉もないうわさが
奏,だって、アーニャと相当仲いいみたいだし。他の子も出会ってすぐに籠絡するし。ねえ、文香
文香,初めて一緒にお仕事をした時には、優しくしていただきました……
奏,ほら、照れてる
美波,籠絡なんてしてません！同僚同士、仲良くしたいと思うのは当然じゃない
奏,男の影もちらつかないし
美波,それもアイドルなら当然ですっ
奏,あ、でも男なら彼がいるか
美波,そうそう、プロデューサーさんが……って、プロデューサーさんは関係ないでしょう！
奏,あら。私、プロデューサーさんだなんて一言も言ってないけど？
美波,………。飲む、どんどん飲む！
奏,うふふ♪からかい甲斐があって楽しいわ
美波,もうっ
文香,こんな美波さんは、本当に珍しいですね……なぜだかお酒が進みます
美波,えへへ～、なんだかいい気分♪
奏,完全に酔っちゃった……少しからかいすぎたかしら
美波,むー！酔ってませんよーだ！
奏,あなた毎回それ言ってるじゃない
美波,それより奏さんっ。さっきプロデューサーさんを食事に誘うとか言ってたけど、本気なの～！
奏,本気じゃないわよ。冗談
美波,ダメだからね！絶対ダメ！
奏,だから冗談だって
美波,ただし、私を一緒に誘うならかまいません。うふふ♪
奏,聞いてないわね、こっちの話……。文香、あなたも絡まれないように気をつけて――
文香,………
奏,……あなた、どんどん飲むペースが上がってない？
文香,………
奏,一切心の乱れなく飲み続けているわ……これもある意味できあがっちゃってる状態なのかしら
美波,むむっ、文香ちゃんすごいわね。私も負けてられないわ！
奏,張り合わないの。これ以上飲んだら、あなた完全に酔い潰れるわよ
美波,平気です
奏,平気じゃないから言ってるのよ
美波,なんですってー？奏さんが私のなにを知ってるって言うのよー
奏,お酒の弱さについては、あなた本人よりも知っている自信があるわ
文香,………。なんだか……暑くなってきました
奏,顔、赤くなってきてるわよ。そろそろ飲むのをやめたほうが
文香,この内に溜まっている熱を誰かに移せば解決です……
