TV,関東地方に大雨洪水警報が…
紗南,うわー、外すごい暴風雨！雷まで鳴ってるよ！
くるみ,ひぃぃ！！くるみ、もうダメぇ！！
美波,大丈夫ですよくるみちゃん
拓海,おいどうすんだ、これじゃあ帰れねぇぞ
P,うーん…そうだなぁ…
茜,あっ！見てください！看板が吹っ飛んでます！！
紗枝,これは迂闊に外出歩いたら危険やなぁ
乃々,天気予報によると明日の朝までこの調子みたいですけど…
ほたる,交通も全部ストップしてるみたいですね…
P,仕方ない、みんな今日は事務所に泊まりなさい
紗南,えっ！？お泊り？なんか楽しそー！
茄子,ふふっ、修学旅行みたいですね♪
モバP,幸い、最低限の食料や非常用の布団などはあるから、今夜はそれで…
杏,ちょ、ちょっと待って！事務所にお泊り？冗談じゃないよ！杏は家に帰らせてもらうよ！
P,５分歩くごとに10分休憩入れるお前がこんな悪天候の中帰れる訳ないだろう
杏,うるさーい！とにかく杏は帰るからね！
P,あっ！待てっ！なんでアイツこういう時だけアクティブなんだ！
紗南,あ、杏さんが事務所から出ていくのが見えるよ
ｱﾝｽﾞ,ｳﾜｧｱｱｱｱｱｱｱ!!!
茜,杏さんが紙みたいに吹っ飛んで行きました！
P,もおぉぉ、何やってんだアイツは！。仕方ない、俺が杏を回収してくる
くるみ,ぷろでゅーしゃー…大丈夫…？
P,あぁきっと大丈夫だお前はお姉さんたちの言うことを聞いていい子にしてるんだぞ
くるみ,うん…わかったぁ…
P,あいさん、美優さん、他のアイドルたちのことは任せました
あい,うん、わかったよ
美優,気をつけて行ってきてくださいね…？
P,わかってます、それでは行ってきます
紗南,いってらー
P,待ってろよー！杏ー！！！
紗南,それにしても事務所にお泊りなんてワクワクするね！
麗奈,ワクワクなんてしないわよ！なんでこの麗奈様がボロい事務所で一泊しなきゃならないのよ！
あい,まあまあ麗奈くん、状況が状況なんだから少しくらい我慢しないと
拓海,そうだぞ、屋根があるだけありがたいと思え
麗奈,ひっ、わ、わかったわよ！
美波,それにしてもこれからどうしましょうか…
紗南,私お腹空いた…
あい,そうだね、とりあえず夕飯はどうしようか…
桃華,Pちゃまは食料はあるって言ってましたけど…私、キッチンの方見てみますわ
拓海,なんでアイドル事務所にキッチンがあるんだよ
紗南,というわけで私たちはお料理組と遊び組に別れることになりました
美優,お肉に野菜に…お米まであるわ…
桃華,包丁やフライパンも全部揃ってますわね
あい,あの大人数の料理となると…やっぱりカレーかな
美優,カレー粉、カレー粉…あったわ、ものすごく都合よくあったわ
紗枝,それじゃあ作りましょか
美波,美波、頑張ります！
紗南,それにしても料理組に対して遊び組って…
ほたる,なんか、申し訳ないです…
麗奈,ふん、料理は下僕に任せておけばいいのよ
拓海,あぁ？
麗奈,ひ、ひぃ！なによ！
拓海,てめぇ、事務所の仲間に向かって下僕だと？
麗奈,きゃっ！ちょっと！離しなさいよ！！
茄子,こーら、喧嘩しちゃダメですよ♪
拓海,…。ちぃっ、わかったよ…
麗奈,ほっ…
紗南,遊ぶことすらまともにできないなんて…
乃々,で…結局何するんですか…？
茜,お泊りといえばやっぱりトランプですよ！！
乃々,森久保的にはもっとおとなしい遊びの方が…
拓海,十分おとなしい遊びだろ、トランプって…
紗南,まぁ他にすることもないしトランプやろうよ
茜,わたし配りますね！
杏,いやぁ、吹き飛ばされたとこにたまたまきらりがいて助かったよ
きらり,だってだってぇ、そろそろ杏ちゃんのお迎えの時間だったからぁ
杏,それにしてもきらり、よくこんな天候で外歩けたね
きらり,きらりぃね、杏ちゃんのためならどこにでも行くにぃ✩
杏,そうかそうか、偉いぞきらり、そら飴をやろう
きらり,にょわー！！杏ちゃんにプレゼントもらっちった！はぴはぴ✩
P,くそぉ！あんずー！！どこだぁぁぁあああ！！
美波,カレーはケチャップを少し入れるとコクがでるんですよ
あい,へぇ、そうなのか
美優,私も今度から入れてみようかしら…
桃華,ひっ！今の声は…？
紗枝,拓海はんの声やなぁ
美優,どうしたのかしら…私ちょっと見てきますね
あい,私もいくよ、美優さん
拓海,お前はもっと協調性をだな！
乃々,そんなこと言われても…
くるみ,ふえぇぇぇぇん…
あい,こ、これは…
美優,いったい何があったの…？
紗南,あ、美優さんとあいさん
あい,拓海くん、何があったか知らないが少し落ち着きたまえ乃々くんが怖がっているじゃないか
拓海,あいさん、だって乃々のやつがよぉ…
あい,言い分は後で聞くから
美優,紗南ちゃん、何があったか教えてくれる？
紗南,う、うん。みんなでトランプしようって話になって、最初はババ抜きしてたんだけど。何回やってもほたるちゃんが負けで
ほたる,うぅぅ…
麗奈,ひどい時なんか配られた時点で負けてたわよね
ほたる,うぅぅぅぅ…
紗南,あまりにも可哀想だから次は神経衰弱を始めたんだけど。茄子さんが１ターン目で全部当てちゃって
茄子,うふふ♪
紗南,しょーがないから次は大富豪を始めたんだ
麗奈,人数が多いから二人一組のペアに分かれてね
紗南,でも何度説明しても茜さん・くるみちゃんペアがルールを理解できなくて
茜,一番強いカードから出していくべきです！
くるみ,ふぇぇ…くるみ、バカだからぁ…
紗南,それでトランプはやめてなんかもう王様ゲームしようってことになったんだけど。乃々ちゃんが王様になるや否や王様がゲームから離脱し、今後一切関与しないというハチャメチャな命令を発令して
美優,それって命令なのかしら…？
紗南,そしたら拓海さんがついにキレて
拓海,…
紗南,くるみちゃんがびっくりしておしっこ漏らしちゃって
くるみ,くるみ…膀胱もバカだからぁ…
紗南,こうして今に至ります、はい
あい,そうだったのか…
美優,くるみちゃんが一番の被害者じゃない…
乃々,ということで森久保は机の下にいますので、皆さんは引き続きゲームを…
拓海,だからお前なぁ！
あい,拓海くん、少し冷静になりなさい
拓海,でも乃々が！
あい,拓海くん、君が正しい事を言っているのはわかるよ。でもこの中じゃ君が一番年上なんだからまずは落ち着いて物事に対処すべきだろう
拓海,あいさん…。そうだな…ちょっと悪天候のせいもあってカリカリしちまった
茄子,一応最年長は私なんですけどねー
拓海,乃々、それにみんなも悪かったな
乃々,いえ…森久保もさすがに空気が読めなすぎでしたごめんなさい
ほたる,仲直りできてよかったです…
茄子,雨降って地固まる、ですね♪
麗奈,雨はまだ降ってるけどね
美優,ふふ、じゃあ私はくるみちゃんをおトイレに連れて行くから、みんなはここのお掃除お願いね…？
みんな,はーい
美優,じゃあ行きましょうか、くるみちゃん
くるみ,うん…
あい,そろそろ夕飯の準備もできるころだから美優さんたちが戻ったらご飯にしよう
紗南,待ってましたー！私もうお腹ぺこぺこだよぉ
P,あんずー！！どこだ、どこにいるんだー！！！
みんな,いただきまーす！
紗南,美味しいー！！
麗奈,ふん、アンタたちが作ったにしては上出来じゃない！
美波,おかわりもあるからいっぱい食べてくださいねー♪
茜,おかわり！
美波,はいはーい♪
拓海,おかわり！
美波,はいはーい♪
イヴ,おかわり～♪
美波,はいはーい…って、イヴちゃん！？
拓海,アンタいつからここに！
イヴ,えへへ～私は家がないので事務所に寝泊りしてるんですよ～。美味しそうな匂いがしたのでつい来ちゃいました～
拓海,あんたは猫かっ！
イヴ,皆さんも家がなくなっちゃったんですかぁ？
ほたる,いや、雨で帰れなくなっちゃって…
イヴ,そうだったんですか～大変ですね～
あい,君がいるから事務所にキッチンや冷蔵庫があるのかい？
イヴ,いえ、私はお料理できないんですよ～
美優,じゃあ、どうして…
イヴ,私がお腹を空かせてひもじい表情をしてるとかな子さんや響子さんがお料理やお菓子を作ってくれるんです～
麗奈,アンタってダメな大人ね
イヴ,まだ19ですよ～
乃々,っていうか…なんで全裸なんですか…？//
イヴ,うふふ～お洋服もみんなプレゼントしちゃったんです～
麗奈,アンタって最高のバカね
拓海,みっともないからこれでも着とけ！
イヴ,わぁ～ありがとうございます一生大事にします～♪
拓海,お、おい、やったんじゃないからな？あとで返せよな！
イヴ,うふふ～
桃華,ところでイヴさん
イヴ,なんですか～？
桃華,ここって、お風呂とかあったりしますの？
紗南,あ、そういえばお風呂のことすっかり忘れてたぁ！
イヴ,大丈夫ですよ～ちゃんとありますから～
拓海,まさかドラム缶風呂じゃねぇだろうな？
イヴ,違いますよ～ドラム缶風呂は素晴らしいですけど…。でもちょっと調子悪くて三時間以上は使えないんですよ～
紗枝,それじゃあ一人づつ入るのは無理やなぁ
紗南,まぁ女の子同士なんだし二人づつ位で入ればいいんじゃない？
あい,それがいいねでもどうやってペア分けしようか？
イヴ,こんなこともあろうかとクジを作ってきました～
拓海,なぜこんな事態を想像したんだ…
P,そうだ、携帯で連絡を…。…。くそう、出ない！！。杏…いったいどこにいるんだ…！？
杏,あ、携帯の充電切れてる
茄子,じゃあ一番風呂もらっちゃいますね♪。行きましょうか、ほたるちゃん
ほたる,は、はい
茄子,それにしてもお風呂まであるなんて、変な事務所ですね
ほたる,そう、ですね…。茄子さんって、意外と胸大きいんだな…お尻も…
茄子,ほたるちゃん？
ほたる,は、はいっ！？
茄子,そんなに見られたら、ちょっと恥ずかしいですよ
ほたる,えっ？あっ…すみません…///
茄子,ほたるちゃんのエッチ♪
ほたる,あぁう…///でも私も茄子さんみたいにスタイルよくなりたくて…。む、胸ってどうしたら大きくなるんですか…？///
茄子,え？胸ですか？。胸は揉んだら大きくなるっていいますけど…
ほたる,揉んだら…大きくなる…
茄子,まぁそんなのただの迷信…
ほたる,茄子さん！
茄子,はい？
ほたる,しっ、失礼しましゅ！！///
茄子,ひゃっ//ほ、ほたるちゃん!?///
ほたる,えいっ！えいっ！
茄子,ほたるちゃんストップ！
ほたる,なんですか？
茄子,揉むっていうのは…自分の胸ですよ…？
ほたる,えっ
茄子,…
ほたる,…。//////
茄子,ほたるちゃん！？
あい,おや、早かったね
茄子,ちょっとほたるちゃんが
ほたる,うゅぅ…//
茄子,のぼせちゃったみたいで…
あい,大丈夫かい？ほたる君
茄子,少しあっちで休んできますね
あい,あぁ、頼んだよ茄子君
茄子,はい♪いきましょうか、ほたるちゃん
ほたる,はいぃぃ…//
茜,ほたるさん、大丈夫でしょうか？
麗奈,大丈夫でしょう、それより次は私たちなんだから行くわよ！
茜,あ！待ってください、麗奈さん！。いやー、やっぱりお風呂は最高ですね！！
麗奈,今日は拓海のせいで全然イタズラができなかった…。だからここで思いっきりイタズラさせてもらうわ！。覚悟なさい茜！
茜,いつでも～全力でトーライきめるーよ～♪
麗奈,楽しそうね、茜
茜,はい！お風呂に入ると歌いたくなります！。麗奈さんも一緒に歌いましょう！
麗奈,え、遠慮しとくわ…
茜,今日も熱き乙女行動中！
麗奈,ふふっ、笑ってられるのも今のうちよ！お風呂の設定温度を47度にしてと…
茜,あれ？なんかお湯が熱くなってきましたね！！
麗奈,茜、私はもう上がるわ
茜,え、もうですか！？
麗奈,ええ、アンタはゆっくり入ってなさい
茜,ダメですよ！ちゃんと温まらないと湯冷めしますよ！！
麗奈,え！？ちょっ、離してよ！私はもう温まったから！
茜,ダメです！1000数えるまで出させません！！
麗奈,せ、1000！？ちょっとアンタ馬鹿なんじゃないの！？っていうかお湯あつっ！
茜,麗奈さんもいっしょに数えますよ！！いーち！！
麗奈,か、勘弁してー！！
茜,きゅーひゃくきゅーじゅーはち！！
麗奈,もうだめ…
茜,きゅーひゃくきゅーじゅーきゅー！！
麗奈,意識が…
茜,せん！！！。数え終わりましたー！！麗奈さん？？
麗奈,
茜,麗奈さーん！！？？
くるみ,わぁ…麗奈しゃん、気を失ってましゅ…
茜,大丈夫ですか麗奈さん！！？元気ですかー！！？
紗南,どう見ても元気じゃないよ…
麗奈,うぅん…
茜,麗奈さん、しかっりしてください！！ほら！お茶ですよ！！
麗奈,ん…って！なんで熱い方のお茶なのよー！！
紗南,あ、いつもの麗奈ちゃんだ
美波,じゃあ次は私たちですね！行きましょう紗南ちゃん！
紗南,うん！
美波,はぁ…気持ちいい…♪
紗南,なんか美波さんエロい…//
美波,どうしたんですか、紗南ちゃん？
紗南,な、なんでもないよ
美波,そうだ！紗南ちゃん髪の毛洗ってあげます！
紗南,えっ？いっ、いいよ！///
美波,遠慮しないでください！弟の髪もいつも洗ってあげてるんですから！
紗南,えっ？美波さん弟さんと一緒にお風呂入っているんですか？
美波,はっ！ち、小さい頃の話ですよ!///
紗南,こんな美人なお姉さんと一緒にお風呂入ってるとか…弟くん羨ましすぎだろ
美波,そ、それじゃ洗いますね//
紗南,じゃあ、お願いするね
美波,気持ちいいですか？
紗南,うん、気持ちいいよ
美波,ふふっ、紗南ちゃん髪の毛きれいですね♪
紗南,そんな、美波さんほどでは…
美波,はい、お湯かけて、と…おしまいでーす♪
紗南,あーさっぱりした、ありがとう美波さん！
美波,いえいえ♪
紗南,お返しに背中流すよ！
美波,え、わ、私はいいですよ
紗南,なんで？遠慮しないでよ！
美波,私、くすぐったがりだから…//
紗南,大丈夫、大丈夫くすぐったくないようにするから！
美波,で、でもぉ…
紗南,ほらほら、背中向けて？
美波,わ、わかりました…
紗南,どぉ？気持ちいい？
美波,えぇ、きもちぃ…ぁ…ん//
紗南,！。ごっごめん//くすぐったかった？
美波,ごめんね、大丈夫よ///。変な声出しちゃった…///
紗南,もっと慎重に、慎重に。あっ手がすべっ…
美波,ひっ…ぁあん///
紗南,
美波,ご、ごめんなさいっ///
紗南,あ、私もごめん…///
美波,…
紗南,…
美波・紗南,気まずい…
紗枝,どうしたん？二人共お顔が真っ赤やなぁ
美波,いえ…その…//
紗南,なんでもないよ…ﾊﾊ//
紗枝,？
くるみ,次はくるみたちでしゅね
紗奈,そうやなぁほな、お先失礼します
くるみ,うーん、うーん…
紗枝,くるみはん、どうしたん？
くるみ,服がうまく脱げなくて…
紗枝,手伝いましょか？
くるみ,すみましぇん…
紗枝,よいしょ…はい、脱げましたよ～
くるみ,あ、ありがとうございましゅ…。お胸がつっかかっちゃって、いつもうまく脱げないんでしゅ…
紗枝,。…。…
くるみ,あの…紗枝しゃん…？
紗枝,いえ、なんでもありまへん
くるみ,お胸が大きいと色々大変でしゅ…。クラスの男子に変な目で見られるし…
紗枝,
くるみ,重くて肩こるし…
紗枝,
くるみ,くるみも…紗枝しゃんみたいにお胸が小さくなりたいでしゅ！！
紗枝,
くるみ,紗枝しゃん？
紗枝,うふ…うふふふふふ…
くるみ,紗枝しゃん…？なんか怖いでしゅ…
紗枝,うふふ…
くるみ,ふぇぇぇえええ！！
拓海,くるみ！？どうした！？
くるみ,紗枝さんが、紗枝がなんか変ー！！！
紗枝,うふふふふ…
拓海,お、おいっ！紗枝、しっかりしろ！！
紗枝,どすえー
拓海,紗枝ー！！！
桃華,紗枝さん、大丈夫でしょうか…？
あい,ま、まぁここは拓海君たちに任せて私たちも行こうか
桃華,はい
あい,ふう、よいしょっと…。おや？桃華くん、脱がないのかい？
桃華,えぇ…その、ちょっと…恥ずかしくて…///
あい,ふふっ、年頃の女の子って感じだね
桃華,すみません…///
あい,いいさ、心の準備ができたら入ってきたまえ
桃華,は、はい…。大人の女性の裸を見てしまうと自分に自信がなくなってしまいますわ…。私なんてまだ…け、毛も生えてない…。あいさん、すごくスタイルよかったなぁ…//。って、何をドキドキしているんですの？///。いつまでも待たせるのも悪いですし、そろそろ覚悟を決めて入りましょう。お待たせしました//
あい,やぁ、いらっしゃい…っていうのも変か
桃華,水に濡れたあいさん…すごくかっこいいですわ…//
あい,ん？私の顔に何かついているかい？
桃華,い、いえ！なんでもありませんの！//
あい,？
桃華,あの、あいさん
あい,ん、なんだい？
桃華,どうしたら、あいさんみたいにかっこいい女性になれますか？
あい,え？
桃華,いつまでもこんな子供のようでは、ファンの方にも飽きられてしまいますわ…。だから私も、あいさんのようにかっこいい大人の女性になりたいんですの
あい,…ふふ、桃華くんは真面目なんだね。大丈夫さ、桃華くんもこれからどんどん成長して、私よりも、真奈美さんよりもかっこいい女性になれるさ
桃華,本当ですか…？
あい,本当さ、それに私は今のままの君でも十分魅力的だと思うよ
桃華,今の、私が…？
あい,あぁ、人にはその人にしかない良さがある。桃華くんのファンの人もきっと君にしかない魅力に惹かれているのさ
桃華,私だけの、魅力…//
あい,そうさ、だから慌てずにもっと自分に自信をもっていいんだよ
桃華,あいさん…///
あい,おや、顔が赤いね、どうしたんだい？
桃華,す、少しのぼせちゃったみたいです///
あい,大丈夫かい？それじゃあそろそろあがろうか
桃華,は、はい…///。あいさん…//
あい,やぁ、おまたせ
桃華,///
拓海,なんだ桃華、お前ものぼせちまったのか？
イヴ,うふふ～今日はのぼせる子が多いですね～
拓海,よし、じゃあアタシたちも行くか！
