島村卯月,さぁ皆さん！到着です！
前川みく,到着……って、どうみてもアタシたちのプロダクションにゃ
みく,というか何なのこの格好！都会の真ん中で探検隊ルックって不釣り合いにもほどがあるにゃ！
渋谷凛,みく、探検には探検に合った格好があるんだよ
本田未央,そうだよみくにゃん！これを着ないと冒険が始まらないよ～
みく,2人ともなんでそんなに冷静にゃぁ…。なんなのこれ……番組の撮影とは聞いていたけど。というかエムジェーって明らかにあの人の事だよね！？大丈夫なのこれ…
現地民I,みし……エムジェーね、確かに見たことあるよ
みく,部長さんにゃ…
卯月,本当ですか！？いったいどこで見たんですか？
現地民I,うん、あの建物の8階だったかな
凛,目的地は決まったね
みく,8階って、常務の部屋がある階だよね！？マジで行くの！？
卯月,ここが346プロ社屋ですかー、広いですね！
みく,いや、いつも来ているでしょ
凛,さっそくエレベーターで8階まで行こうか
みく,えっ？探検だから階段で行くんじゃないの？
卯月,みくちゃん、使えるものは使うんですよ
みく,探検にしては夢が無さすぎる！
未央,しまむー隊長！エレベーターの前に人が集まっているであります！
卯月,何かあったんでしょうか、すみませーん
現地民K,あっ、卯月ちゃんおつかれさま～
みく,かな子チャンもお疲れ様にゃ、何かあったの？
現地民K,誰かがエレベーターに閉じ込められちゃったみたいで……他のエレベーターも点検のために止まっちゃったの
凛,それは大変だね
現地民K,うん……レッスンルームまで階段移動かぁ……
卯月,乗れないなら仕方ありませんね……階段で行きましょう！
みく,8階って結構距離あるにゃぁ…
未央,まぁまぁ、頑張ろうよ
卯月,途中で情報も集めましょうね
凛,アイドルならレッスンルームに手がかりがあるかも
未央,うんうん、行ってみよう♪
みく,そんなバカなことがあるわけ……。あったにゃ
未央,あったよ！エムジェーの手がかり！
卯月,これは……壁画ですね
凛,中心に描かれてるのがエムジェーなのかな？
卯月,きっとエムジェーですよ！写真に撮っておきましょう！
凛,なかなか味わい深い壁画だね、蒼色で塗ったらもっといいと思うけど
未央,歌っているアイドルの笑顔が絶妙な上手さだねっ☆
みく,ねぇ、卯月チャン
卯月,どうかしましたか、みくちゃん？
みく,どう見てもホワイトボードだよねこれ、しかも右下にR・Kってサインがあるし…
卯月,……！！大発見ですよみくちゃん！壁画の作者のサインも貴重ですから撮っておきましょう
みく,えー……そっちなの……。特徴的な笑顔にR・Kというサイン……作者はきっとあの子にゃ
卯月,これでエムジェーにまた1歩近づけましたね！。上の階へ行きましょう！
凛,次は4階だね
みく,何この音？
未央,い、岩だーっ！
卯月,みんな避けて！
凛,きゃあぁぁぁ！
卯月,凛ちゃん、大丈夫ですか！？
凛,卯月……ごめんね、ここまでみたい
卯月,ダメです凛ちゃん！私達には凛ちゃんが必要なんです！
未央,そうだよ！しっかりしてよ、しぶりん！
みく,いや、今の岩どう見ても作り物だったよね！？それに凛チャン、卯月チャンに抱きしめられているからってデレデレしすぎにゃ
卯月,ふぅ、ここで休憩しましょうか。凛ちゃんも足を休ませてくださいね
凛,私の事を考えて……ありがとう卯月
卯月,隊員のことを考えるのも隊長の努めですからね。でも、ただ休憩するだけじゃいけませんね、罠を仕掛けましょう！
みく,罠！？そんなものに引っかかるのかなぁ、あの人……
卯月,みくちゃんも休憩してくださいね、未央ちゃん行きましょう！
未央,了解！捕獲用の餌はバッチリ用意してあるよ！
みく,何だかツッコミばかりでお腹が空いたにゃ……持ってきたコロッケパン食べよ。あれ……コロッケパンがない
未央,仕掛けてきたよー
凛,2人ともお疲れ様
卯月,はい！あのコロッケパンが餌なら絶対に引っかかりますね！
みく,ちょーっと待つにゃ！今なんて言ったの！
未央,え？罠仕掛けてきたよーって
みく,未央チャンじゃなくて卯月チャンの方！
卯月,絶対に引っかかりますね！って言いましたが……
みく,違う！その前！
卯月,はい！ですか？
みく,戻りすぎ！罠に仕掛けた餌の方！
卯月,コロッケパンの方でしたか！ちょうど探検バッグに入っていたので罠の餌にしました！
みく,みくのお昼ご飯なのにぃ～
卯月,あららー……、それは申し訳ないことをしましたね。みくちゃん、私のお弁当を半分こしましょうか♪
みく,やったにゃぁ！卯月チャンのお弁当は美味しいからね～
凛,羨ましい……
卯月,凛ちゃん、今度凛ちゃんのお弁当も一緒に作ってきますね♪
凛,卯月……///
未央,いやー、青春ですなぁ
凛,まだ罠にかからないみたいだね
卯月,辛抱強く待ちましょう
みく,そもそもコロッケパンで捕まる人なんていないでしょ……
未央,でも、このまま待つのもねー
卯月,そうですね……、そうだ！コーヒーでも飲みましょうか！島村卯月特製コーヒーをご馳走しちゃいます♪
未央,おっ、しまむー隊長のコーヒータイム！待ってました！
卯月,ありがとうございます、それじゃあ準備をしますね。……
みく,なにこれ。器にゆっくり入れたと思ったら茶筅でコーヒーを点て始めたにゃ
卯月,ガンバリマスガンバリマスガンバリマスガンバリマスガンバリマス……
みく,怖すぎるにゃぁ！
卯月,凛ちゃんのために頑張ってください……。……ふぅ。完成です！まずは凛ちゃんからどうぞ♪
凛,ありがとう卯月。うん、やっぱり卯月の入れたコーヒーは美味しいね
卯月,えへへ……、気持ちを込めて入れてますから♪
未央,しまむー、早く私も飲みたいよー！
卯月,分かってます、次は未央ちゃんのコーヒーですね
みく,入れるのに時間がかかるけどそんなに美味しいんだ……
未央,ん～、やっぱりしまむー隊長のコーヒーは格別だねぇ
卯月,そう言ってもらえると嬉しいです♪
みく,う、卯月チャン……
卯月,ふふっ、次はみくちゃんの準備をしますね
みく,卯月ちゃんのコーヒーの味がすごく気になるにゃ。な、なんの音にゃ！？
未央,しまむー！
卯月,罠に反応がありました！行きましょう！
みく,みくのコーヒー……
未央,何かいるよ！
卯月,網を準備してください！
みく,はいにゃ！
凛,セット完了したよ！
卯月,開けます！
？？？,フゴー！
未央,これがエムジェー！？力が強すぎる！
凛,くっ……網がちぎれそう
卯月,ああっ！網が破れました！
？？？,フゴー！フゴフゴフゴ！
卯月,こ、これは……！
