そして俺が担当しているアイドルは,あの
どれも夕美には似合いそうだけど、ここは黄色にしようかな！なんか、,っぽい
母の日のプレゼントといえばカーネーションですが、実は色によって花言葉が違うって知ってますか？中でも黄色いカーネーションの花言葉は,軽蔑
黄色いカーネーションの花言葉は,軽蔑。軽蔑
うっかり大声を出してしまった。凛が責めるような目をしている。,悪い
凛P,黄色いカーネーションの花言葉？凛、知ってるか？
渋谷凛,……うん。軽蔑だよ
凛P,おおっと、それはそれは……
夕美P,だよね。やっぱりそういう反応だよね
凛,でも、夕美さん笑ってたんでしょ？じゃあ大丈夫だと思うけど
凛P,だよな。気にしてるのお前だけだと思うぞ
夕美P,違うんだよ。花言葉を全然知らないってバレちゃったんだ。俺は夕美の担当なのに
凛P,俺だって別に花に詳しくないし、犬も飼ってないけど
凛,……Pには、ちょっと態度を改めてほしいんだけど
凛P,知らないもんは知らない、でいいんだよ。これから覚えればいいじゃん
夕美P,それでもさ、店員さんに引き止められた時点でちょっとくらい気にするべきだったんだよ
凛P,あー……それはまあ、そうかもな
夕美P,前に夕美から花言葉でメッセージを送られたこともあったのに、何でその発想が出てこなかったんだろうなぁ……
凛P,花言葉って調べないと絶対わからないよな
凛,だからって、花を渡す度にこれの花言葉って何？って聞くのやめてくれない？
凛P,善処する
夕美P,はあ……。やっぱり、慣れないことはしなければよかった
凛,……いや、それは違うよ。格好はつかなかったかもしれないけど、最初の目的って夕美さんへの感謝を伝えることでしょ？じゃあ、やっぱり気にしなくていいよ
夕美P,で、でも……
凛,それとも、黄色いカーネーションをあげたのは夕美さんを軽蔑してるから？
夕美P,いや、そんなことは！
凛,じゃあ、胸を張りなよ。プレゼントって、モノより心が大事だから
夕美P,し、渋谷ちゃん……！
凛P,ぶっ！
凛,……ちょっと、今真面目な話してるんだけど
凛P,だってさ、渋谷ちゃん呼びはズルくない？ゆるキャラかって！
考えた人には悪いけど、,軽蔑
