モバＰ,俺は止めとくよ。それより、あんまりはしゃぎ過ぎて転ばないようにな、裕美
関裕美,ふふっ、分かってるよ。折角のかわいいドレスだから、汚したら勿体ないよねっ
Ｐ,そうだな。それに海がそんなに冷たくなくても、転んで濡れたら風邪ひくかもしれないだろ？もう夜遅いし
裕美,うん、明日も撮影のお仕事があるし……。でも、もうちょっとだけ。いいよねっ？
Ｐ,裕美が満足するまで付き合うさ。俺だって夜の海なんて珍しいから、俺は俺で楽しんでるから気にしなくていいぞ
裕美,ありがとっ、Ｐさん。もうちょっとだけ、海に入ってみるね。……わっ、波がくすぐったい……。夜の海も昼と違う雰囲気で……。なんだか不思議、今日はお月様もきれいで、星もたくさん見えるね。ねぇＰさん。北極星ってあの明るい星？
Ｐ,北斗七星があそこにあるから……。それだな。どうした突然？
裕美,何でもないよ。ただ、あれがそうかなぁって思ったの。私、そんなに詳しくないから
Ｐ,２人して天の川くらいしか分からないからな
裕美,そうだね。ふふっ、でも、星もきれいだけどお月様も丸くて凄いきれい……。まるで髪飾りみたいじゃない？
Ｐ,満月の髪飾りか……。いいじゃないか、裕美に似合いそうだ！
裕美,浜辺にもかわいいアクセになりそうなのがたくさんあったから、今度Ｐさんにも作ってあげるね！。Ｐさんいつもスーツばかりだから、スーツに似合いそうなの考えておくからっ
Ｐ,裕美のアクセか……そんなの貰った日には、毎日着けて来ないとな！
裕美,そんなに大層なものじゃないから……。でも、Ｐさんがそんな風に言ってくれるのが嬉しいなっ
Ｐ,当たり前だろ。自分の担当している大事なアイドルからの贈り物なんだから。まぁ流石にすごいフリフリキラキラのとかは仕事に差し支えそうだから、勘弁な
裕美,フリフリキラキラがいいなら、そういうので作るよ？
Ｐ,それは自分で着けてくれ。頼む
裕美,ふふっ、冗談だよっ。えいっ、ねぇＰさん。こうやって海を蹴ってみるのも楽しいよ
Ｐ,楽しいんだろうな、きっと
裕美,うん。ぱしゃぱしゃって感じでね！
Ｐ,俺はな、裕美が笑ってるから。楽しいんだろうなって思ったんだ
裕美,私が……？楽しそうだった、笑顔だったの？
Ｐ,あぁ、自然な笑顔でこう……。満点の笑顔！ってこういうんだろうなって思ったんだよ
裕美,そう……。笑えてたんだね、私
Ｐ,それも凄く魅力的に、だ
裕美,ありがとう、Ｐさん。Ｐさんにそう言って貰えると、笑顔の練習した成果があったんだなってほっとするな……
Ｐ,裕美が頑張ってきたからだろうな。笑顔を忘れないで、自分を変えようとしていたから今の裕美がいるんだ
裕美,そうなのかな……。ねぇＰさん、なつやすみのひまわり畑、覚えてる？
Ｐ,田舎での撮影だったな。暑いけど、一面のひまわり畑には圧倒されたよなー……
裕美,うん、ひまわり畑で追いかけっこなんて、漫画みたいなこともできそうだって話したよね
Ｐ,捕まえてごらんなさ～い。ってね
裕美,……それ、私の真似したつもりなの？
Ｐ,ごめんなさい
裕美,もうっ……！それでね、あの時は恥ずかしいからってやらなかったけど……。月明かりが照らす砂浜……。これも、ロマンチックなシチュエーションだよねっ。この砂浜、私とＰさんだけだから……恥ずかしくなんてないよね。……ねぇ！追いかけっこしよ！ほら！
Ｐ,お、おい裕美！
裕美,ふふっ、こっちだよ、Ｐさん！
Ｐ,……ったく。すぐつかまえてやるかならな！
裕美,ふふっ、あははっ！楽しいと自然と笑顔になれるね！Ｐさん！
Ｐ,裕美、入るぞー
裕美,どうぞ。私はもう撮影の準備終わってるよ
Ｐ,それじゃ失礼……。おぉ……！
裕美,ど、どうかな？ウェディングドレスなんて初めてで……。に、似合うかな？
Ｐ,…………
裕美,え、Ｐさん……固まって……どうしたの？
Ｐ,……泣ける……！
裕美,え、えぇ！？ちょっとＰさん、そんな急に泣かれても！？ど、どうしたの！？
Ｐ,大事な愛娘を嫁にだす父親の気分ってこうなのかな……。幸せを願わずには……！
裕美,Ｐさーん！撮影だからね！わ、私だって初めてで緊張してるのに……！
Ｐ,わ、悪い……。でも、凄く似合ってるぞ、裕美。その……なんだ。が、頑張ってこい！笑顔を忘れずに……だ！
裕美,うん！それじゃあ、行ってきます……の前に。Ｐさんに渡したいものがあるの
Ｐ,お、なんだ？新作のアクセとか…か？
裕美,ううん違うよ。……はい、どうぞ
Ｐ,どうぞ、って……これ花嫁のブーケじゃないか
裕美,はい、どうぞ
Ｐ,いやいや、撮影に使うんじゃ……。そもそも、男の俺が渡されるものじゃないだろ
裕美,それは撮影とは別ので、私が自分で作ったんだ。このお仕事のお話聞いて、それから造花で作ったんだ
Ｐ,裕美が作った奴なのか……じゃあ俺が貰っても……いや、よくないだろ？
裕美,私からＰさんに、幸せのおすそ分け。それに、お嫁さんからのブーケじゃなくて、私からのプレゼントだからいいよね？
Ｐ,……そういう問題なのか？
裕美,そういう問題なの。今までずっとＰさんに支えられて……、今日はこんなに素敵な衣装でお仕事して……。私は確かに幸せって……思えるの。それも、Ｐさんが私を見つけてくれたから……。だから、そのお礼。私からの、手作りの愛情……は言い過ぎかな？とにかく、今までありがとう、そして、これからも。ありがとう。Ｐさん！
Ｐ,……あぁ、ブーケ、ありがとう。家に、大事に飾っておく
裕美,それじゃあ、行ってきます！
Ｐ,……撮影現場には後から俺も行くからなー
裕美,うん、私がしっかりと笑えてるか、ちゃんと見に来てね！
Ｐ,……あー、もう……裕美の奴……。立派になって……。やっぱり父親って、こういう気分になるものなのかな……
裕美,えいっ！
