川島巴,２６
テロップ,2017年――フィリピン共和国、ビニャン市。バレーボール女子アジア選手権決勝日本―タイ
観客席から,ニッポン！ニッポン！
テロップ,川島巴２５
実況,試合終了ーーっ！！日本代表、アジア選手権で10年ぶりの優勝を決めました！！
テロップ,日本、東京――
テレビ,日本代表、アジア選手権で10年ぶりの優勝を決めました！！
客A,よしっ！！今回の決勝、川島巴が決めてくれたな！！
客B,やっぱり、川島はスターだよ！！昔はハイパー女子高生と呼ばれた天才選手で、現在は日本代表の主力
客C,おまけにルックスは最高で、ファッション雑誌で特集されたことがあるくらいだ
喪黒,…………
テロップ,2018年――日本。V・プレミアリーグFEC―帝レ。川島巴２６
記者A,あの、川島さん！私、極東スポーツの者ですが！！
記者B,川島さん！私は日新スポーツの者です！！
記者C,川島さん！実は、私は……
巴,てめえら、いい加減にしろ！！俺にだってプライベートがあるんだよ！！バカヤロウ！！
記者たち,す、すみません……
喪黒,女の人でありながら、ここまで威勢のいい啖呵を切るとは……
巴,こらっ！てめえもマスコミ関係者か！
喪黒,私はマスコミの人間ではありません。実はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
巴,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
巴,セールスマンだと！？どっちにしろ怪しい奴であるのは変わりねぇじゃん！
喪黒,そんな荒っぽい言葉づかいはよしたらどうです。あなたのような美しいお方には似合いませんよ
巴,おい、おっさん。てめぇに自分の生き方を指図されるつもりはねぇぜ！俺は俺らしく生きるからよぉ！
喪黒,ねぇ、川島さん。あなた、本当に自分らしく生きているおつもりなのですか……？
巴,そ、それは……
喪黒,おやおや、否定しないのですか。どうやら、図星のようですねぇ……
巴,ううっ！！
喪黒,どうやら、あなたの心にもスキマがおありのようです。何なら、私が相談に乗りましょうか？
BAR,魔の巣
喪黒,それにしても……。女子バレー日本代表の川島巴さんが性同一性障害に悩んでいたとは……
巴,はい……。喪黒さんの見立て通りですよ。俺は小さいころから、自分の性の不一致にうすうす気づいていました
喪黒,でも……。周囲に気づかれることを恐れて、今までこっそりと隠し通してきたのですね
巴,そうです。長い間、隠し通してきたにも関わらず……。今日、喪黒さんに一目で見抜かれてしまいました
喪黒,私はセールスマンですから……。仕事柄、長年、人間の観察を行ってきたおかげなのですよ
巴,は、はあ……
