本編とは異なる時空,かもしれない
井之頭五郎,空腹に誘われるまま店に入ったはいいが…平然とカウンター席で芋煮込みを食べているあの生物は何なんだろう…
ぷちかれ,ｵｲｼｲﾈｪ
五郎,……いかんぞ、見とれてる場合じゃない。……だけど……うまそうに食べるなあ……
店主,ご注文お決まりになられましたか？
五郎,あ、すいませんあの生物は……
店主,はい？
五郎,あ、じゃなくて注文……ええと……
ぷちかれ,ﾌﾟﾁｶﾚｺﾚｽｷｰ
五郎,すいません、芋煮込みを
店主,かしこまりました
五郎,いかんいかん…。ついテンパって踏み込んだ事を聞いてしまった…俺とした事が…でも、よくよく見るとあの生物……愛嬌のある顔をしているな……マスコットか何かなのかな…
ぷちかれ,ﾎﾟﾃｪ?
五郎,あ、失礼しました…
ぷちかれ,ﾎﾟﾃｪ
店主,お待たせしました、芋煮込みです
五郎,おお……。いただきま……
ぷちかれ,ﾎﾟﾃｪ…
五郎,わっ！
ぷちかれ,ｵｲｼｲﾖ!
五郎,俺とした事がつい大袈裟に驚いてしまった……ここは平静を取り戻さなければ……。いただきます。……。おお。おお……何だろう
ぷちかれ,ﾎﾟﾃｪ……
五郎,何だろう、この感じ……田舎の婆ちゃんを思い出す味だ…。食べたことないはずなのに、どうしてこんなに懐かしいんだろう……いいぞ……じんわりと…飯が進む……
ぷちかれ,ﾎﾟﾃｪ……。ｵｶﾜﾘｰ
店主,はいよ、煮込みもう一皿追加！
ぷちかれ,ﾎﾟｰｲ!
五郎,ごちそうさまでした…
ぷちかれ,ﾎﾟﾃｯﾌﾟ……
五郎,……ふっ。そうだよな、お互い何者かなんて関係ない。俺達は飯を食いに来た。同じ飯の芋を食った、仲間だ。すみません、お勘定を
店主,はーい、ただいまー
五郎,あー……美味かったなぁ……。美味しそうに食べてる人を見ると、何だかこっちまで元気を貰える。……ん、人？。いかん、やっぱり気になってきたぞ……さっきのあの生物は、何だったんだろう…
