あたしは今、年に一度のイベント,バレンタインデー
加蓮,はぁ……
凛,加蓮、どうしたの？さっきから顔が暗いけど
奈緒,ま、まさか！？どこか悪いのか！？きゅ、救急車！！
加蓮,違うって！そういう事じゃなくて！
凛・奈緒,？？
加蓮,バレンタイン、近いでしょ？どうしようかなーって思って
加蓮が言った,バレンタイン
奈緒,あー……
凛,んー……
加蓮,プロデューサーさん、毎年楽しみにしてるからなー。2人はどんなチョコ作るの？
凛,私は……いつもどおり、かな。去年と同じチョコレートケーキ。味は進化させてるつもりだけどね
奈緒,凛Pさん、ケーキが好きなんだっけ？
凛,うん。この前もね、一緒にケーキバイキングに行ったんだ。そしたらプロデューサー、お皿一杯にケーキを乗せちゃってさ、そんな量食べられるの？って思ってたらあっという間に全部食べちゃって。ふふっ！プロデューサー、ほっぺにクリームが付いたままだったから私が拭き取ってあげたんだ。まるで子供みたいで、ちょっとかわいいって思っちゃって
加蓮,り、凛！もう分かったから。凛はチョコケーキって事ね。がんばろ！
奈緒,……凛は凛Pさんの事になると途端に喋りだすよな……
凛,そ、そうかな？気のせいじゃないかな……あ、加蓮はどうなの？
加蓮,んーと……私は今年もハート型にしようかなー
奈緒,加蓮はホント健気だなぁ。
加蓮,今年はもう少し攻めてみようって思ってるんだ。私のプロデューサーさん、いっつもはぐらかしちゃうから
凛,加蓮Pさん、シャイだよね
加蓮,そこが良いんだけどねー。…………さぁて。奈緒は今年のチョコ、どうするのー？
凛,あ、それ私も聞きたい
奈緒,あたしぃ！？あ、あたしもいつもと同じだよ！そんだけ！
加蓮,えー？ホントぉ？
凛,絶対嘘ついてるよね。じゃあ奈緒の尋問、始めようか
奈緒,な、なんだよ尋問って！？
凛,私たちだって本音を言ったんだから、奈緒からも聞かないとね
加蓮,奈緒Pさんへの気持ち、聞かせてもらうよ～奈緒～
奈緒,や、やめろ！やーめーろー！！。……今はチョコに集中だ！。……こんなもんかな？。クッキーも完成だ！あとは…………。……。よし！完成だ！！
P,おはようございまーす。……あれ、奈緒
奈緒,あ、お、おはよ！
P,おはよう。今日は早いな。午前のレッスンまで、まだ時間あるけど
奈緒,あー、まあアレだよ。とにかく！Pさんの机に行こうよ
P,ん？おう。奈緒、用があるんだろ？言ってみな
奈緒,な、なんで分かったの！？
P,奈緒のプロデューサーだからさ！……って言いたいけど、本当は奈緒がソワソワしてたからね
奈緒,あたし、そんなに態度に出てた？
P,出てたよ。かわいかった
奈緒,い、いきなりかわいいはやめろ！
P,あっはは！……さて、そんなかわいい奈緒は俺になんの用かな？
奈緒,……えーと……
P,……
奈緒,…………
P,……毎年渡してるのに、まだ慣れないか？
奈緒,！！！
P,今日が何の日くらいは知ってるよ。そして奈緒が何をしたいのかもね
奈緒,……そりゃ、そうだよな。事務所の雰囲気がそうだもんな
P,今年もチョコを期待しても良いのかな？
奈緒,……あ、あまり良い出来じゃないけど……
P,そんな事はないよ。美味しいし、毎年楽しみにしているんだ
奈緒,あ、ありがと。ばか。…………はい、Pさん
P,いつもありがとう、奈緒
奈緒,……
P,今年も四角い箱だ。中は去年と同じハート、かな
奈緒,……おう
P,このチョコはまるで奈緒みたいだ。素直になれない外側の奈緒はこの箱。素直な内側の奈緒は、中のチョコって感じで
奈緒,ん？んー、よくわかんないや
P,俺もちょっと恥ずかしくなった
奈緒,アハハッ！Pさんのばーか。………………あの、さ。Pさん、あたし……いっつもPさんにお世話になってるから。あたしは素直じゃないからさ、こんな事しか出来ないけど……た、たくさん気持ちは……込めたから
P,うん
奈緒,……開けないのか？
P,いいのか？いつもは家で開けろって言うのに
奈緒,い、いいよ。開けても
P,今年は特別って事かな。それじゃあお言葉に甘えて
奈緒,や、やっぱ待って！
P,え？
奈緒,ごめん……やっぱり、恥ずかしい……ほんと、ごめん
P,気にしなくていいよ。奈緒、改めてありがとう。すごく嬉しいよ。落ち着いたか？顔真っ赤だったから
奈緒,……多分、今も真っ赤だよな
P,うん、超赤い
奈緒,Pさんのせいだな、絶対
P,奈緒の顔を赤くさせるのは俺の仕事だからね
奈緒,笑うなよぉ……ったく
P,奈緒はかわいいなぁ
奈緒,かわいいは禁止！
P,かわいいよ、奈緒
奈緒,もういいから！は、恥ずかしいから！
P,……
奈緒,……ねぇ、Pさん
P,ん？
奈緒,チョコ見ても、嫌いにならない？
P,……ならないよ。嫌いになんかなるもんか
奈緒,そ、それなら、いいよ
P,別に無理しなくても
奈緒,大丈夫。もう大丈夫だから
P,……。かわいらしいハートだ。去年よりも良くなってるな
奈緒,ん……た、食べてみてよ
P,うん。いただくよ……っとその前に
奈緒,？
P,この形を残しておかないと
奈緒,！？と、撮るなよ！
P,記念だよ。毎年写真に撮って残してるんだ
奈緒,そ、そんなの聞いてないし！！
P,言ってないからな
奈緒,はぁ…………ばか。早く食べちゃえ
P,かわいい奈緒のかわいいチョコ、いただきます
奈緒,黙って食べてよ！
P,…………おいしい……程よく甘くて食べやすいよ
奈緒,そ、そっか。良かった、へへっ
P,頑張ったな。奈緒、ありがとう
奈緒,……もう一口、食べてよ
P,お？わかった。…………ん？中に何か入ってるのか？
奈緒,……
P,……クッキー、か？なんだろ
奈緒,……
P,……！奈緒、これは……！？
奈緒,レ、レッスン行ってくる！！！！！
P,え！？おい、奈緒ーー！。奈緒……。…………あー、ヤバい。顔がニヤける。かわいすぎるだろ……奈緒。……俺も、同じ気持ちなんだけどね。……ホワイトデーは、気合い入れるか
