モバＰ(以降Ｐ表記でも堪忍してや),おお、あの新進気鋭の新ゲームから
ちひろ,ゲーム？何を言ってるんですか最近立ち上げられた芸能事務所でしょう？。生憎とあちらのプロデューサーさんはウチの社畜デューサーさんと入れ替わりの形でついさっき帰ってしまいましたけどね
Ｐ,ハハッ斬新な呼ばれ方。あちらさんの前で言ってませんよね？
ちひろ,あ、お土産頂きましたよ、ほらこれ。お茶入れますから食べません？
Ｐ,おお、これはわざわざご丁寧に…明日にでもお礼に行かないといけませんね
ちひろ,そうですね、お願いしますね
Ｐ,む、鳩サブレ…さては神奈川県民だな
ちひろ,単に所属アイドルの中に個性が鳩って娘でもいるんじゃないですか？
Ｐ,ハッハッハッ、流石にそれはファンタジーすぎるでしょ
ちひろ,犬どころかトナカイもパペットも喋るこの事務所がそれを言いますか。あ、そうそう。あちらの所属アイドルのプロフィールと宣伝写真も頂きましたから見て見ませんか？
Ｐ,挨拶がてらちゃっかり売り込みに来てますね。中々やりおる
ちひろ,はい、暖かいお茶どうぞ
Ｐ,はぁ、暖かいお茶どうも。熱い！
ちひろ,鳩サブレ開けちゃいますねー
Ｐ,ふー、ふーっ
ちひろ,えっと…最初はこのイルミネーションスターズというユニットからですね
Ｐ,略してイネーヨですね
ちひろ,悪意ありません？その略称
Ｐ,んじゃイルミで
ちひろ,キルアの兄貴かよ。イルミネーションスターズ、通称イルミネは３人組のユニットのようですね
Ｐ,まぁ定番っちゃ定番ですもんな
ちひろ,まずはこの娘、えっと…櫻木真乃ちゃん。東京都出身の１６歳。卯月ちゃんみたいですね
Ｐ,この娘はちゃんとハイライトありますけどね。…うわ凄っ、この娘愛梨とスリーサイズ同じですよ
ちひろ,わっ、ほんと。しかも身長は真乃ちゃんの方が低いですし年下ですし…凄いですね
Ｐ,パッと見ポワポワおっとり癒し系って感じですけど見た目通りに行かない闇のようなものをうっすら感じますね
ちひろ,プロフィールと写真だけでそんなの分かるんですか
Ｐ,だってほら、この宣伝写真
ちひろ,…
Ｐ,…
ちひろ,……
Ｐ,…なんでこの娘、鳩かじってるんでしょう？
ちひろ,本当にいましたね…特徴・鳩のアイドル
