橘ありす,おはようございます
宮本フレデリカ,へいらっしゃい！お客さん！どこまで！？
ありす,で、デジャヴ……！？
フレデリカ,みんなおまたせ！タクシーフレデリカが帰ってきたよ！
ありす,みんなって誰なんですか……
フレデリカ,全国86342947人のタクフレファンのことだよー♪
ありす,多いし細かい！
フレデリカ,北は大宮から南は箱根まで！
ありす,狭っ！？その間に8600万人も住んでませんよ！？
フレデリカ,まあまあ♪細かいことはいいじゃんいいじゃん！
ありす,私が諫められてるのは納得いきませんが……
フレデリカ,～♪
ありす,……なんでまたタクシーを始めたんですか？
フレデリカ,ネタ切れ！
ありす,ネタ切れ！？。ならわざわざ何かをしようと思わなくていいじゃないですか！
フレデリカ,それじゃつまんないもん！
ありす,価値観がそもそも合わない
フレデリカ,大丈夫！きっと今日は満足気な表情で事務所を出ることになるよ……！
ありす,どんなメンタルしてたらそんなこと言えるんですか……
フレデリカ,なんとタクシーフレデリカは、前回よりもパワーアップして帰ってきたのだ！
ありす,はあ……。違いがあるようには見えませんが……？
フレデリカ,まず、料金体系！
ありす,前回、一番意味不明だったとこですね
フレデリカ,初乗り運賃を撤廃したよ！
ありす,とうとうタクシーとは言い難いですが
フレデリカ,そもそも儲けることは目的じゃないもん！
ありす,まあ、悪いことではないですけど……
フレデリカ,そして10歩ごとに500円
ありす,金儲けしか考えてないじゃないですか！！！。何がそもそも儲けることは目的じゃないもん！ですか！最低です！！！
フレデリカ,でもクレジットが使えるよ！
ありす,なんのフォローにもなってませんし！
フレデリカ,じゃあやめよっと！
ありす,当然でしょう……
フレデリカ,みんなのありがとうのために身を捧げるよ！
ありす,そのちょくちょく偽善者っぽいのはなんなんですか
フレデリカ,変わったのはそれだけじゃないよ！
ありす,はあ……
フレデリカ,この前までは、目的地をちゃんと言わなきゃダメだったでしょ？フロアとか、部屋の名前とか！
ありす,ああ、そういえば面倒なシステムでしたね
フレデリカ,そこにメスを入れたのです！
ありす,“伝われば言い方はなんでもいい”ってなったんですか？
フレデリカ,ううん！目的地はテレパシーでお願い！
ありす,なんでそう極端な采配をしてしまうんですか！？。面倒くさいだったのが不可能になっちゃいましたよ！
フレデリカ,事務所のみんなの考えもわからないのにアイドルができると思うなー！
ありす,私は目の前のフランス人の考えがもうわからないですもん
フレデリカ,フレちゃんは、ありすちゃんの考えが手に取るようにわかるよ！
ありす,冗談でしょう？
フレデリカ,今は、なんでロボットアニメみたいな歌を歌わなきゃいけないんだ！って思ってるね！
ありす,思ってません！
フレデリカ,WHY！！！346’sPEOPLE！！！
ありす,うるさい！！！
フレデリカ,あとはね！
ありす,危なっ！。うるさっ！！。タクシーどこ行ったんですか！！！！！。はぁ……はぁ……
フレデリカ,なんかお疲れさま！
ありす,他人事のように！？
フレデリカ,じゃ、お客さんを探しに行こ！
ありす,ち、ちょっと待ってください！。というか前回は部屋で待ってたじゃないですか
フレデリカ,甘い！智絵里ちゃんより甘いよ！！
ありす,あの人は激辛中の激辛だと思いますが
フレデリカ,今の世の中、待ってるだけじゃこの業界でやっていけないよ！
ありす,まるで競合他者がいるかのような！？
フレデリカ,あいつもこいつもこの職をただ一つ狙っているんだよ！
ありす,こちとらツッコミ地獄ですよ
フレデリカ,フンフンフフーン♪
ありす,はあ……
フレデリカ,あ！
南条光,あ！２人とも！
ありす,あ、光さんですか、こんにちは
フレデリカ,乗ってく？
ありす,ノリ軽いですね
光,おお！今日はタクシーなんだ！
ありす,その慣れがこっちには異常に感じます……
