事件２,真犯人を探せ
美希,あふぅ…
P,…
雪歩,あの…どうでしょうか？
P,うまい！ここの珈琲は本当にうまいよ！
雪歩,ほ、本当ですか…良かったぁ～…
P,萩原堂の珈琲は素晴らしいよ、他の所じゃこんなに安く美味しい珈琲は飲めないからな
雪歩,そう言ってもらえると嬉しいです
P,それじゃあ今度はお茶でももらおうかな？これもまたうまいから
雪歩,は、はい！すぐ持ってきますね！
P,焦らなくても良いからな～
美希,ハニーがお茶頼むだなんて珍しいの…
P,萩原堂は別に珈琲だけの店ってわけでもないからな、それに雪歩はお茶を頼まれた時の方が嬉しそうだし
美希,ふ～ん…ハニーは雪歩の喜ぶことをしてあげたんだね？
P,そりゃまぁ…あの笑顔はなかなか良いものだしな…って
美希,…
P,待て待て待て待て！つねるなよ！つねるなよ美希！
美希,それはハニーの心がけ次第なの！
雪歩,お待たせしました～
P,良し、お茶が来た！お茶を飲むぞ俺は！
美希,む～っ…
雪歩,あの…もしかして私何かお邪魔を…
P,いや、むしろありがたいぐらいだ！
美希,…
P,痛っ！つねるなっていっただろう！お茶溢れるから！
美希,ハニーが鼻の下伸ばしてるのが悪いの！
雪歩,ところでお二人共、お仕事は良いんですか？律子さんから依頼人を見つけてくるように言われたんじゃ…
P・美希,いいのいいの！
雪歩,えっ…でも…
美希,律子が本当に怒りそうになったら動けばいいの！
雪歩,そういうものなんでしょうか…
美希,そういうものなの！
P,そういつもいつも頭を働かせてられないんだよ、そういうのを律子嬢はわかってないんだ
美希,ホントなの！本当に律子は鬼みたいなんだから
P,おいおい美希…それをあの鬼の前で言ってみろよ、大きい雷落とされるぞ？
美希,それなら鬼じゃなくて雷様なの！
P,おぉ！これは一本取られたな！
律子,…
雪歩,あっ…
美希,なの…
P,ん？どうしたんだ美希、雷様でも見たような顔して！
律子,…
美希,いや…あの…
雪歩,あの…先生…
P,おいおい雪歩まで、どうしたんだ？
律子,…
P,あっ…
律子,…
美希,は、ハニーのおへそが取られちゃうの…
