女提督,以下、提督
霧島,指令はそれがチョコレートであると、100%の確信を持って言えるのですか？
提督,う……ううん？どうみてもチョコでしょ、これ
霧島,そのチョコ……と思われる物体に……なんの疑念も持たないとは、見損ないました
提督,いやいや、さっき金剛がわたしにくれたんだよ！間違いなくチョコだよ！
霧島,指令、こんな言葉をご存知ですか？。人間は万物の尺度である。古代ギリシアの哲学者、プロタゴラスの言葉です
提督,それが何か？
霧島,つまりです……物事の考え方や見方は、人それぞれによって違うのです。ゆえに……
提督,ゆえに……？
霧島,そのチョコ……っぽい物体は、金剛お姉さまにとってはチョコでも、司令にとってはチョコではない可能性があるのです！！！
提督,な……なんだって～！！！
霧島,司令にとって、チョコとはどのようなものでしょうか？
提督,えーーっと……黒くて甘くて、美味しい、かな
霧島,黒くて甘い……餡子とどう違うのですか？
提督,ちょっと苦くて……まろやかで……
霧島,焼け焦げた餡子と、どう違うのですか？
提督,だぁあああああ！！！チョコはチョコだよ！
霧島,かように人の認識というのは曖昧なのです
提督,うーーん……そうかも……。言葉が……
霧島,我知無知……我、無知を知る……古代ギリシアの哲学者、ビリトリス・ヘリンティヌウスの言葉です
提督,ほほう……
霧島,嘘です
提督,
霧島,本当は、ソクラテスの無知の知です
提督,大して変わんないっていう……
霧島,では、本当のチョコとは何か？それを知るためにはどうすればいいか……
提督,うん
霧島,わたしはイギリス経験論でアプローチします
提督,イギ……なに？
霧島,経験を積み重ね、真理に至る、という考え方です
提督,つまり……どういうことだってばよ……
霧島,帰納法という手法を使います。実験や観測を繰り返し、共通事項を見つけ、そこから一般的な法則や規則を導き出すのです
提督,なるほど……わからん……
霧島,見ていて下さい。ここに金剛お姉さま、比叡お姉さま、榛名お姉さまからのチョコ……らしき物体があります
提督,うん
霧島,そして……観測を繰り返します……
提督,う……うん？
霧島,ただし、この……モグモグ……方法は……司令のように……口だけは達者なトーシロには……ムグムグ……無理なのです……
提督,ひどい！
霧島,哲学者ベーコンいわく……四つのイドラに陥らない必要があるのです……モグモグ……
提督,四つのイドラ？
霧島,一つ、洞窟のイドラ。洞窟の中から外を見ると、限られた世界しか見えません。そのように個人の性質、環境、立場からの偏見です
提督,ふむ
霧島,指令のように、視界にクソレズ特有のフィルターがかかっている人間だと、まともに観察できませんね
提督,うぐ！
霧島,二つ、種族のイドラ。人間という種族の感覚や精神からくる錯覚、偏見です
提督,ほう
霧島,指令のように、艦娘をペロペロしすぎてバカになった舌で、まともな観察は……
提督,おほ！
霧島,三つ、市場のイドラ。市場で飛び交う流言飛語のような言葉による誤解、偏見です
提督,うん
霧島,指令のように、渾作戦と褌作戦を取り間違えるような神経では……
提督,くっ！
霧島,四つ、劇場のイドラ。劇場で行われている芝居を本物と信じてしまうように、権威、伝統を信じることからくる偏見です
提督,へえ
霧島,指令のように、まとめwikiを盲信して、ガセレシピに踊らされるようでは……
提督,あﾞあﾞっ！
霧島,ふぅ……整いました
提督,……金剛、比叡、榛名からもらったチョコが全部無くなった……
霧島,これら経験から導き出された結果……チョコとは……
提督,うん……
霧島,黒くて甘くて、美味しいもの、ということです
提督,それさっき、わたしが言ったから！！！
霧島,曖昧な認識での発言と、観測の結果をふまえた発言とでは、似てるようでもまったく意味合いが異なります。ところで……なぜ私がチョコとは何かと言い出したか、わかりますか……？
提督,ひっ……わかりません……
霧島,しょせん、チョコはチョコということです……黒くて甘くて、美味しくて……それ以上のものではないと、知ってほしかったのです
提督,なぜ服を脱いでるの……。つまり……
霧島,いくらチョコを食べても、そこに本人も愛もない……。ならば、直接、指令に愛を感じて頂こうかと……
提督,まさか……
霧島,メイク・ラヴ・ナーーーーーーーウ！！！
提督,やっぱりぃいいいいああああ！！！
図解いちばんやさしい哲学の本,沢辺有二
ベーコンの,イドラ
