アナザーファイズ,あ、あぁ～ッ！
スウォルツ,お前には新しい体験をしてもらう。意見は求めん
アナザーフォーゼ,うぅ……あ、ありがとうございました……
オーラ,はぁ……スウォルツの奴、勝手にアナザーライダー作るんだから……
ウール,あ～あ、どうにかしてスウォルツのアナザーライダーを僕達にも扱いやすい傀儡にしてもらえないかな～。……ん？
スウォルツ,ふっ！はっ！
ウール、オーラ,す、スウォルツが自分の部屋でアナザーウォッチを埋め込む練習をしている！？
スウォルツ,ふぅ……こんなものか……早くオーマジオウに変わる新たな王を擁立せねば……
ウール,スウォルツー！
スウォルツ,！？
オーラ,スウォルツ……ごめん、スウォルツは私達の為にアナザーライダーを産み出す練習をしてたのに、私達はそんな事も知らずに……
ウール,ハフッ！ハフッ！スウォルツの部屋のチョコ美味しい！
スウォルツ,ドサクサに紛れて勝手に食べるな
ウール,ご、ごめんスウォルツ……
スウォルツ,この位は普通だ。それが俺達の使命なのだからな。それに、俺はまだアナザーライダーを一人しか産み出していない
ウール,そ、そんな事ないよ！スウォルツのその気持ちだけでアナザーライダーは産み出せるんだ！。あっ、そ、そうだ！スウォルツ手出して！
スウォルツ,こうか？
ウール,そう！それじゃあ今からアナザーウォッチ作るからね！。これから契約する予定のアナザーライダーを呼ぶからね！ちゃんと受け止めてね！
スウォルツ,？
ウール,ウオーッ！ウィザード！オーズ！鎧武！ゴースト！出すぞ！
スウォルツ,これは……！
ウール,くっ、ふぅ……すっごいいっぱい出たぁーッ！
スウォルツ,しかし、なぜ……
ウール,それはね……スウォルツの気持ちが僕に伝わったからだよ！スウォルツのオーマジオウを倒して都合のいい王を擁立しようという意思がね！
スウォルツ,オーマジオウを、倒す……
ウール,そう！だからアナザーライダーの数なんて二の次だよ！。アナザーライダーの生成は、強いライダーより好きなライダーでやってもらうのが一番なんだよ！
スウォルツ,……少し、練習に付き合ってもらってもいいか？
ウール,もちろん！
ジオウⅡ,ウール！逃げろ！
ウール,えっ？
