①かぐや,そうです！アニメ化です！アニメ化！
かぐや,……
早坂,どうしたんですか？深刻そうな顔をして
かぐや,どうやら会長はアニメのキャラと結婚したいみたいなの……
早坂,……なるほど
かぐや,ま、まさか会長がそんな性癖を持ってるなんて
早坂,そういえば会長は桃缶という漫画が読めるミドジャン！アプリを携帯にダウンロードしていましたね
かぐや,そうなの！しかも最新話が１話４０円で読めるみたいで……
早坂,入れてて良かったミドジャンアプリ！というやつですね
かぐや,……
早坂,……
かぐや,まぁ、今週号のヤンジャンのネタは置いておいて、話を戻しましょう
早坂,そうですね
かぐや,それでどうやって会長を現実に戻したらいいのかしら……
早坂,うーん
かぐや,……やはり、アニメではなく現実の魅力を教えるしか……
早坂,アニメ……。そうです！アニメですよ！かぐや様！
かぐや,え？どういう…………ま、まさか
早坂,はい
かぐや,四宮家の力を使って、私達の話をアニメにさせるという事ね
早坂,そうです。四宮家の力でアニメを死滅………………え？
かぐや,ふふっ。これで会長はアニメの私に恋焦がれて……。という事になるでしょう！！
早坂,……本当にそんな事になったら気持ち悪いと思いますが
かぐや,そうです！アニメの最後は結婚までさせましょう！原作崩壊？大丈夫です。原作がすぐに追いつきます！
早坂,わかりました。では、そのように手配を。アニメで結婚までやってモデルが私達でしたー。と、会長にバレたらドン引きされる気が……
かぐや,～♪
早坂,まぁ、かぐや様が嬉しそうですし。バレないように頑張りますか……。あっ、かぐや様
かぐや,どうかしました？
早坂,アニメ化おめでとうございます
②かぐや,彼氏ができました大嘘
早坂,……え？
かぐや,前回、私がラブレターを貰った時に会長はかなり同様していました
早坂,会長がかぐや様の為に必死になってくれたせいで、かぐや様は嬉しくて嬉しくて、ベッドの上でオットセイみたいにのたうち回っていた日の事ですね
かぐや,そんな事していません！それはあなたの勘違いです！
早坂,そうですね。私の勘違いだったら嬉しいなー
かぐや,話を戻します！！！そこで今回彼氏ができたと言えば！。会長は私を取り返す為に、告白するに決まっています！
早坂,……。うーん、あの会長なら普通に諦めるのでは……。そもそもなぜかぐや様はこんな考えを……。……。ま、まさか！。先日、お姫様が悪い奴と政略結婚させられそうになった所を、白馬に乗った王子様が助けに来てくれるという漫画を読んだせいで！？
かぐや,ふふっ。明日が楽しみね
早坂,乙女みたいに目をキラキラ輝かせて……
かぐや,あら？暗い顔をしてどうかしたの？
早坂,実は黙っていたのですが、会長さんに彼女が出来ました
かぐや,へ？何を言っているの？私と会長はまだ付き合っていませんよ
早坂,なぜかぐや様が彼女なんですか？もちろん、別の女性の方とですよ
かぐや,……え？
早坂,というのは嘘です
かぐや,……へ？
早坂,どう思いました？
かぐや,確かにあなたは冗談が好きですが、さすがに今回のは行き過ぎです！正直見損ないました
早坂,かぐや様は同じことを会長さんにしようとしていたのですよ？
かぐや,……ぁ
早坂,かぐや様が恋人ができましたと会長に言ったとして。もし、会長さんがかぐや様を諦めたらどうするんですか？。もし、会長さんに嘘がバレたら……その後、どうなると思います？私は見損なわれると思いますよ
かぐや,……。そうね。私が間違っていました
早坂,わかってくれましたか
かぐや,じゃあ、許嫁ならどうかしら？そうだわ。早坂が男装して許嫁になってくれれば！。四宮家なら許嫁くらい不思議ではないし。そこで会長と私が漫画のような運命的な駆け落ちを－－－－
早坂,うわぁ
③伊井野,
伊井野,いらいらいらいら
かぐや,伊井野さんイライラしてどうしたんですか？
伊井野,いえ、イライラしていません。いらいら
かぐや,いえ、どう見てもイライラしています。まったく困ったことがあったら相談してください。あなたは私の可愛い後輩なんだから
伊井野,じゃあ、言わせてもらいますけど
かぐや,はい？
伊井野,四宮副会長はなんで会長の膝の上に座っているんですか！？
かぐや,え？ここに座れば会長は私しか見えなくなるでしょう？
伊井野,あああああああああああああああああああああああーーーー！！イライラするーーーー！！
白銀,い、伊井野？一体どうしたんだ？
かぐや,大丈夫よ、伊井野さん。アニメではきっと登場すると思いますよ
伊井野,そんな心配してません！！！というか登場しなくても別にいいです！
かぐや,え？そうなんですか？
伊井野,はい。どうせ２期とかやるだろうし、その時に登場すればいいです
かぐや,それは残念です。私はとても楽しみにしているのに
伊井野,はぁ？そうなんですか？
かぐや,会長のカッコいいボイスを録画できるのが楽しみで楽しみで
伊井野,きいいいいいいいいいいいいいいいいいいいいい！！
白銀,ちょっと待て！それは聞き捨てならんな！
かぐや,か、会長？
伊井野,そうです。会長も言ってやってください
白銀,俺は四宮の可愛らしくコロコロ変わる表情も楽しみにしている
かぐや,か、会長//
伊井野,聞いてねええええんだよおおおおおお！
石上,伊井野。ちょっと待った
伊井野,い、石上？
石上,これ以上キャラ崩壊すると苦情が来そうだから、一言言わせてもらうけど
伊井野,言わなくていい。石上は黙って
石上,あっ……はい
伊井野,って、ちょっと見てない間になんで手を握ってるんですか！
かぐや,知らないんですか？会長の手はとっても優しい感じがするんです
白銀,俺は四宮の手を握っているだけで安心する
かぐや,会長……//
白銀,四宮……//
伊井野,二人だけの世界に入らないでーーーーー！！！
藤原,話は聞かせてもらいました！
伊井野,藤原先輩！？
藤原,ミコちゃん！ここは私に任せて！
伊井野,天使！
藤原,会長！私知ってるんですよ！
白銀,え？俺が四宮を好きすぎて困っている事か？
かぐや,なっ//
藤原,違います！会長が浮気している事です！
伊井野,……クズめ
かぐや,ふっ、何を言うかと思えば、会長が浮気？会長は常に私とべったり。そんな事ありません
藤原,昨日の１７：３０。会長が何をしていたか？知ってますか？
白銀,！！
かぐや,何を言っているの？昨日は私の家の夕食に生徒会のメンバーを招待したじゃない。もちろん会長も一緒でしたし、いつ浮気を？
石上,ま、まさか！
藤原,さすが石上くん！気づいたようですね！
石上,藤原先輩が鼻血出して止まらなかった時の事ですよね！
藤原,違うーーー！鼻血は出したけど、違うの！
かぐや,鼻血……ま、まさか！
藤原,そうです！会長はハーサカ君と二人っきりで会っていたんです！
白銀,なっ！
伊井野,そういえば、会長はトイレで席を立った事があったような
かぐや,ふぅ。何を言うかと思えば。会長はハーサカと知り合い。少し話をした程度でしょう
藤原,そうです。少し話をしていましたよ。俺と今度買い物に行こうぜって
かぐや,……え？
白銀,ち、違うんだ！これは！
藤原,まったく……犯人はみんな同じことを言いますよね
伊井野,先輩。鼻血が……。私のハンカチ使ってください
藤原,ミコちゃん。ありがとう。でも、これで事件解決だね♪
伊井野,さすが藤原先輩です。頼りになります！
石上,いや、解決してないから！この女のせいで面倒な事になっただけだから！
かぐや,どういう事ですか？
白銀,いや、これは……その……
かぐや,会長？勘違いしないでください。私は寛容です。束縛したりしません。……ですが、言いましたよね？私と恋人になった時に、他の女と……他の人と、生徒会のメンバーだろうが二人っきりになるのは禁止と
石上,そ、それは寛容じゃないような……。というか相手が男だろうが二人っきり禁止とか……
伊井野,こ、怖い
白銀,いや、それはだな……
藤原,ふぅ。かぐやさんいけません。男は浮気する生き物……むぐぐ
伊井野,石上！？なんで藤原先輩を押さえつけてるの！？というか先輩に触らないで！
石上,これ以上面倒な事にしたらダメだろ！
藤原,むぐぐ
かぐや,会長？それはなんですか？
白銀,ほら、今度の土曜日って俺達が付き合って３ヶ月だろ
かぐや,……あっ、ま、まさか
白銀,それでサプライズプレゼントを贈りたくてな……。そこで四宮の好みに詳しいハーサカに手伝ってもらおうと思ったんだが。いや悪かった。やっぱりこういうのは一人で選ばないとダメだよな
かぐや,はぁ……。もちろんダメです
白銀,……そうだな。すまん
かぐや,本当に悪いと思っていますか？
白銀,ああ、思ってる。本当にすまん
かぐや,じゃあ、今度の土曜日に一緒にお買い物に行きましょう
白銀,え？
かぐや,記念日の品なんですよ。二人で選んだお揃いの物がいいに決まってるじゃないですか
白銀,四宮……
藤原,ぐすぐす。いい話ですすねー
伊井野,さすが藤原先輩です！
石上,ふぅ……。………………。……………………。この女、なんも解決してねーーーーー！！！！！！！！
④かぐや,かぐや脳内裁判
かぐや,氷。いや、それは……その……。氷。ちょ、ちょっと待って、そもそも私達で争いをするのは間違っているわ。幼。裁判長！。幼。アホ。もうあなたしかいないの！お願い助けて！。アホ。何か思いついたの！？。アホ。いやーーーーー！！！。というかなんで会長のパンツを取ったくらいで死刑になるのよ！。氷。アホ。じゃあ、言わせてもらいますが！。氷。あなた、私が会長のパンツを楽しんだ後、出てきたわよね！。氷。本当はあなたも楽しんでたんでしょう！ええ、そうに決まってます。氷。アホ。氷。え？は、歯ブラシ……。へ、変態。氷。アホ。氷。アホ。なっ//。氷。アホ。なああああああああああああああああああああああああ//。氷。幼。幼。で、でも……。幼。ど、どうしましょう。幼。結論がおかしい！。氷。そうじゃなくて！。アホ。氷。アホ。氷。アホ。あーーーーもうっ！私どうすればーーーー！！！
⑤かぐや,会長を照れさせたい
かぐや,会長はたぶん私の事を好きだと思う。ですが最近思う事があります。その好きは恋愛感情の好きなのかしら？。もしかして、私に向けている好きは親愛としての好きなんじゃ……。そう、会長が藤原さんに向けている信頼と同じような。……。男性が恋をするのは、多少遊んでて隙があってノリが良い女子。私と逆のタイプ。頼りになる女子や、真面目な女子は恋愛対象にならないと聞いた事が……。……。もし私が仮にもし本当にもし告白したとして－－－－
白銀,いや……勘違いしないでくれ
かぐや,え？
白銀,四宮の事は好きだが、それは友達としての好きで……。四宮は真面目で頼りになる副会長だと思うが、恋愛対象としては見た事がないんだ
かぐや,あーーーーーーー！！！！！
早坂,
かぐや,確かめる必要があります！
早坂,はい？
かぐや,会長のお気持ちを！
早坂,え？
白銀,……ふむ
かぐや,会長と生徒会室で二人っきり……。さあ、手を触れて会長の反応を楽しむとしましょう。きっと私を好きな会長は慌てふためくことでしょう
白銀,……
かぐや,……。ま、まぁ、今まで手ぐらい何度か触れ合ってますし、今更な気もするけれど……
白銀,……
かぐや,……。…………。………………。手って、どうやって触れるの！？。簡単にボディタッチって言うけれど、何かイベントがないと難易度が高すぎる！。……。そうだわ！前みたいに手のマッサージを！。会長。また手のマッサージをしてあげましょうか？
白銀,へ！？あっ、いや、今日は疲れてないし。その……遠慮しておく
