山内元気,４６
スタッフ,カーット！OK！
城山武,リーダー
山内,あーあ、宮城県で農業なんて正直だりぃよ。この番組飽きた
松川,何言ってんだよ元気。鉄腕ガッツの番組あっての東京ボーイズだろうが
城山,そうだぞ。俺たちはこの番組で農業アイドルやってるから、好感度で飯が食えてるんだ
国谷,元気なんて、鉄腕ガッツの肉体労働担当がなかったら、性格最悪のクズだからなー
山内,チッ。ウイ～ッ、ヒック……。どいつもこいつも……
キャバ嬢A,山内さん大丈夫？
山内,うるせぇなぁ、てめぇに俺の気持ちなんか分かってたまるかよ！
キャバ嬢B,今日の山内さん、機嫌が悪いね
キャバ嬢C,嫌な予感がするなぁ……。彼、前に他の店で暴れたことがあるし……
山内,あぁ、何か言ったか？ヒソヒソと俺の悪口を言いやがって……
キャバ嬢C,ひぃ……
山内は,てめぇ！
喪黒,痛いですなぁ……。男のくせに、レディに手を挙げるのはもっての他ですぞ
山内とキャバ嬢たち,だ、大丈夫ですか！？
喪黒は,大丈夫じゃありません……
山内,ほ、本当にすみません！119番を呼びますか？
喪黒は背広からケチャップを取り出し、,なーんちゃって！おでこの血の正体はこれ！
キャバ嬢たち,ああ、びっくりしたぁ！！
山内,おっさん！あんた、いたずらが過ぎるぞ！！
喪黒,ホーッホッホッホ、でも先に手を出したのはあなたの方でしょ
山内,うう……
喪黒,おかげで、気まずい雰囲気になりましたなぁ
BAR,魔の巣
喪黒,自己紹介が遅れました。私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
山内,ココロのスキマ、お埋めします……だと！？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
山内,人生相談か、カウンセラーみたいなものか？
喪黒,まぁ、それに近いかもしれませんなぁ
山内,いや、そんなことは……
喪黒,だから酒に溺れ、キャバクラで従業員を殴ろうとした
山内,どうして、それを！？
喪黒,あなたの顔に書いてありますよ
山内,俺は10代のころからずうっと芸能活動をやってきたんだ
喪黒,で、今に至る……と？
山内,ああ。俺は普通の人生を送り、普通の人並みの青春を味わい、普通の大人として生きたかった
喪黒,その結果、いろいろなことが積もり積もってあなたはパンク寸前……
山内,そうなんだよ
喪黒,甘えたいという気持ちの裏返しが、女性に対する暴力になって表われているのです
山内,ご名答だね。ここじゃ言えないようなひどいことをたくさんしてきた。時には犯罪っぽいことも
喪黒,でも、その犯罪っぽいことをしても、今までは事務所がもみ消してくれたのでしょう
山内,その通り。うちの事務所は政財界や警察に顔が利くから
喪黒,ですが山内さん……。あなたはもう心身とも限界に見えますよ
山内,何だとぉ！？
喪黒,例えば、いきなり車が多く走っている車道に飛び込んでいくとか！！
山内,そ、そうだよ！！そうなんだよ！！この間、俺はそれをやらかしてみんなに呆れられたんだよ！
喪黒,ホーッホッホッホ、私はだてに長年人間を観察してませんよ
山内,喪黒さん、俺はいったいどうすりゃいいんだ……！？
喪黒,もう一度10代に戻って、普通の人並みの青春時代を送ることができればいいのですがねぇ……
山内,とはいえ、10代に戻れるわけないからなぁ……
喪黒,大丈夫です！10代に戻れなくても、青春は取り返せます！
山内,青春を取り返す、ねぇ……。でも俺は遊びはこれでもかとやってきたから、遊びにも飽きてるんだよなぁ
喪黒,だったら私があなたに気合を入れてみましょう。山内さんの名前のように、元気づけをするのです
山内,ハハ、面白い奴だなあ
喪黒は山内に向かって右手の人差し指を差し出し、,さぁ、私の手をよーく見ててください
喪黒,ドーーーーーーーーン！！！
山内,うわああああああああ！！！
若手アイドルたち,山内先輩、おはようございます！
山内,おう！お前ら頑張れよ！
城山,いよぅ、元気！マリーさんがお呼びだ！
山内,副社長が？一体俺に何の話があるんだ？
マリー,元気、新しい仕事が入ったわよ
山内,俺に？
マリー,実はね、あなたは養育テレビの新番組の司会者になることが決まったの
山内,養育テレビ……JBCか。国営放送じゃねぇか。大学も出ていない俺が教養番組の司会者だなんて……
マリー,心配いらないわ。番組の共演者たちはアイドルの卵の女子高生ばかりよ
BAR,魔の巣
山内,……というわけなんです
喪黒,まさにあなたにぴったりの仕事ですよ、山内さん
山内,は、はあ……
喪黒,10代が興味を持った話題を番組で扱い、その上、共演者のメンバーは女子高生たち
山内,そ、そうですか……
喪黒,まさに、グッドタイミングでしたなぁ、山内さん
山内,い、いやぁ……
ネットニュース,養育テレビの新番組青春実現プロジェクトRが好評
女性週刊誌,東京ボーイズ山内、養育テレビ教養番組の司会で新境地
国営放送局,JBC
スタッフ,お疲れさまでした！
女子高生たち,山内さんって、思ったよりも親しみが持てるね
山内,いやぁ～
宮城県での,鉄腕ガッツ
城山,元気の奴、変わったな
松川,ああ
国谷,前より明るくなったし、ロケも熱心にこなしてる
長岡,何かいいことでもあったのかなぁ？
BAR,魔の巣
山内,喪黒さん。最高の気分ですよ！あの番組の司会者を引き受けてから、毎日が楽しいですよ！
喪黒,それはよかったですなぁ
山内,あの番組で女の子たちと接していると、気持ちまで若返りそうです！
喪黒,そうそう、その調子。心に若さと明るさを持つことが何よりです
山内,いやぁ、まるで10代の青春のころに戻ったような気分だ！！
