・隔日更新,２月２日から更新予定
P,すまない。狭くないか？
摩美々,大丈夫ですよー。プロデューサーが守ってくれてますしー
P,それなら良かった。……けど昼前に混むのはちょっと予想外だ。これなら電車より車のほうがよかったかな
摩美々,ふふー。プロデューサー、今私に壁ドンしてますもんねー
P,いや、その……許してくれ
摩美々,どうしましょうかー？
P,あーえっと、その、だな
摩美々,冗談ですよー。プロデューサー、本気にしちゃったんですかぁ？
P,……反応に困るからやめてくれ
摩美々,ふふー。困ってるプロデューサーの顔、おもしろいですー
P,お前なぁ……
摩美々,それはそれとして、別に悪くないですからー。私はいい気分ですよー？
P,お、おう？
摩美々,……この状況、嫌じゃないって言ってるんです
P,え、っと。とりあえず、ちょっと腕の位置かえるから、右によってくれ
摩美々,はぁい
P,あ
摩美々,
P,……
摩美々,……。大声、だしたらどうなりますかねー？
P,本当にゴメンナサイ！
摩美々,えー？でもー、プロデューサー、今痴漢になりましたよねー？
P,なんでもする！なんでもするから！許してくれ！
摩美々,ん？今なんでもするっていいましたねー？
P,あっはい
摩美々,じゃあー
――,イタズラじゃないですよー？
