兵頭蟻彦,４５
テロップ,東京都、西多摩市――
夕方。西多摩駅と周辺の市街地。さらに、街の郊外のコンビニ,フランクリーマート
テロップ,兵頭蟻彦４５
若松,温めますか？
OL,結構です
コンビニ弁当をレジ袋の中に入れる若松。兵頭,おい、箸はどうした？
OL,ちょっとぉー、早くしてよぉー！
兵頭,すみません……。何しろ、こいつ新人ですから……
OLの客が去った後、喪黒福造がレジの前に現れる。兵頭,いらっしゃいませ
千原,あの新人店員、使いものになるとは思えんのだがなぁ……
兵頭,みんな、驚くなよ。面接の時に履歴書を見て知ったんだが……
朝倉,へー、若松君って意外と高学歴なんですね
千原,勉強だけできて、社会で使い物にならない奴って……。見ているだけでイラッとするんですよ。俺……
兵頭,千原、お前がそれを言うな。高卒で、40代になってもコンビニバイトのお前は社会の負け組だろうが……
ズオン,まあまあ……。若松サンも彼なりに頑張っていマスから……
夜。コンビニ,フランクリーマート
兵頭,フラから君のしょうゆ味、いかがでしょうかー！
女性店員,いかがでしょうかー！
テロップ,毒島蛇男５０
毒島,あの新人店員のミスで、客からクレームが入ったぞ
兵頭,申し訳ありません……。彼を何とか教育しているんですが……
毒島,ここのところ、店の収益が思わしくないようだな……
兵頭,すみません……。私なりに一生懸命やっているんですが……。いらっしゃいませーー！！。どうした、朝倉さん……
朝倉,実は私、今月いっぱいでここを辞めようと思ってるんです……
兵頭,そうか……。確か、君は日ごろから……。小学校の教師になりたいと言っていたよな
真理,お父さん、また虎ノ門44の音楽聴いてるの？いい年して、アイドルソング聴くなんてキモい
妻,あなたが家にいると、真理が嫌がるのよ。この子も難しい年頃なんだから――
テロップ,東京、秋葉原――
カフェ,大正浪漫喫茶
喪黒,やぁ、兵頭さん
兵頭,あ、あなた……。どうして私の名前を知ってるんですか！？
喪黒,私はこの間、あなたの店のコンビニで週刊誌を買ったんですよ
兵頭,そ、そうですか……。記憶力がいいんですね、あなた……
喪黒,私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
兵頭,ココロのスキマ、お埋めします？
喪黒,実はですね……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
兵頭,は、はあ……
喪黒,見たところ、兵頭さんの心にもスキマがおありのはずです。何なら、相談に乗りましょうか？
BAR,魔の巣
兵頭,私の実家は、地元で代々酒屋を経営していました。ですが、小さな商店が次々と衰退したのに伴い……
喪黒,では、あなたのお父様はコンビニ店長だったのですね？
兵頭,はい。コンビニ店長として激務が続いた父は、ある日、脳梗塞で命を落としました
喪黒,それはお気の毒ですなぁ……
兵頭,当時30代だった私は会社を辞め、父の家業を引き継ぐこととなりました
喪黒,そうした経緯があって、今に至っているのですね？
兵頭,そうです
喪黒,コンビニ店長のお仕事はきついでしょう！？
兵頭,ええ。そりゃあ、もう……。一般人の想像を絶するきつさですよ
喪黒,大変ですなぁ……
兵頭,店の経営がきついのに、本店に売上金の送金をしなきゃいけないんですよ！
喪黒,そんな中で店のかじ取りをするのは、さぞかし苦しいでしょう
兵頭,もちろんですよ。しかも、人と人とを相手にする上でも非常にストレスがたまります
喪黒,お客様からのクレームとか、店員たちの管理とか……
兵頭,あなたのおっしゃる通りです。コンビニの客というものは……
喪黒,コンビニが便利すぎる証拠なのでしょうなぁ
兵頭,そうですよ。それと、店員たちの相手をするのもいろいろ気苦労があります
喪黒,人間は皆、十人十色ですから……
兵頭,はい。でも、周りにいる店員たちは、ことごとくアレ……。しかも、有能な店員に限ってすぐに退職するし……
喪黒,もしかすると、兵頭さんはオーナーと不仲なのですね？
兵頭,ええ、そうですよ。オーナーはことあるごとに私をいびり、会うたびに何かと悪口雑言を浴びせてくるんです
喪黒,要するに……。今、問題になっているパワハラでしょう
兵頭,世間の人が見たら、そう言うでしょうね……。店の中では、私は全く休まる場がありません
喪黒,記憶をなくす前！？あなたのお母様は今、どうなっているのです？
