モバＰ(以下Ｐ),2人ともおつかれ。握手会でここまで押すとは思わなんだ
茜,すみません！手を握っていたら盛り上がっちゃいまして！
飛鳥,まさか隣で腕相撲が始まるとは思わなかったよ
茜,いやぁ熱い勝負でした！
Ｐ,ファンはあれで喜んでたからまぁ結果オーライか
飛鳥,それで済ませてしまう辺り、キミも大物だね
Ｐ,そりゃ飛鳥がアームレスリング始めたら驚きはするがな
飛鳥,心配しなくとも、そんなセカイは存在しないさ
Ｐ,アイドルも十人十色の個性があるんだ。多少は型破りなことをするくらいでむしろ丁度いいのかも、と
茜,なんだかよくわかりませんが褒められてるんでしょうか？
Ｐ,茜はああしたのは、ファンと通じ合った結果なんだろ？ならそれは間違いじゃないさ
茜,ありがとうございます！次も熱い試合にしてみせますね！！
飛鳥,次もやるつもりなのかい、まったく……いや、ボクからは口を出さないでおくよ
Ｐ,そういえば2人とも弁当食べてなかったな
飛鳥,握手会は至近距離で会話するからね、口臭は気にするさ
茜,かわりにお茶をたくさん飲みました！エチケットです！
飛鳥,ボクも水とのど飴くらいかな
Ｐ,じゃあ腹減ったろ、帰りにどこかで食べていこう。何かリクエストあるか？
茜,カレーはどうでしょうか！
Ｐ,ふむ、カレーか。飛鳥は？
飛鳥,ボクは何でも構わないよ
Ｐ,そんじゃ決定だな。荷物まとめて車乗るぞー
茜,私が右側をチェックしますから、飛鳥ちゃんは左側をお願いします！プロデューサー、窓開けていいですか？
Ｐ,構わんが、空調暑かったか？
茜,いえ、カレーのにおいがするかもしれませんから！五感で探しますよー！
飛鳥,犬か何かかい……む、あれは
茜,もう見つけたんですか！飛鳥ちゃん鼻いいんですねー！！
飛鳥,いや、嗅覚で見つけたわけじゃないよ……ほら、信号の先を見てごらん
Ｐ,あれはココイチか
飛鳥,そういえば、ココイチは愛知県に本社があったね
茜,そうだったんですか！
Ｐ,んー確かにカレーだが、東京でも何度も食べたしなぁ
茜,では別のお店にしますか？
飛鳥,待ってくれ、あの看板……プロデューサー、地域特有の食ならあの店はいいと思うよ
Ｐ,あのココイチが？
飛鳥,それは正確ではないね。その下の看板さ
茜,パスタ・デ・ココ？あんかけスパゲッティと書いてありますけど？
飛鳥,そう、壱番屋グループで名古屋発祥のあんかけスパ専門店さ
Ｐ,あんかけスパとは初耳だな
飛鳥,所謂、名古屋飯のひとつだよ。たしか選べるソースにカレーソースもあった気がするが、どうだろうか
Ｐ,俺はちょっと興味ある。茜は？
茜,私もいいですよ！パスタッ・デッ・ココッ！！声に出して読みたい店名ですね！
Ｐ,じゃあ入ってみるか
P,店は分かれてるが、ココイチとは同じ駐車場だったんだな。だから上下の看板か
茜,すでにスパイシーな香りがムンッムンしてますよ！余計にお腹が空きますね！
飛鳥,あぁ、早速中に入ろうか
P,初体験だから俺もわくわくしてる
茜,いいですねー！では行きましょう！
店員,いらっしゃいませ。何名様ですか？
Ｐ,3人です
店員,ではお好きなテーブル席へどうぞ
飛鳥,奥のテーブルが空いてるね
Ｐ,時間でいうとおやつ時だからな。スムーズで助かる
茜,プロデューサーはいつも奥の奥側に座りますね
飛鳥,ボクらが出入り口に背を向けるようにして座るようしてるんだろう？
Ｐ,さり気なくやってるつもりだったがバレてたか
飛鳥,心配のいらない個室などでは、キミは常に下座に座るからね。この時だけは上座に座るから理解り易いよ
茜,そうだったんですか！全く気付かなかったです！
飛鳥,……キミのような人も一定数いるだろうがね
Ｐ,別に知らなくてもいいことだけどな。そんなことより注文しよう、メニュー開くぞ
茜,種類がいっぱいありますねー！ソースの種類と辛さ、あとサイズも決められるみたいです！
Ｐ,トッピングも豊富だな。ここらへんはココイチと同じシステムか
茜,ココイチといえばカツやフライ系ですね！
Ｐ,一皿に直接乗るのか、カレーはともかくパスタに合うのか？
飛鳥,ふっ、あんかけスパ初心者にありがちな発言だね
茜,なるほど！それはつまり……わかりません！！どういうことでしょう？
飛鳥,フライはカレーソースとの相性はもちろん、ベーシックなあんかけソースにもよく合うのさ
Ｐ,そもそも、あんかけスパゲッティとはどんな料理なんだ？
飛鳥,そうだね、まずはその説明が必要かな。特徴としては極太の麺を炒めて粘度の高いソースをかけた料理、とでも表現しようか。ソースはトマトベースだが胡椒をたっぷり利かせたスパイシーな味付けさ
Ｐ,具材はどんなものがあるんだ？
飛鳥,ベーシックなのはウィンナー、玉ねぎ、ピーマン辺りかな。あとはメニューを見ながら説明しよう
Ｐ,んー大体は写真通りの名前だが、よくわからないのもいくつかあるなぁ
茜,バイキングにミカラン？何故この名前なんでしょう？
飛鳥,肉系のトッピングをミラネーゼ野菜系のトッピングをカントリーと呼ぶことが多く、両方トッピングは頭文字を組み合わせてミラカンとなるようだね
茜,先ほど飛鳥ちゃんが言ってたウィンナー、玉ねぎ、ピーマンはミラカンなんですね！
飛鳥,その通り。ちなみにバイキングは魚介類のフライをトッピングしたものさ
Ｐ,今回の飛鳥も絶好調だなぁ
店員,ご注文お決まりですか？
飛鳥,ミカランをあんかけソース、辛さはマイルドで
茜,ほうれん草のカレーソースをお願いします！
Ｐ,バイキングのあんかけをマイルドスパイシーでひとつ
店員,サイズはどうされますか？
茜,普通のMサイズでいいです！
飛鳥,ボクはSで
Ｐ,じゃあバイキングはLサイズで。あとすべてドリンクセットでお願いします
店員,セットのドリンクはどうされますか？
Ｐ,ホットコーヒーを2つと
茜,私はウーロン茶にします！
店員,ドリンクはいつお持ちいたしますか？
Ｐ,コーヒーは食後でいいよな？
飛鳥,あぁ、そのつもりだけど
茜,ではウーロン茶だけご飯と一緒でいいです！
店員,かしこまりました。少々お待ちください
Ｐ,飛鳥はSサイズでよかったのか？
茜,たくさん食べないと大きくなれませんよ！
飛鳥,ボクはそこまで大食らいじゃないんでね。サイズ表をご覧よ
Ｐ,基本のMサイズで300ｇか。女の子にしてはちょっと多いくらいかもな
飛鳥,元来あんかけスパはボリュームがあるし味付けも濃いから、どちらかというと男性向けといった方が正しいさ
茜,私はこれくらいペロリです！
Ｐ,茜は代謝よさそうだもんなぁ
茜,摂取カロリーよりも消費カロリーが多ければ絶対に太りません！簡単ですね！
飛鳥,至極単純な理論だが、それが難しいんだよ
茜,ならここから走って帰りましょうか！！
Ｐ,名古屋から東京なら国道沿いで380kmくらいだな
茜,時速380kmで走れば1時間で着きますね！！
飛鳥,キミは新幹線か何かかい？
店員,お待たせしました、ミカランあんかけマイルドでSサイズです
Ｐ,ほい、飛鳥
飛鳥,あぁ、ありがとう
店員,ほうれん草のカレーソースとバイキングのあんかけソースLサイズ、あとウーロン茶です
茜,ありがとうございます！
店員,ホットコーヒーは食後にお出しします。ごゆっくりどうぞ
茜,くんくん……スパイシーないいにおいですねー！
Ｐ,麺ほんとに太いなぁ
飛鳥,この太さがソースとの相性を決めるのさ
Ｐ,ほう、では早速……
P,ンむ……これは、もっちり弾力のある麺にとろみのある濃厚ソースがしっかり絡んで……美味いじゃないか
飛鳥,ふふ、気に入ってもらえたようで何よりだよ
P,油っぽさとスパイスの利いた味の濃さが何とも言えんな。男性人気もうなずける
飛鳥,これはパスタ料理というよりあんかけスパという別のセカイと云えるだろうね
P,二郎系ラーメンは二郎系というジャンル、みたいなもんか。確かに方向性は若干似てる気がしなくもない
茜,カレーソースも美味しいですよ！プロデューサーもどうぞ！
Ｐ,サンキュー、じゃあ俺のと交換して……おぉ、こっちも麺と合うなぁ。カレーパスタって普通にありだわ
茜,あんかけソースはパンチが利いた味ですね！白いご飯が欲しくなります！！
飛鳥,炭水化物の暴力だね
茜,そして味の濃い目のものを食べると……ッハー！お茶が美味しいです！
Ｐ,良い飲みっぷりだ。見ていて気持ちがいい
茜,ありがとうございます！飲みっぷりを褒められたのは初めてです！
Ｐ,茜なら飲料系のCMもいけそうだな……スポーツドリンクか……または青春系で……
飛鳥,食事の瞬間くらい仕事から離れたらどうだい？
茜,ほうれん草もカレーソースによく合いますね！
飛鳥,ミカランの赤ウィンナーもまた美味だね
P,白身魚のフライはカレー屋のココイチでもおなじみの味だな
飛鳥,同じ系列店だから当然とも云えるが、まぁ安定はしてるのが良いことさ
茜,カレーハウスって個人店だと味も全然違いますからね
P,チェーン店だからこそ、ハズレはないわなぁ
飛鳥,あんかけスパも店によって濃さがだいぶ違うから、そういった意味でもパスタデココは初めてでも食べやすい味付けだと云えるね
茜,ご馳走様でした！美味しかったー！
飛鳥,プロデューサー、大丈夫かい？
P,味の濃さと思ったより量が多くてな……だが完食したぞ
