難波笑美,……は？ボケとツッコミのツッコミ？なんで？
まゆ,笑美さんがバラエティ番組で鋭いツッコミを見せていたのがとってもかっこよくて。私もそういうの出来るようになりたいんです！
笑美,かっこいい言うてくれるんは嬉しいけど……得意分野ってあるやん？。ウチはバラエティ系、まゆはんは歌とか撮影系……。無理してツッコミ覚えなくてもええ思うけど
まゆ,でも出来ないより出来る方が良いですよね？
笑美,それは、まあ……。じゃあ適当にボケていくから、良い感じにツッコんでな？。そんで気付いたこととかあればアドバイスするから
まゆ,はいっ
笑美,いやー、まゆはん久しぶりやな～
まゆ,な、なんでやねんっ！
笑美,違う。……違う。今のはボケるための前フリやから、ツッコまなくてええの
まゆ,あっ、ごめんなさい！
笑美,おかしな事言ったらツッコむ。それ以外は適当に相槌うつ。ね？
まゆ,はい
笑美,じゃあもう一回。まゆはん久しぶりやな～
まゆ,本当ですねー
笑美,かれこれ60分ぶりやん
まゆ,えっ、60分って……久しぶりと言うほどでしょうか
笑美,だから！ここでツッコむ！たった一時間やないかーい！とか！
まゆ,ああー、なるほど！
笑美,もうやめて良いかな
まゆ,そんな！もうちょっとお願いします！
笑美,だって絶対向いてないわ。どー考えてもボケやもん
まゆ,次から頑張りますから
笑美,頑張ってなんとかなるんかなぁ……。まあ、もうちょっと続けてみよか。またボケるから
まゆ,はい
笑美,いやー満腹満腹。もうしばらくなすの揚げ浸しは見たくないわー
まゆ,そんなにたくさん食べたんですか？
笑美,あー、えっと
まゆ,？
笑美,……うん。今のはちょっと難しかったかもしれんな。なすの揚げ浸しって、そもそも大量に食べるもんやないやろ？
まゆ,ええ
笑美,そういうツッコミをして欲しかった。こっちも分かりやすくボケなあかんな……。んーと、えーと。よし、次はすごく分かりやすいボケをするから。多分まゆはんも一回くらいは聞いたことがあるやつ。ボケたらすかさずツッコんでな。良い？
まゆ,はいっ
笑美,じゃあいくでー。いやー、夏は暑いな～！
まゆ,……？
笑美,間違えた……！！
まゆ,……あの、笑美さん。今の、どこがボケだったのか分からないんですが
笑美,…………。あ……あはは。甘い。甘いでー、まゆはん。分かりやすいボケをすると言って何もボケなかった。それ自体がボケなんや！
まゆ,あっ……！
笑美,予想外のボケにも素早く対応せな。何もボケてないやん！とか
まゆ,そ、そうですね……全く思い当たりませんでした。てっきり暑は夏いを言い間違えたのかと
笑美,バレてる！。……ウチがとちったのはともかく。厳しいこと言うようやけど、やっぱりまゆはんにツッコミは向いてないと思うわ
まゆ,そんな……
笑美,やっぱり長所を伸ばすほうが……
まゆ,……っ
笑美,ええっ、ちょ、泣くほど！？。そんなにツッコミやりたかったん？
まゆ,まゆは……少しでもいろんなことが出来るようになって。プロデューサーさんに褒めて欲しくて……
笑美,褒めてもらうんやったら、ツッコミやなくてもええんちゃう？
まゆ,そうですけど……何が良いかなって探してたときに。笑美さんの出演番組を見て、これだって思って
笑美,そ、そうかー。……そんなに気に入られたんやったら、教えないわけにはいかんなぁ
まゆ,良いんですか？
笑美,まゆはんの気の済むまで教えたる。せやからほら、笑うて。まゆはんに泣き顔は似合わんよ？
まゆ,笑美さぁん……っ
笑美,おわあああ、めっちゃ良い匂いするぅぅぅ！。これは男だったら絶対イチコロや……。あー、よしよし。そもそも、まゆはんに鋭いツッコミは合わんと思う。普段からおっとりしてるし。そこで考えたんやけど、ノリツッコミならまゆはんにも出来るんやないやろか
まゆ,そう……ですね。素早くツッコむよりは向いているかもしれません
笑美,最初は話しを合わせるだけやしな。早速やってみよか。なー、まゆはん。この前のライブめっちゃ良かったなぁ。まさか冷凍マグロを小脇に抱えて踊るとは思わんかったわ
まゆ,えっ！？
笑美,ノッて！ファイト！
まゆ,あっ、ええと……そ、そうですね。本当は生が良かったんですけど、やっぱり傷みやすいですからね。でもライブが終わった頃にはほどよく解凍できていたので。刺し身にしてみんなで食べたんですよぉ。それで……
笑美,そこでツッコむ！
まゆ,って、そんなことしてませんよぉ！
笑美,…………まあまあ！
まゆ,まあまあ、ですか。はぁ～緊張しました
笑美,言葉詰まったのが惜しかったかな～。詰まったらすかさずツッコんでええよ。あんまり長くノッてもダレるから
まゆ,はいっ
笑美,ちょっと休憩しようか。喉乾いたわ。なんか買ってくるけど、まゆはんは？
まゆ,じゃあミネラルウォーターを
笑美,おっけー。ちょっと待っててな。ほい、お待たせ
まゆ,ありが……！？。えっ、あの……私、ミネラルウォーターって言いましたよね……？
笑美,もー、まゆはん。ここでノリツッコミやん。ツッコミを覚えたいなら、いついかなるときでもボケに目を光らせんとなぁ
まゆ,なるほど……けわしい道のりですね……
笑美,もうやめる？
まゆ,いえ、途中で投げ出したくありません。これからもお願いします
笑美,まゆはんは努力家やなぁ……ちょーっと努力の方向が間違ってる気もするけど。じゃあ改めて。はい、ミネラルウォーター
まゆ,ありがとうございます、笑美さん。ごくごく……ふぅー、このシュワシュワが乾いた喉に染み渡りますねぇ。ってこれ炭酸水じゃないですか！
笑美,上手い！今のはバッチリやったで！
まゆ,まさか二重に仕込んでるとは思いませんでしたよぉ
笑美,あはは。今のは流れがあったからノリツッコミしやすかったやろ。となると、あとは不意打ちのボケに対して、一瞬固まるのをなんとかすれば一人前やな
まゆ,不意打ち、ですか……でもどうやって練習すれば？
笑美,うーん……事務所のみんなに話して、まゆはんの前でボケてもらおうか。知り合いなら多少ツッコミしやすいやろ？ウチから頼んどくから
みく,レッスン一緒になるの久し振りだにゃー
まゆ,そうですねぇ、前回はライブのときでしたっけ
みく,良かったらお昼一緒に食べない？
まゆ,ええ、良いですよ。どこかおすすめの所あります？
みく,おすすめってほどでもないけど、ポイント貯めてるところがあるんだにゃ。そこで良い？
まゆ,はい
みく,じゃあお昼は回転寿司に決定にゃー
