読んでいない人用の設定紹介,これだけ読んどけば問題ないです
凛,あ、ポケモンやってる
卯月,たまたまテレビをつけたら、これが映ったんです
凛,サトシってさ、そろそろポケモンマスターになれそうなの？
卯月,うーん、どうなんでしょう。たまに見る限りだと、そういう雰囲気ではなさそうかな……
凛,昔はサトシのほうが私より年上だったのに、気づいたらだいぶお姉さんになっちゃったなあ
卯月,時の流れだねー
凛,何年経ってもずっと10歳のままって、どんな感じなんだろう
卯月,そうですねえ。なぜか他人事ではないような気がするけど……
未央,できたー！
凛,どうしたの？急に大声出して
未央,ついにできた！私のポケモンパーティー！。正直初めての厳選はいろいろ面倒だったけど、達成感はあるよ
卯月,この前からずっと育ててたもんね
凛,よくわかんないけど、おめでとう
つかさ,厳選っていうのは、同じポケモンの卵を何匹もかえして、その中でバトル向きの個体を探し当てる作業のこと。人だろうがポケモンだろうが、なんにでも向き不向きってのがあるわけ。適材適所に割り振るのも社長……もとい、トレーナーの仕事ってこと。昔は厳選ってマジツレぇ作業だったらしいけど、最新作ではかなりやりやすい仕様になってる。つか余裕っしょ、一部除いて。知り合いに誘われてポケモン始めるんなら、まずそいつから厳選用のメタモンをもらうのがおススメ、賢い選択。厳選については以上。こんな感じでアタシらが随時補足を加えていくんで、OK？。ま、正直ネットで調べた方が早いっていうか？
未央,よーし、では早速師匠に勝負を挑むぞー
凛,師匠って、確か飛鳥のことだったっけ
卯月,未央ちゃん、いろいろと飛鳥ちゃんから教わってたみたいだし
未央,その通り！今日こそ弟子が師匠を越える日になる予感がするよ
飛鳥,おはよう
蘭子,煩わしい太陽ねおはようございます
卯月,おはようございます！飛鳥ちゃん、蘭子ちゃん
凛,おはよう
未央,おはよう、そして勝負だあすあす！
飛鳥,勝負？3DSを差し出しているところを見るに……ポケモンかい？
未央,ついにパーティーが完成したから、すぐにでも対戦したくてしょうがないんだよね
飛鳥,なるほど。事情はわかったが……。あいにくボクはゲームを持ってきていない
未央,ありゃりゃ
凛,そりゃあ、毎日持ってきてるとは限らないよね
卯月,事前に対戦の約束をしていれば別ですけど
飛鳥,でも、未央さんに対戦相手を紹介することはできるよ
未央,え、誰？
飛鳥,それは、ボクの隣にいる――
蘭子,ククク……我がしもべ達の次なる戦場が決まったようね
未央,あ、ひょっとしてらんらん？
飛鳥,彼女もちょうど新しい構築が完成したところだそうだ。相手には適任だと思うけど
凛,お互いに試運転ってことだね
未央,よーし、そうと決まれば勝負だ、らんらん！
卯月,私、ソリッドビジョンシステムの準備してきますね
蘭子,漆黒の闇の中、儚くも美しい使い魔達の宴が幕を開ける……。さあ、闇の遊戯ゲーム
未央,なんか遊戯王みたいだね。せっかくだし、負けた方は罰ゲームとかいっちゃう？
蘭子,え？ば、罰ゲーム？
未央,て言っても、ほんとに軽いやつだけどね。ジュースおごるとかさ
蘭子,ま、まあそのくらいなら
未央,うん！じゃあお互いに罰ゲームの内容は考えとこう
飛鳥,さて、ではボクは未央さんのサポートにまわろうか
蘭子,なっ！？我が友よ、私を裏切るのか！
飛鳥,キミのほうが対戦経験は多いんだ。仕方ないだろう。それにサポートといっても、基礎知識についてフォローするだけさ。最終的に何を選ぶかは、もちろん未央さん本人に託す
蘭子,うぅ……AIBO……
飛鳥,遊戯王引っ張るね
未央,じゃあよろしく！アスカラル！
飛鳥,あなたも遊戯王引っ張るね
未央,さて、早速見せ合いだね。あれ、らんらんのパーティー、もしかして
飛鳥,6体すべて悪タイプ。いわゆる悪統一パーティーというやつだね
未央,同じタイプで固めたら、苦手なタイプが偏っちゃうんじゃないの？
飛鳥,その通り。けど、なにも効率化がバトルのすべてじゃない。悪タイプが好きなら、彼らだけで戦ってみようと考えるのは別段不思議じゃないだろう？
未央,むむ、確かに
小梅,統一パーティー……6匹のポケモンに、何か共通点を持たせたパーティー……。タイプ統一とか……色統一とか、たくさん……あるよ。私？私は、やっぱり……ゴースト統一かな。この前、蘭子ちゃんにすすめたんだけど……怖いって言われちゃった……
蘭子,むう。未央ちゃん、初心者だって言ってたけど、結構強いポケモンが多いなぁ。メガシンカしそうなのは、リザードンとルカリオ……もしかすると、両方メガストーン持ちかも
凛,どう？勝てそう？
卯月,私達は蘭子ちゃんの応援です♪
蘭子,フフ、汝ら女神の加護を受け、使い魔達がはばたく時！応援があれば、ポケモン達もやる気出してくれそう！
光,ポケモンXYから登場した、ポケモンの新しい進化だ！。バトル中だけ進化して、終わったらもとに戻る。だから、進化というより変身かも。メガシンカできるポケモンは決まっていて、それぞれ専用のメガストーンがある。フシギバナなら、フシギバナイトっていうアイテムがあるんだ。メガストーンを持たせてバトルすると、好きなタイミングでメガシンカできるようになるぞ。メガシンカの力はすごい！能力大幅パワーアップだ！。な、ガルーラ！
未央,ゲッコウガかあ。確か、出す技のタイプになれるとくせいを持ってるんだっけ
飛鳥,あぁ。それにより、すべての技をタイプ一致で撃つことができる。こうげきととくこうもそこそこ高いから、優秀なアタッカーだ
未央,タイプ一致の技は威力が1.5倍になるんだよね。全部の技がそうなるって強いなあ
ヘレン,とくせいとは、ポケモンのそれぞれが持つ特殊能力のようなもの。うまく活用することで、バトルを有利に運ぶことができるわ。アイドルの持つ特技のようなものね。たとえば、［ワールドイズマイン］ヘレンの特技は。THE・世界レベルよ！よーく覚えておきなさい
あやめ,しのびポケモン、ゲッコウガの紹介です！。水タイプと悪タイプの両方を持っています……が、注目すべきはそのとくせい。その名も、へんげんじざい！ニンッ。なんとゲッコウガは、撃つ技のタイプと同じタイプになることができるんです。れいとうビームを撃つ時は氷タイプになったりするわけですね。しのびポケモンとだけあって素早さも高いです。まさに忍者のお供にふさわしいポケモンです、ニンニン！。わたくしももちろんゲッコウガを……あれ。わたくしのゲッコウガ、へんげんじざいじゃないっ！？
裕子,ポケモンには能力を表す6つのステータスがあります。HP、こうげき、ぼうぎょ、とくこう、とくぼう、すばやさ。ほとんど文字通りの意味ですけど、とくこうととくぼうだけわかりにくいですかね。それぞれ特殊攻撃と特殊防御の略です。とびひざげりなどの物理攻撃は、こうげきとぼうぎょのステータスを参照してダメージが決まります。ねんりきなどの特殊攻撃は、とくこうととくぼうのステータスを参照してダメージが決まります。つまりエスパーアイドルであるこのユッコは、とくこうのステータスが高いというワケです！。……ツッコむところじゃないですからね！
蘭子,最弱より昇りし龍……ヌメルゴンかあ
凛,強いの？
卯月,一応、ドラゴンタイプみたいだけど
蘭子,私のゲッコウガは物理型。弱点を突けるれいとうビームは覚えているけど、ヌメルゴンを一撃で倒すのは無理。ここはとんぼがえりでダメージを与えつつ、だっしゅつボタン持ちのブラッキーに交代しよう
物理ゲッコウガはガルーラに有効打,けたぐり
幸子,ヌメルゴンはドラゴンポケモンの中でもカワイイタイプのポケモンです。でも、カワイイ見た目によらず能力はとても高いです。まるでこのボクみたいですね！。とくぼうはかなり高いので、特殊攻撃では弱点をついても一撃では倒せないことが多いです。攻撃力はそこそこですけど、いろんなタイプの技を覚えるので攻めるのも結構得意ですよ！。すばやさは平均的なので、もちろんゲッコウガよりは遅いです。普通なら、ですけど
蘭子,うそっ！？
卯月,一撃ですかー
凛,見た目的にゲッコウガの方が速そうだったのにね
蘭子,ま、まさかスカーフだなんて……油断してた
未央,よしっ！奇襲成功！
飛鳥,スカーフヌメルゴンか。なかなか珍しい型を使うね
未央,意表をつくことの大切さは、この前あすあすのアブソルが教えてくれたからね
飛鳥,なるほど。ヌメルゴンが先鋒で出てきた時点で、一応スカーフは疑うべきだけど……蘭子、油断していたかな
晴,こだわりスカーフはアイテムのひとつで、ポケモンに持たせるとすばやさが1.5倍になるんだぜ。ま、そのかわりに交代するまで同じ技しか出せなくなるんだけどな。ヌメルゴンみたいな平均的なすばやさのポケモンでも、トップクラスに速いポケモンの先手をとれるようになるから奇襲に使える。現実にもあったら便利かもな。こだわりスカーフ。サッカーはいろんな技を使わないとだめだから、スカーフじゃあ活躍できないだろうけどな！
未央,らんらんの2体目はマニューラかあ。この子も確か素早かったよね？
飛鳥,種族値はゲッコウガより上だね。スカーフヌメルゴンなら先手はとれるけど
未央,でも、かみなりじゃ一発で倒せないだろうし。向こうは氷タイプでこうげきも高いから、逆にこっちが一発で倒されちゃう。ここは交代かな
飛鳥,無難な選択だね。それゆえに、読まれるリスクがあるけれど
未央,あ
飛鳥,出落ち、だね
未央,な、なんでらんらん格闘タイプの技撃ってきたの！？私がルカリオ出すってわかってたの！？
飛鳥,ルカリオは格闘タイプで悪タイプに強いから、まず間違いなく控えにいると踏んだんだろうね。同じ技しか出せないゆえに、交代を読まれやすいのがスカーフの難点だ
未央,あう～……しかも急所に当たってルカリオ倒されちゃったし
飛鳥,急所に当たらなくても、次のこおりのつぶてで落ちていたかもしれないが……流れが変わるかもしれないね
みく,マニューラは悪タイプと氷タイプの両方をもったポケモンだにゃ。多分猫要素入ってるからみくが紹介するね。こうげきとすばやさが高くてぼうぎょととくぼうが低い、簡単に言えば特攻上等のアタッカーだにゃ。本当に耐久が低いから、予想外の攻撃で一撃死することも多いと思うよ。でもドラゴンポケモンには相性がいいから、うまく使えば強いポケモンだにゃ！。みくのねこパーティーにももちろん入ってるよ！。あ、ついでにきゅうしょにあたった！についても説明しておくね。急所に当たると、ダメージが1.5倍になってしまうにゃ。いろんな計算が狂うから要注意にゃ。急所に当たるかどうかは完全に運だから、どうしようもない時もあるにゃ
晶葉,通称3値と呼ばれる3つの値について説明しよう。ポケモンバトルについてよく知らない人も、名称だけはどこかで聞いたことがあるんじゃないだろうか。まず種族値だが、これはポケモンの種類ごとに設定されている各ステータスの強さだ。たとえば、カイリキーはこうげきの種族値が高い。ユンゲラーはとくこうの種族値が高い。こんな感じだ。種族ごとの特徴を表したものだと考えればわかりやすいな。次に個体値。これはポケモンの個体ひとつひとつによって異なるステータスだ。私達人間も、種族は同じだが能力には差があるだろう？。勉強が得意な人間もいれば、運動が得意な人間もいる。はたまた両方できる人、両方できない人もいる。ポケモンも同じ。こうげきが高いリザードンがいれば、すばやさが高いリザードンもいるというわけだ。理想の個体値のポケモンを探す作業が、コラム①で説明した厳選だ。最後に努力値。これはどの能力を伸ばす訓練を行ったかの指標だ。人間と同じように、ポケモンも経験を積むことで能力に個性が出てくる。すばやさにたくさん努力値を振ることによって、より素早いポケモンになるんだ。ただし、1体のポケモンに振ることのできる努力値の総量は決まっているから、どこにどう振るかが育成の鍵になってくるぞ。以上で3値に関する説明は終わりだ。なに、私でたとえろ？そうだな……私は頭脳の個体値がすこぶる高い。残りのステータスは……努力値を振ることでカバーしよう
蘭子,ハーッハッハ！これぞ我が僕の闇の爪ダークネス・クロウ
卯月,すごいです！未央ちゃんのルカリオを一撃で倒しちゃいました
凛,けたぐりって蹴り技だから手の爪関係なくない？
蘭子,よ、よかったあ。今の読みが外れてたらほぼ負けが決まってたかも……
卯月,やっぱりヌメルゴンってかわいいよね
凛,触るとべとべとしてそうだけどね
卯月,でも、一度でいいので抱きついてみたいです
蘭子,ヌメルゴンはスカーフだから、マニューラも先手をとられるのは間違いない。でも……
マニューラはきあいのタスキでもちこたえた！,マニューラのHP：1
未央,あちゃー。タスキかもって思ってたらタスキだった
飛鳥,ゲッコウガがタスキでなかった以上、その可能性は十分あったからね
