光の勇者(以下、勇者),地の四天王、心当たりは無いか？
地の四天王な美少女(以下、地女),おっと、その呼び方はやめて貰おうか
勇者,良いから座れ
地女,今は、地の四天王――改め！
大地の魔女,以下、地女
地女,ふはは！ちゃん付けでも構わんぞ！
勇者,座れって言ってんだろ！？
地女,宿屋であまり大声を出すな……よいしょっと
勇者,……ベッドの上でぺたんこ座りすんな
地女,むう、何故だ？
勇者,……唇を尖らせるのはやめろ
地女,あれも駄目、これも駄目……。勇者よ！お前はリーダーではあるが、母親では無いぞ！
勇者,だったら、一々言わせるんじゃねえってんだ！
地女,まあ、お前の話とやらの心当たりはある
勇者,まあ、そうだろうな！
地女,いずれは話し合わねばならんと思っていたぞ
勇者,……むしろ、遅い位だっての
地女,確かに……もっと早く話すべきだったな。――攻撃魔法で先制してからの戦術と連携を
勇者,そんな感じでお前が馴染みすぎだって話だよ！！
地女,何を言っている？旅の仲間ならば、当然だろう？
勇者,違うだろ！？お前は、四天王の一人だろ！？
地女,何！？まだ、仲間と認めていないのか！？
勇者,当たり前だろうが！
地女,ならば、どうしたら認めてくれるのだ！？。……まあ、お前に認められなくても居座るがな～
勇者,ベッドの上で転がるんじゃねえええええ！！
地女,まあ、落ち着け勇者よ
勇者,お前のその落ち着きが腹立つんだよ
地女,せっかく良い宿を取ったのだ、しっかり休息をとるべきだろう
勇者,……っていうか、なんでお前と同じ部屋なんだよ
地女,今の財布事情を考えたら、二部屋が限度。部屋割りに不満があるのなら、今から代わるか？
勇者,……いや、良い。本来は男のお前と……
地女,祝福の聖女、剣の乙女を同室にするのはまずいだろうな
勇者,……おかげで、俺があの二人に変な目で見られた
地女,うむ、それはそうだろう。光の勇者とは言え、お前は男だ。……ふっ、まさかあの二人に心配される日が来るとは
勇者,満更でもなさそうに微笑んでんじゃねえよ。……っていうか、いつの間にあの二人と仲良くなったんだ
地女,祝福の聖女は、恐らく相談に乗ったからだろうな
勇者,相談？
地女,うむ！。お前の――光の勇者の倒し方の相談だ！。まあ、倒し方というか……倒され方というかな？
勇者,……待て待て待て待て！！。お前、あの子に何を教えた！？
地女,祝福の聖女が信仰する女神教には、十の戒律というものがある
勇者,……いきなり何だよ
地女,悲しいかな……愛を司るとは言え、所詮は女神。女神教の、十の戒律なぞ、大して役に立たん！。俺の、男をオトす10のテクニックの方が男のツボを抑えているのだ！
勇者,そりゃあ、お前は男だからな！。変なこと吹き込んでたら、ぶっとばすぞ！？
地女,何を言う！俺は、女の味方だ！
勇者,お前程の女の敵は見たことねえよ！
地女,ええい、ならば見せてやろう！。この、左の頬にかかった髪をかきあげる時にな――。――こう、左手でなく……右手で、クロスさせるように。……どうだ！色っぽさ、二割増だろう！
勇者,滅茶苦茶小技じゃねえか！！
地女,確かに、大技や大魔法も局面を決める上で重要だな
勇者,そういうのは教えてないだろうな！？
地女,馬鹿者が！何を言っている、光の勇者よ！
勇者,っ！？
地女,ここぞと言う時こそ、勇者であるお前の役目だろう！。その腰に下げた聖剣は、ただの飾りか！？
勇者,……くそっ！一瞬でも気圧された自分に腹が立つ！
地女,まあ、そんな訳で聖女の味方になったのだ
勇者,……道理で、最近
地女,おっ？グッと来たか？ん？んんっ？
勇者,……うるせえよ
地女,はっはっは！光の勇者よ！。足掻いても無駄だと言っておこうか！はっはっは！
勇者,足の裏で拍子とってんじゃねえ！！
地女,それで、剣の乙女とはだな
勇者,……何があったんだよ
地女,うむ
勇者,……
地女,それが、まるでわからんのだ。一緒に飲みに行ったような……行ってないような？
勇者,……おい……おい、お前！？。お前、おい……まさか！？
地女,女の体だと、酒に弱くてなぁ
勇者,男の方でも弱いじゃねえか！
地女,……あまり言ってくれるな、光の勇者よ。地の四天王は――四天王の中でも最弱。……分かっていても、言われる方は複雑なのだ
勇者,お前、酒向いてねえぞ！？
地女,では……光の勇者――いや、リーダー！
勇者,……絶対に断る
地女,お前は敵だが、頼りにしているぞ！
勇者,ダブルスタンダードも大概にしろよ！？
地女,酔って、剣の乙女とヤっちゃったかどうか。こう……さりげな～く聞いといてくれ、な？
勇者,どういう聞き方だ！？。どう転んだって、さりげなくならねえぞ！？
地女,……まあ！そんな感じで交流を深めたのだ！
勇者,かつてない程の危機がパーティーを襲っている……！
地女,案ずるな、光の勇者よ
勇者,……あん？
地女,もし、剣の乙女とヤっちゃっていたら……。お前も、聖女とヤっちゃえばバランスが良くなる
勇者,お前、本当いい加減にしろよ！？。……だが、悔しいことにお前が居ると楽だ
地女,うむ、こちらも戦い方に幅が出来、強くなった
勇者,……危ない場面も、助けられたな
地女,仲間を助けるのは、当然だろう。――だが、忘れるなよ……光の勇者。大地の魔女の正体は――地の四天王。決して、頼れるだけの偉大な魔法使いでは無い。男同士の様に気楽で、いやらしい話も出来る美少女では無いのだ
勇者,とりあえず、ベッドの上で菓子を食うのをやめろ
地女,――お、お願いだっ！お願いだ、勇者！
勇者,ええい、うるさい！
地女,頼む！乱暴にしないでくれ！
勇者,だったら、大人しくしてろ！
地女,！？こっ、拘束魔法！？。くっ……！か、解除出来ん！
勇者,当たり前だろう！。お前をどこへも行かせるかよ！
地女,そんな……何故だ！？
勇者,お前が誘ってきたからだ――
祝福の聖女,以下、聖女
剣の乙女,以下、乙女
勇者,……。待ってくれ！！二人は誤解してる！！。コイツが、酒を飲みに行こうと――
地女,せっ……聖剣なんぞには、決して負けぬ……！
聖女・乙女,さ――最低！！
勇者,俺の話を聞いてくれえええええ！！
