モバP,ごめんって。現場で偉いさんとの話や手続きが長引いてさ……
七海,ぶーっ！
P,哲学かな？
七海,…………。……ちょっと待って欲しいのれす。気のせいかもしれないのれすけど
P,うん？
七海,……少し先に進んだら、ラッコやらイルカやら、他にも面白いものがいっぱい居る……まるで既に見てきたかのような物言いなのれす……
P,へ？
七海,気のせいれすよね？あくまで一般論れすよねー？
P,いや、既に見てきたっていうか……俺、以前ここに来たことあるからさ
七海,！！
P,うん？
七海,…………
P,七海？七海ー？どうしたー？
七海,……うー！
P,うおっ！？
七海,ふん……！
P,ちょ、どうした。急にうずくまったりして……
七海,…………
P,七海？
七海,…………
P,う……。動かないつもりか……
七海,…………
P,う～ん……
七海,…………。…………。…………。…………？。……あれ？Ｐ？。…………。Ｐ……Ｐ！。もしかして……。Ｐっ！
佐城雪美,……あっ
森久保乃々,……まずいですね……Ｐさんがこっちに向かって来ます
芽衣子,えっ！？
雪美,ものかげに……隠れて……
芽衣子,Ｐさん何で順路を逆走？
雪美,……いいから……
乃々,隠れて下さい
芽衣子,わっ！？
雪美,…………
乃々,…………
芽衣子,…………
乃々,Ｐさん、一人で出入り口の方に向かって行っちゃいましたね……
芽衣子,どうしたんだろう……
雪美,七海……置き去り……
乃々,喧嘩でしょうか？
芽衣子,えっ！？そ、それ、マズくない？
乃々,２人の仲が進展するのを恐れて、こんな遠方まで追跡してきた人の言葉とは思えないんですけど……
雪美,……すとーかー……
乃々,…………。……もりくぼの事はさて置き、七海さんが心配ですね……
芽衣子,さて置かれたっ！ずるっ！
雪美,七海……寂しそう……。……魚達……泣いてる……
乃々,あっ
芽衣子,うん？
雪美,Ｐが……戻って来た……
七海,Ｐ！どこに……どこに行ったのれ…
P,どうした？
七海,ひぃっ！？普通に居たのれす！？
P,いやまぁ、少し離れてはいたが……
七海,や、やっぱりれすか……
P,？
七海,やっぱり……七海がワガママを言ったから……
P,…………。……ん。七海、ちゃんと立って……気をつけ！
七海,……はい……れす
P,動くなよ～
七海,ひゃっ！？
P,ほい。装着っと
七海,う？何か髪が少し重いのれす？
P,あ。付けちゃったら見えないか。ちょっと写真とるな……と、こんなんだ
七海,……わぁ。髪飾り！イルカの髪飾りなのれす！。…………
P,……？
七海,……もしかして今居なくなってたのはこれを買いに行ってたのれすか？。…………。…………
P,……？
七海,…………
P,……七海？七海さん？
七海,……ふぇ
P,えっ！？
七海,ふぇぇぇぇぇぇ……
P,なんでっ！？なんで急にっ！？
七海,ひぃぃぃぃぃん……
P,ごめん！ごめんなさい！でもなぜぇ！？
七海,びぃぃぃぃぃ……
芽衣子,うわぁ……
乃々,色んなニュアンスを含んだうわぁ……ですね……
雪美,Ｐ……七海……泣かせた……
芽衣子,……うん
雪美,……けど……ちょっと……羨ましい……
芽衣子,……うん
乃々,…………
雪美,…………
芽衣子,あっ！
乃々,？。……順路はほぼ一本道なので大丈夫だと思うんですけど……。あと……
芽衣子,うん？
乃々,……ぱかぱかーん。Ｐさんレーダー！(わさび声)
芽衣子,なにそれっ！その……時計？。ちょっと！一息にツッコミどこを複数用意するのやめない！？追いつかない！。追い討ちやめて！
乃々,レーダーの内部空間半分以上は、重さのリアリティを追求して、ただの鉛の塊が敷き詰められているそうです
芽衣子,無駄なこだわり！やり口がクレーンゲームの景品みたいだっ！
雪美,なくさないように……芽衣子の……スカートに……括りつけておく？
芽衣子,間違いなくズレ落ちるからやめて！
七海,最近お魚を食べてなかったのれ、お魚分が不足していたれす～。とりあえず買ってもらったこれで補給するのれす
P,それソフトクリームなんだが、それでお魚分が補給できるのか？
七海,お魚っぽい見た目なのれ！
P,い、いや、食い物としての一般論というかなんというか……
七海,んー。冷たくて、んまーい、のれす！
P,あ、美味しいんだ。……なら俺も買えば良かったかな？
七海,七海を毒味役にしたのれすか！
P,いや、そもそも七海は公式設定的に毒無効化特性持ちだから毒味役には向かな…
七海,黙るのれす！うりゃ！
P,ふごっ！？
七海,……ね？甘くて美味しいのれす～。Ｐ？
P,お、おう。顔まわりべっちゃべちゃだけど美味いな。意外と。うん
七海,れすよね～！くふふ
P,…………
七海,む
P,まぁ、昔来た時は修学旅行だったから、どの道、こんな所には入れなかったがな……
七海,……へ？
P,ん？どした？
七海,あ、い、いえ……
P,人聞き悪っ！？プロデューサー的には否定し切れないけど、もうちょっと言い方考えよう？
七海,今日は……七海がいるのれガマンするれす！
P,落としに掛かってないよ！？
七海,身の危険を感じたのれす～。たらし、たらし、たらし男なのれす～。この後泊まる予定の部屋は何かの手違いで一部屋しかとれてないわけれすね～。分かります。どうれすかね～？
P,ちくしょう。振り回されっぱなしだなー。完全に掌の上って感じだ……。まぁ、いいや。さっさと食べちゃえ。溶けてきてるぞ
七海,はーい。食べ終わったら少し経路戻って見直していいれすか～？
P,おう。誰かさんが泣いてちゃんと見れなかったからな。その方がいいだろう
七海,……ぐぬぬ。誰のせいだと思って……
P,溶けてる溶けてる。手が青色でベッタベタ！
芽衣子,あ。Ｐさん達、出てきた
雪美,……七海……笑ってる……
芽衣子,良かった。仲直りできたみたいだね
雪美,…………
乃々,……さて。では喫茶店に入りましょうか……
芽衣子,えっ？Ｐさん達もう出てきたんだし、私達が入る必要なくない？
乃々,……なくなくないです
雪美,……こばら……すいた……
乃々,ウドン食べたいんですけど
芽衣子,そんな理由！？いや、置いてかれちゃうよ？
雪美,……レーダーあるから……平気
乃々,後からでもすぐ追いつけるんですけど
芽衣子,う、うーん？
雪美,メニュー……ととかまドッグ……かまぼこ……お魚のかたち……
芽衣子,えっ！何それ何それ。気になるっ
乃々,…………
雪美,かわいい……美味しそう……
乃々,……芽衣子さんが生き生きし始めたんですけど……
雪美,……これ、くーださい……
芽衣子,私は何にしよっかなー♪
乃々,オススメに、ちんあなごドッグっていうのがあるんですけど……
芽衣子,なんか卑猥っ！？
雪美,？
乃々,あ……ウ、ウドンが……ウドンがないんですけどっ……！
芽衣子,そこまでショック？
七海,おさかなさかなさかな～♪
P,…………
七海,魚をたべ～ると～♪
P,……水族館の水槽前でやめないか？その歌。そだな
七海,…………
P,…………。そうだな
七海,…………
P,…………
七海,……聞いてます～？。むー。何かさっきから時計ばかり見てる気がするのれす～
P,そ、そんなことないぞ。ないない
七海,ほんとれすかね～？
P,本当だって……ただ俺は……あれ？
七海,どうかしたのれすか～？
P,…………。あー、いや。ほら、あの円柱状の水槽……
七海,んー？あれは……マンボウの水槽れすね！Ｐはマンボウが好きなのれ…
P,あそこの前に座り込んでる制服着た中学生くらいの女の子が……
七海,せい！
P,ごはっ！？
七海,水族館で女の子ウォッチングとはいい度胸、良いご身分れすね～！。なにが違うんれすかね～？少し前に忠告はしたはずなのれすけど～？。…………。…………
P,だろ？体調でも悪いのかなー？と。気になったんだよ
七海,……制服の無防備な後ろ姿に惹かれたとか～
P,ないよ！？
七海,Ｐ的にちょうど食べ頃の～
P,それももういいから！。きみ、大丈夫？ちょっといいかな？
女の子,はい？
P,…………
女の子,…………
P,きみ、名前は？アイドルに興味はないかい？
七海,せいっ！
P,ぐはっ！？
七海,だーかーらー！！
P,げほっ。さーせん。すいまっせん！つい……つい、職業病が！。新しい世界に飛び込
氏家むつみ,はい。学校の行事の一環できてるんですけど……この子達が……なんか凄く気になっちゃって……
七海,マンボウ、可愛いれすよね～♪なかなか見る目があるのれす！
むつみ,それもあるんですけど……こう……何も考えないでぷかぷかと……生きていけて……幸せそうだな……と
七海,…………
むつみ,つ、つがっ！？
P,こひゅー…！こひゅー…っ！
七海,さぁ、問題もないようなのれ、さっさと次に行くのれすよ。Ｐ！
P,…………！
むつみ,…………。…………。…………。……アイドル？新しい世界？。…………
乃々,ラムネこりこり……ソーダの風味がくーる&すぃーてぃーなんですけど……
芽衣子,ひと口、貰っていい？
乃々,か、かかか間接キス狙いですかっ？
芽衣子,違うよっ！？
雪美,乃々と芽衣子……ちゅー？
芽衣子,違うって！
乃々,身の危険を感じたんですけど……
芽衣子,もうっ！
乃々,無理やりっ？
雪美,……強引
芽衣子,ふん！好きに言うがいいわっ……あっ、美味しいっ！
雪美,乃々……私も……
乃々,どうぞ
芽衣子,素直っ！私の時と態度が違う！
乃々,……雪美ちゃんに下心はないので
芽衣子,私にもないよ！乃々ちゃん的に私はどう見えてるのっ！
乃々,多少からかっても許してくれる優しくてキレイなお姉さん……？
芽衣子,お、怒りにくいっ……！
雪美,……あまーい……
むつみ,私もそれにすれば良かったかなー
乃々・雪美,！？
芽衣子,うん？お隣……学生さん？
むつみ,あ。すみません。急に……。むつみって言います
乃々・雪美,…………
むつみ,えっ？……いいんですか？そこのお二人が……
乃々,うぐぅ……
雪美,…………
芽衣子,バレたっ！？
乃々,そりゃバレるんですけど
雪美,……本名……堂々……
むつみ,じゃあ他のお二人も……
乃々,もりくぼは田中と申します
芽衣子,偽名！？一人称っ！
雪美,……佐城は鈴木と申します
芽衣子,真似しないっ！
むつみ,はー。皆さんアイドルさんですか……
乃々,バレました……！
芽衣子,隠す気なかったよね？人のこと言えないけど！
むつみ,今日はアイドル……というか芸能関係の方にご縁がありますね
芽衣子,うん？
乃々,……他にも会ったんですか？
むつみ,さっきスーツを着た男の人に勧誘されました
乃々・芽衣子・雪美,……あっ
むつみ,？。けど、アイドルかー。皆さん凄いですねー……。えっ？……うーん
乃々,…………
むつみ,興味がないって言ったら嘘になりますが……ウチは父が厳しいので、難しいかなぁ……
芽衣子,なるほどー、未成年だもんねー
むつみ,アイドル……芸能界……未知の世界……まるで冒険みたいで、面白そうですよねー……
芽衣子,…………。……むー
雪美,……？
むつみ,けど、これからも皆さんをお見掛けしたら陰ながら応援してr…
芽衣子,本を読むのが好きなんだ！むつみちゃん！
むつみ,えっ！？あ、はい。はぁ……。は、はぁ？。…………
乃々,……？
芽衣子,で！今もむつみちゃんは何か本を読んでいるのかな？
むつみ,へ？え、ええ。映画にもなった冒険小説を……。まだ映画の方は観てないんですが……
芽衣子,うんうん。そっかそっか！
雪美,……？
芽衣子,それ、面白い？
むつみ,えっと……。バスの中で読んでるのでまだ途中ですが……面白いですよ？
芽衣子,なら断言しよう！今日ここで冒険せずに終えたら……アイドルになるチャンスを逃したら、むつみちゃん、その本を読み返す度に後悔することになるよ！
むつみ,！？
芽衣子,本は旅の栞！その本を読む度に、今回気になる世界に飛び込むチャンスをふいにした事を思い出し、後悔することになるのだ！
乃々,のだっ！って……まさかの脅迫なんですけどっ！？
むつみ,……！！
雪美,……芽衣子……Ｐに似てきた……
芽衣子,嘘ぉ！？
乃々,強引さもどっこいどっこいなんですけど。たち悪ぅい……
芽衣子,不名誉かもっ！
むつみ,…………
乃々,我がって……
雪美,芽衣子……ただの……アイドルなのに……
むつみ,…………
雪美,……開き直った……？
乃々,……あー。こうなったら止まらないんですけど……
雪美,……あー……
乃々,……引きずられるぅ……
むつみ,…………。…………。行っちゃった……。…………。…………。冒険……か……。…………。……あ。けど私、名刺貰ってないや……
P,エイもいるなー
七海,ジンベイザメもいるのれす～。きょたい！きょだい！
P,さすがに中央大水槽は迫力が違うなー。何フロア分も縦に突き抜けてるのか？
七海,小魚もわらわら帯になって、球になって、キレイれすね～
P,……そだなー
七海,何時間眺めてても飽きそうにないのれす～
P,……おう。そうだなー
七海,……？Ｐ？
P,ん？なんだ？
七海,…………。また時計をみて…
P,ん。おっ、そろそろか……。七海、見てみろ
七海,えっ？……えっ！？
P,…………
七海,あっ……。水槽の色が……光が……あと……音楽……が？
P,…………
七海,…………
P,俺も情報だけで実際見るのは初めてだが……
七海,…………
P,結構いい感じじゃないか？ほら、なんていうか大人っぽくていい雰囲…きっ！？
七海,うりゃ！
P,……！？へっ？今……？。いや……今……えっ？。……！
七海,とりあえずＰの腕と頬っぺた、いただきなのれす～！
P,……なっ！ひ、人前でなんつーことを！。い、いや、しかしだな……。く、まずいだろっ……
七海,あ、あと、ちゃんとお魚たちを観るのれすよ～
P,うん？
七海,ぜったい絶対、よそ見しちゃダメれすし……こ、こっちを見るのもダメなのれす！
P,……七海？
七海,も、もっとお魚を観るのれす！
P,こぶしっ！？
七海,Ｐ？Ｐ？Ｐ～～っ！！
P,さ、叫ぶな叫ぶ……な……
乃々,……！！。……向こう。…………
雪美,……？
乃々,……今……キス……
芽衣子,えっ？何？
乃々,…………。……なんでも……ないんですけど……
芽衣子・雪美,………？
むつみ,……！！。…………。ほ、ほんとに恋人さんだったんだ……！
七海,本当に大丈夫れすか？。良かったれす～。七海も……落ち着きました～
P,……そっか
七海,う～ん！げんきっ！
P,……あー、……その、七海？
七海,……なんれすか？
P,さ、さっき……俺の頬に……あれさ
七海,ストップれす！
P,！？。…………
七海,だから……言われる前に言うのれす。…………。……好きれす！
P,！。…………
七海,少なくとも……今は、叶わないと
P,…………
七海,だから待っていて欲しいのれす
P,…………。……何を……だ？
七海,七海が帰ってくるのを、れす
P,……帰って？
七海,はいれす。いつか言いましたよね。七海はアイドルとしての海を泳ぐお魚さんだと
P,…………
七海,Ｐを残して川を下り、大海原に飛び出すお魚さんだと
P,…………。…………。…………
七海,待っていて欲しいのれす。いえ、待っていて……下さい
P,……！。……七海
七海,…………
P,…………。誰得て
七海,水族館、残りの展示内容も端から端まで楽しむれすよ～。そいや！そいやっ！
P,…………。……おう。……そうだな。ちょ、おいおい。引っ張るなって……。はいはい。あとでなー。…………。……ちゃんと考えなきゃな
