二宮飛鳥,…ハァ…今夜は、寒いな
飛鳥,…この季節は、心が落ち着かないな。…こんなにも、空は晴れているというのに。…別に、何を気にしているわけじゃないさ。…ボクは独りで出歩いているんだ、誰かと逢おうだなんて考えているわけじゃない。…あ…
モバP,あ゛ぁ゛～…やっと仕事終わった…。…もう10時前か…とっとと帰ろ…。うぅお寒っ…コート着てても結構冷えるな…。…もうちょっと静かに開いてくれ。1階…と。…何やってんの、こんな時間に
飛鳥,…や、やぁ、奇遇だね、こんな場所で
モバP,こんな場所って…事務所のビルの目の前なんだけど
飛鳥,まぁいいだろう、その、そんな瑣末なことは。ところでどうやら見たところたった今仕事が終わったようだね
モバP,まぁ、うん。今から帰るところ
飛鳥,あー…えっと、うん、奇遇だね、ボクもさ
モバP,で、飛鳥は何を？
飛鳥,散歩さ、ただ取り留めのない思考を廻しながら、ね
モバP,というかダメだろ、こんな時間に出歩いてちゃ
飛鳥,ダレもボクの意思縛り付ける事なんて出来ないのさ
モバP,…寮母さんに連絡しておくからな
飛鳥,あっいやそれはちょっと待、待って待ってまって
モバP,…ハァ、まぁ部屋に戻るときにバレないようにな
飛鳥,何、こう見えて細心の注意を払っている。ボクがここにいることは誰にもバレていないさ
モバP,お前みたいな可愛い奴が今夜な時間に外をウロつくなって言ってるんだ
飛鳥,かわっ…
モバP,もし何かあったらどうする。ファンにバレるだけならまだマシだ。それこそガラの悪い連中に………。……聞いてるか？
飛鳥,かわいい…ふへ…ッハ！？あ、ああ、聞いてるとも！
モバP,取り敢えず寮まで送って行くよ
飛鳥,え、いや君がわざわざそこまでしてくれなくても…
モバP,心配なんだよ、ほら行こう
飛鳥,ぁっ…
モバP,ん？どうかしたか？
飛鳥,いや…何でも、ない…
モバP,静岡はどうか知らないけど、こっちでは警察に補導されたりもするんだから、一緒にいないとな
飛鳥,…まぁ、そうだね
モバP,飛鳥の手、冷たいな
飛鳥,そりゃ、君より前から外にいたからな
モバP,なるほど。コンビニ、寄るか？
飛鳥,そうだね、コーヒーでも買おうかな
モバP,ん。カップ麺…パン…コーヒー…
飛鳥,…自堕落だな、自炊とかはしないのかい？
モバP,時間がね…休日はたまーにだけど作ったりするよ
飛鳥,まぁキミはいつも忙しそうだからな…
モバP,はは、誰か料理作ってくれる人がいれば助かるんだけどなぁ、なんて
飛鳥,…………
モバP,買うもの決まった？
飛鳥,あっ、えっと…う、うん
モバP,コーヒーだけで良かったのか？
飛鳥,まぁ、今から帰るだけなのにあまりたくさん買ってもね
モバP,なるほど、飛鳥も自堕落そうとか思ってごめん
飛鳥,そんなこと思ってたのか…
モバP,いやまぁ半分冗談だよ。…コーヒーあったけ…
飛鳥,…ああ、そうだね…
モバP,さて、帰るか
飛鳥,…………
モバP,…飛鳥？
飛鳥,あ、いや…何でもない…
モバP,ん？
飛鳥,………
モバP,…………
飛鳥,………その…
モバP,……
飛鳥,！
モバP,寒くないか？
飛鳥,…ん
モバP,ん
飛鳥,…帰ろうか
モバP,うん、帰ろう
飛鳥,この時期は、街は夜でも眩しいな
モバP,ん？…ああ、イルミネーションか。確かにクリスマスは終わっても少し明るいままだな
飛鳥,聖夜は終わり、世界は新年を迎えようとしている…なのに浮かれたままというのは、どうなんだろうな
モバP,…ふむ
飛鳥,………
モバP,まぁそうかもなぁ
飛鳥,キミにも理解るか
モバP,…うーん、まぁ飛鳥の言ってることも分かるよ
飛鳥,その言い方だと、キミの考えは違うのかい？
モバP,そうだな…。誰だってこの時期は寒いんだよ
飛鳥,…？そりゃ、そうだろう。冬なんだから
モバP,ああ、だから、温まりたいんだ。明るくいたいんだよ
飛鳥,それで、街を光らせて…というのは、こう言っては何だが安直じゃないかな
モバP,当然、街が明るければ温かいなんて、安直もいいところだな
飛鳥,…………
モバP,でも、こうやって手を繋いで、2人で一緒に見て、話して。きっと皆、それが欲しいんだよ
飛鳥,……キミは、ロマンチストだな
モバP,似合わないことを言ったかな
飛鳥,…まぁ、でも。…少なくとも、手は温かい、かな
モバP,着いたな
飛鳥,…着いたね
モバP,結局、門限はとっくに過ぎてるけど大丈夫か？何なら俺から寮母さんに…
飛鳥,いや、大丈夫さ。バレなきゃいい
モバP,不良娘め
飛鳥,そうかな
モバP,ああ、こんな寒い夜に出歩いて、コンビニで買ったコーヒーで温まるなんて、不良だ
飛鳥,説教をしているわりにはずいぶんと笑顔だな
モバP,楽しかったからな
飛鳥,…うん。ボクも、楽しかったよ
モバP,でも心配なのも本当だ。これからは1人での夜の外出は控えてくれ、いいな
飛鳥,ふふ、どうかな
モバP,飛鳥
飛鳥,なにせボクは不良だからね、不良っていうのはオトナの言うことには反抗するモノさ
モバP,…………
飛鳥,だから…
モバP,…ん
飛鳥,…だから、その
モバP,…ああ、その時は探し出してやる。そしたらまた一緒に帰るからな
飛鳥,…ああ。その時はまた、ボクの手を握って欲しい…なんてね
