日本各地でシロクロのタヌキ,CV：前野
野崎,あああああああああ！！！！。……今やあのタヌキを見ない日はないほどに増えてしまった……
御子柴,でもよ野崎……そのタヌキって歩いてるだけで誰にも危害は加えてないんだろ？
野崎,俺にはある！家の中でも前野さんの声が聞こえる日々が続き……鬱に近い状態になってしまった！！
若松,それだけその人のことが嫌いなんですね……
堀,そんで……俺達を呼んだ理由ってのはまさか……
野崎,はい……俺達四人で未来機関と題した組織を作り……前野タヌキを撲滅します！！
若松,ぼ、撲滅！？
野崎,このままだと日本は前野さんに乗っ取られてしまう！！今は大人しいが後に日本を侵略する！！そうなる前に大人しい段階でタヌキの息の根を止める！！
御子柴,か、考え過ぎじゃねえか？
野崎,お前は前野さんのなんたるかを分かってない！！
御子柴,うおおっ！？
堀,落ち着け野崎
野崎,す、すいません……その……みんな、協力してくれるか？
若松,俺、野崎先輩のためならなんでもやります！！
御子柴,……この俺が力を貸すんだぜ？感謝しろよ
堀,ここは先輩として後輩の悩みを解決してやらなきゃな
野崎,ありがとうみんな！！
佐倉,野崎くん……ここ最近は休んでばかりだ……。家にお見舞いに行ったけど留守だったし……電話にも出ない……。野崎くんだけじゃない……みこりん、堀先輩、若松くんも……。みんな……どこに行っちゃったの？。今、家には誰にもいないし……私が出なきゃ。はーい。うわあっ！？。な、なんで！？このタヌキって暴力は振るわないんじゃなかったの！？。い、いっぱいいる！！？。に、逃げなきゃ！！。きゃっ！。は、離して！！お願い！！。！！。私……死んじゃうの？。お願い……誰か助けて……野崎くん……。やめてえええええええ！！。……？
堀,大丈夫か佐倉！！
佐倉,堀先輩！？
堀,くそ……もうこんなにいやがるのか
佐倉,先輩……今までどこに行ってたんですか！？野崎くんは！？
堀,ああ、今すぐにでも全部話してえが……今はそれどころじゃねえ。あのタヌキ軍団をなんとかしなきゃな
佐倉,ど、どうやって……？
堀,こいつを使う
佐倉,……定規が二つ？
堀,こうやってクロスさせて……振りかぶれば……。……おらあ！！
佐倉,タ、タヌキが爆発した！？
堀,こうやって倒すんだ
佐倉,……あ、アニメのOPの再現かぁ
堀,佐倉、お前は先に逃げてろ
佐倉,で、でも！先輩が……
堀,俺なら大丈夫だ、それに武器を持ってないやつがここにいたら危険だ
佐倉,先輩……
堀,お前はあそこの塔を目指せ、あそこならタヌキは来ねえ
佐倉,あの……先輩はどうしてこうなったか知ってるんですか！？それに野崎くんは……
堀,いちいち説明してる暇はねえ！！早く行け！
佐倉,は、はいっ！
堀,さて……覚悟しろよお前ら！！。おらああああ！！！
佐倉,はぁ……はぁ……。野崎くん……どこにいるの！？。！！こ、ここにもたくさんタヌキが！？。！。や、やめて！離して！。本当に離した！！？。あれ……タヌキがみんな止まった？。！この歌声って……
瀬尾,〜〜♪
佐倉,結月！！？
瀬尾,……！おー千代じゃん！！
佐倉,結月もタヌキから逃げて来たの！？
瀬尾,いや、コンクール近いから歌いながら歩いてただけ
佐倉,ええっ！？
瀬尾,あ、あとさ。さっきからタヌキによく会うんだけど私の歌声聴く度に止まるんだよね、タヌキ達
佐倉,もしかして……私が襲おうとしたタヌキが離して止まったのは……結月の歌声を聴いたから！？
瀬尾,分かんね
佐倉,また現れた！！
瀬尾,歌ってみよっか？
佐倉,う、うん！お願い！！
瀬尾,〜〜♪
佐倉,す、すごい！！本当に止まった！！。と、とにかく安全な所に行こう！向こうにあるあの大きな塔が安全なんだって！！
瀬尾,おー分かったー
佐倉,それにしても……野崎くん、どこにいるんだろう。……そうだ、ダメ元でもう一度電話してみよう。……やっぱり駄目か。野崎くん！？
瀬尾,えっ、なになに、野崎と電話してんの千代
佐倉,野崎くん！今までどこに行ってたの！？私、心配で心配で……。わ、私は……今は結月と一緒に暴れてるタヌキから逃げてて……これからタヌキが来ないでかい塔に向かってるの！！。本当！？す、すぐに行くね！！。な、なんで野崎くんが謝るの？。ええっ！？。う、うん……ニュースになったしね。やっぱり……。野崎くん……。……野崎くんにとってあのタヌキの存在はかなり精神的にくるよね……壊そうとするのも無理はないよ。もしかして……それで私達に暴力を！？。捕まったの！？若松くんも……堀先輩も！？
瀬尾,えっ、若捕まったの。なんで？
佐倉,み、みこりんは！？みこりんは大丈夫なの！？。追っ手……？。希望の戦士……。う、うん！。えっ！？ま、待って野崎くん！まだ聞きたいことが……。切れちゃった……
瀬尾,ねーねー千代。なんで若は捕まったの？万引き？
佐倉,えっとね……タヌキをやっつけちゃって……それで飼主が怒っちゃった……みたいな感じかな
瀬尾,へー……。……ん？捕まってるってことは……。あははははは！！
佐倉,なんで笑ってるの！？。とにかく……野崎くん達があの塔にいるから助けなきゃ！行こう結月！
結月,おー
？,うわあああああああ！！！
佐倉,！今の悲鳴って……
瀬尾,あれじゃね？
佐倉,……あっ！
鹿島,本当に君はキャワイイね……開発してあげるよ
御子柴,や、やめろぉ///
佐倉,鹿島くん！？
瀬尾,何やってんだあいつ
佐倉,みこりん！鹿島くん！
瀬尾,おーっす
鹿島,……！千代ちゃんと先生……
御子柴,さ、佐倉！助けてくれぇ！！
佐倉,も、もしかして……希望の戦士って……鹿島くん？
