モバＰ(以降Ｐ表フゴフゴ！）,…
Ｐ,……。………。……ふぅ。………。…ふむ。…。……。………。よし
ちひろ,よし、じゃないですよ
Ｐ,あれ、いたんですかちひろさん
ちひろ,ずっと真向かいで仕事してましたよ。何してるんですか
Ｐ,何をしているように見えます？
ちひろ,大量のカレーが入ったお鍋の蓋を開けているように見えますね
Ｐ,惜しい。鍋じゃなくて寸胴です
ちひろ,どうでもええわ
Ｐ,いや、だってほらカレーってふとした時に無性に食べたくなりません？
ちひろ,働いてください。って畜生全部終わらせてやがる
Ｐ,よしよし、いい感じに出来てる。チッヒも食べます？
ちひろ,勤務時間中に事務所の中でカレー頬張るのってどうなんですか？。大盛りでお願いしますね
Ｐ,マッテローヨ。ちひろさんってカレーはご飯で食べる派ですか？パンでいく派ですか？
ちひろ,そうですねぇ…って聞きながらご飯にかけてるじゃないですか
Ｐ,はい、あったかいものどうぞ
ちひろ,はぁ、あったかいものどうも。…スタドリとか入ってませんよね？
Ｐ,食べ物を悪用するな、というのが我がＰ家代々の家訓でして
ちひろ,まぁ、良い匂いですし大丈夫だろうと信じてあげます。…バーモントですか？
Ｐ,え？カレーは熟カレー一択でしょう
ちひろ,こくまろ派の私に向かってよく言いましたね。うまっ！
Ｐ,沢山ありますから。おーい、食べたかったら遠慮しないでいいからなー
芳乃,ではではー
あやめ,ニニンッ！
乃々,く、空腹にスパイシーな香りは暴力です…胃酸過多になるんですけど…
ちひろ,わわっ、あちこちから
Ｐ,冗談で声かけたら思いの外潜んでたわ
ちひろ,あの、芳乃ちゃん？今一体どこから…
芳乃,ほー？
Ｐ,それじゃ３人の分も用意してくるか。量はどのぐらいにする？
あやめ,Ｐ殿！わたくし大盛りでお願いしますっ！
芳乃,ご飯並盛りルーマシマシでー
乃々,ふ、普通ぐらいでお願いします…
Ｐ,あいよ、大盛り３つだなー
乃々,選択肢無いんですけど！
あやめ,おおっ、何とも食欲をそそるこの香り…屋根裏でどれだけ唾を飲んだことか
Ｐ,お腹空いたなら素直に下りてくればいいのに
乃々,大振りにカットされた豚肉がゴロゴロと入っているところが武骨ながらシンブルに見た目にも食欲を刺激してくるんですけど
Ｐ,食べ物に関しては意外と流暢になるのな森久保
芳乃,おかわりでふふぇー
Ｐ,早ぇ
ちひろ,それにしても本当に美味しいですね。ほんと、プロデューサー辞めてそっちの道行けばいいのに
Ｐ,自分のため以外に飯作りたくないんですわ、基本的に
あやめ,美味しい！
乃々,お、お店で食べるようなカレーより家で作るカレーに近いんですけど、コクがあるというか味に奥深さがあるというか
あやめ,ニンジン、ジャガイモにタマネギにお肉。具は普通のカレーと変わらないように見受けられますが…
ちひろ,何ですかねコレ。隠し味とか入れてますよね？
Ｐ,色々入れてるから説明始めると４レスぐらい使うぞ
ちひろ,あ、じゃあいいです
Ｐ,え、ひどくない？
あやめ,わたくし、実家では何故かカレーに厚揚げが入っていました…ニン
乃々,あ…も、もりくぼのお家は時々ちくわが入っている時が…
ちひろ,カレーってその家独自の特色がありますよね
Ｐ,ハハッ、ならさしずめちひろさんの家では小銭でも入ってましたか？
ちひろ,フルボトルにしてやろうか
Ｐ,ヒィィッ
芳乃,おかわりでふぃふぇえー
あやめ,Ｐ殿はいつもポークカレーなのですか？
Ｐ,豚肉が一番安くて使いやすいから豚カレーにする事は多いな。ちなみにこの肉は時子ん家からの差し入れです
ちひろ,ああ、通りで美味しい訳ですね
芳乃,乃々殿がーハムスターのようになってしまっておりますー
Ｐ,うん、やっぱりカレーはドロッとしてる方がいいですね
ちひろ,そうですか？私はどちらかと言えばもうちょっと水っぽい方が好きですけど
あやめ,あっ、わたくしドロドロ派に一票ですっ
乃々,ど、どちらかと言えば……ドロドロ？
ちひろ,あれ、私少数派？
芳乃,どちらでもー
あやめ,わたくしの家では炒めた小麦粉を入れてとろみを加えておりました
Ｐ,へぇ、浜口家結構本格派だな
あやめ,しかし何故か厚揚げを入れるのです
Ｐ,いや、別にいいじゃん。不味くはないんだし
乃々,…思い返すと、こんにゃくも入っていた事があったような…
ちひろ,それ、もしかしておでんを再利用していたんじゃあ
乃々,っ！ど、どおりでがんもも入っていたと…
Ｐ,煮物の残りをカレーにするのって結構定番だよな
ちひろ,ありますねぇ。そしてカレーの残りはカレーうどんになると
芳乃,おかわりれふぃへー
Ｐ,お前さんさっきからペース早くない？
あやめ,あっ、わたくしもお願いしてもよろしいでしょうか？
Ｐ,あいよ。沢山食べて閃乱カグラ体形になるといいさ
あやめ,ハードル高いですな！
Ｐ,じゃあＤＯＡ？
ちひろ,やめてさしあげなさい。お店のカレーはもちろん美味しいんですけど、こういう家カレーの謎の安心感はお店では味わえませんよね
乃々,あふふっ、じ、ジワジワ辛さが来たんですけど…流石いぢわるプロデューサーさん…油断した頃にこの仕打ちなんですね
Ｐ,中辛と甘口のルゥ混ぜたんだけど森久保のお子様舌じゃコレでもきつかったか
乃々,どうせお子様ですけど
Ｐ,うし、ちょっと待っとれ。飲み物持ってくる
芳乃,おかわりでふー
Ｐ,カレーは飲み物じゃないぞ芳乃さんや
あやめ,わたくしもあまり辛いものは得意ではありませんから、このぐらいが有難いです。流石はＰ殿ですね
ちひろ,いえいえ、単にあの人も辛口が食べられないお子様舌なだけですよ
Ｐ,今、俺のことを笑ったか？
ちひろ,気のせいですよ。あれ、それは牛乳ですか？
Ｐ,似たようなもんです。注ぐから各自飲み物欲しかったらグラス出して
あやめ,お願いいたしますっ
ちひろ,じゃあ私も
乃々,辛いんですけど…お口の中ひりひりするんですけど
芳乃,ほー
Ｐ,人のほっぺたにグラス押し付けないで
あやめ,甘くてほんのり酸っぱい！
乃々,ふぉぉぉ……あっという間にお口の中がリフレッシュしました…え、クロレッツ？
ちひろ,あ、コレもしかしてラッシーってやつですか？
Ｐ,ええ。この前及川牧場からドン引きするぐらい乳製品送られてきたのを思い出しまして
芳乃,ヨッシー？
Ｐ,ラッシーな
あやめ,このまろやかな甘さと程よい酸味…これはまたカレーが欲しくなりますね！
乃々,ほわぁぁ……こ、これ飲んだ後にカレーを食べるとまた一段とスパイスの風味味わいコクが鮮明に口の中に広がってくるんですけど！
Ｐ,森久保今度からグルメロケやる？
芳乃,そなたーそなたー、アッキーおかわりですー
Ｐ,ラッシーな。流石に同僚を飲んだらアカン
ちひろ,これホントに美味しいですね。どうやって作るんです？
Ｐ,ヨーグルトに牛乳入れてよく混ぜるだけです
ちひろ,お手軽っ
Ｐ,本格的な作り方はまた別ですけど、家庭で作るにはそんなもんで十分ですよ。レモンやハチミツ、シナモンなんて入れたりしても美味しいです
あやめ,うぅ…そろそろお腹一杯になりかけていたのに…辛いのと甘酸っぱいのが交互に来たら無限連鎖ではありませんか！
Ｐ,はいニンジャさんおかわり入りましたー
乃々,森久保のお家…カレーに隠し味でヨーグルト入れてました…
ちひろ,ああ、よく聞きますよねそれ。まろやかになって美味しいんですよねぇ
あやめ,わたくしの実家は牛乳を入れておりましたが、ヨーグルトは確かに美味しそうですね
Ｐ,マイルドになって食べやすいんだよな。逆に乳製品一切使わないでブイヨンとか鶏ガラでルゥ伸ばして作るスパイシー系も嫌いじゃないけど
ちひろ,やめてください。食べたくなるでしょう
芳乃,おかわりふぉー
Ｐ,何杯目だよ
乃々,そういえばこの前…小梅さんたちとロケでカレー屋さんに行ったんですけど…
ちひろ,あぁ、ありましたね確か。輝子ちゃんとまゆちゃんも一緒でしたよね
乃々,は、初めてあんな本格的なカレー食べました…ビックリしたんですけど
Ｐ,わかる。辛いんだけど手が止まらなくなるんだよなぁ
