杏,ねー屋根裏ゴミどうするのよー
双葉,早く、選んでくれよー
真,分かっている？
春,どうするの？
千早,どうなんです？
一二三,どうします？
妙,どうするの？モルモット君？
川上,君…どうしたいの？
大宅,どうすんよ？
冴,どうなの？
屋根裏,…。うーん、しかし一人に選ぶなんてできない。どうしたらいいんだ？
テレビ,…と、言うことで少子化緊急対策法、通称一夫多妻法案
屋根裏,！？
テレビ,この法案は、我が国の少子化対策を一環として与野党協議の末、可決されたものであり。翌月に実施となります
屋根裏,こ、これだ！。すみません、こちらで、一夫多妻制の説明会が行われていると、伺ったんですが…
役人,ご参加希望ですか？こちらが会場になります
屋根裏,はぁ…男性が多いですね
役人,いくつか、既にテストケースで、一夫多妻制を開始されている男性がいるので、お話を聞いてみては、いかがでしょうか？
屋根裏,どいつも、こいつも成金みたいなオヤジばかりだな。まあ、金がかかるから当然か。ん？若い男がいる
キタロー,…
屋根裏,こんにちは
キタロー,…こんにちは
屋根裏,話いいですか？
キタロー,いいよ
屋根裏,随分、お若いんですね
キタロー,うん、一回死んだから
屋根裏,…？。奥さんは何人います？
キタロー,7人
屋根裏,多いですね。俺が言えないけど。どうして一夫多妻に？
キタロー,僕は元々みんなこの制度を利用する気はなかったんだけど。僕の妻達が利用するよう強要されてね。それで一夫多妻になったんだ
屋根裏,それまでどのような女性関係を？
キタロー,えっと死んでたけど、みんなが頑張ってくれて生き返ったんだ。感謝していると女子達が、みんなが借りを返せ、って言い出して。それでみんなと付き合っていたんだ
屋根裏,借り？
キタロー,セックスだよ
屋根裏,おいおい
キタロー,まあ、僕も性欲は溜まっていたし、軽い気持ちで彼女らと関係を持ったんだ。そうやって遊んでいたら、みんな孕んだ。それで、責任取らされたんだ
屋根裏,
キタロー,まず、ゆかりって嫁に、激しい暴行を受けて気絶したんだ。その後、気がついたらベッドに寝かされて、犯されたんだ。彼女危険日でバッチリ狙われたんだ。それで、責任取らされた。美鶴っていう年上の嫁がいるんだけど、子作りを強要されて。そのまま押し切られて、そのまま寝た。それで命中した。三人目は風花って嫁で。料理を食べさせられたんだ。媚薬を盛られて、気がついたら風花を抱いていたんだ。覚えてないけど、何回も中出ししたみたい。それで、責任取らされた。4人目は千尋っていう子で。一方的に、他の女を殺す、って言い出したから。落ち着かせるために、抱きついてそのまま寝た。避妊は、させてくれなかったんだ。それで、責任取らされた。5人目は、結子っていうんだ。浮気とか嫌いだから一夫多妻も嫌がると思ったけど。ずるずると関係続けて気づいたら妊娠してた。6人目はいさ子っていうんだ。僕の元先生でね…
屋根裏,先生…
キタロー,年齢が年齢だけに重い人で、面倒だから別れようとしたら。妊娠していて、責任取ったんだ。７人目はエリザベスっていう外国人？みたいな人で…。僕が死ぬ前に残した遺伝子で受胎したらしく、子供がいたんだ。だから責任取って一緒にいる。まあこんな感じに一夫多妻になったんだ
屋根裏,……大変ですね。ちなみに、今どんな生活をしているんですか？
キタロー,彼女たちが家を用意して、そこで共同に暮らしているよ。僕は妻達の仕事手伝うこともあるけど、基本は主夫として子作りと子育てと性欲処理に専念かな…
屋根裏,生活費とかは？
キタロー,彼女達で資産は十分だし、僕自身国から研究費用が出ているから、問題はないよ
屋根裏,夜の生活はどうなっているんですか？
キタロー,ちょうど七人だからローテーションには便利だよ。妻曰く、僕を見張ってないと孕ましそうだからだって
屋根裏,ふーん、なるほど。ありがとうございます。参考になりました
キタロー,うん、また
屋根裏,変わった人だな、でもカリスマ性は凄い。ん？もう一人若い男が居る
番長,やぁ、なんだい？
屋根裏,話を聞いても？
番長,ああ、歓迎する
屋根裏,番長さんはどうしてこの制度を？
番長,簡単だ。俺の性欲が止まらなかったんだ
屋根裏,
番長,だから、この制度が施行されて、真っ先に申請したんだ
屋根裏,そうなんですか、奥さん達はどうやって説得したんですか？
番長,ああ、一人一人回って説得して、納得してもらえた
屋根裏,説得？
番長,一人目は雪子というんだが、温泉旅館の女将なんだが…。都合のいい女でいいと結婚を認めてくれた。二人目は千枝というんだが、田舎で警官をしていて、旅館で待ち合わせてしてそのまま犯して孕ませた。他の女と婚約していることも伝えると、千枝は怒ったが、子供に罪は無いと一夫多妻を認めてくれた。次はりせっていう…知っているか？アイドルなんだ
屋根裏,ええ…、ポスター持っています
番長,そうか、りせは普通にやれた。それで責任取るなら許してくれた。次は直斗というんだ、知っているか探偵王子っていうんだ
屋根裏,探偵？
番長,ん？どうした？
屋根裏,いえ、知り合いに探偵がいて
