？,例のブツは？。こちらです。これが栃木名物のうどん……。苺のです。ありがとう。ありすちゃん。これで野望が叶えられるわ。わわっ、静香さん。名前を出すと……。……行きましたね。それじゃあ。これで……。はい。良きいちごライフを
何日か遅れのキャシー･グラハム,乙女座
チノ,はい……わかりました
ココア,もうすぐ来るって？
チノ,はい、シャロさんがそこの角で見たそうです
マヤ,それじゃあ、このバズーカの出番だな！
リゼ,バズーカじゃない！多目的ガンだ！
メグ,それより、もう来ちゃうよぉ
ココア,それじゃあ、配置について……
青山ブルーマウンテン,あらあら？私の誕生日は来月なんですが
ココア,間違えた！？
キャシー,ごちうさ第三期！
瑛梨華,並びにOVA、D･A･Y･O
そら,こんぐらちゅえーしょん！
ココア,ありがとう！みんなぁ！
千夜,ですって
チノ,いつからお二人まで？
シャロ,まったく、お祝いするつもりでお祝いされちゃ、世話ないわね
リゼ,サプライズするはずがサプライズされるとはな
キャシー,これ、お祝いの重焼麺麭と
瑛梨華,手作りの生チョコY･O
そら,かな子ちゃんに習ってきたからべりーやみーだよ
メグ,わぁ～おいしそう
リゼ,じゃあこちらからもプレゼントだ。私達からはこのコーヒー豆を
そら,たぬきさんのぱっけーじ？
ココア,ジャアクネコだよ
チノ,違います。ジャコウネコです
キャシー,ジャコウネコ？
瑛梨華,もしかしてコピルアクK･A･S･H･I･R･A？
シャロ,よく知ってるわね。飲んだことあるの？
キャシー,私たちじゃなくて、菜々さんや志保さんがね
千夜,あのお二人なら……そうね知っていそうね
マヤ,ねぇねぇ、飲んでみないの？そのう○こコーヒー！
チノ,マヤさん！！
キャシー,で、言ったのヨ
千夜,あら？じゃあ、うちの秋の新作メニューは名前を変えないとね
シャロ,あぁ、あの栗きんとんとぼた餅ね
そら,栗きんとんが月でぼた餅が夜をいめーじしたのかな？
リゼ,多分そうだな
ココア,そんなことしなくても、抱き付いた時にこっそりやっちゃえばいいのにねぇ
チノ,ココアさん！！
メグ,(///)
マヤ,どったのメグ？
メグ,な、な、なんでもないよ～
ココア,いらっしゃいませ！
凛,cv木村珠莉
リゼ,青山さんのことなら
青山ブルーマウンテン,
シャロ,何で人のスカートの中に隠れようとするんですか！
青山ブルーマウンテン,今日は白なんですね
千夜,シャロちゃん……また洗濯忘れたの？
シャロ,うきゃー！リゼ先輩の前でそんなこと言わないで！！
キャシー,……
瑛梨華,あ、何か思いついたW･A･N･E
そら,今度のらいぶのネタかな？
キャシー,それじゃあそろそろ、ぶぶづけの時間だワ
千夜,困ったわ。ぼた餅に使ってるからご飯が足らなくなるわね
シャロ,そういう意味じゃないわよ……
そら,それじゃあ第三期までふぁいとだよ
瑛梨華,特にリゼさんはN･E
リゼ,……耳の痛い話だな
ココア,そうだよ、琴葉ちゃんも困ってたんだよ
チノ,……どちら様ですか
メグ,cv村川梨衣
マヤ,地味に中の人ネタだな
ココア,メタいよ！
瑛梨華,それじゃあ今日はありがとうN･E
そら,しーゆーねくすと！
ココア,お姉ちゃんに任せなさい！
チノ,またココアさんは……え？
キャシー,そっか……ココアはもう年上なのネ
瑛梨華,こっちは年を取らないせいD･E……
そら,どんとうぉーりー……
ココア,あははは……連載開始の時は同い年だったのに、今じゃ年上でごめんね
シャロ,そういえば私たちが卒業すると、連載って終わるのかしら？
千夜,ひだまりスケ○チみたいに無理矢理引き延ばすか、けいお○みたいに新たなキャラで連載にするかよね
シャロ,……経験者は語るってヤツか
チノ,行きましたね
ココア,うん……また来るから大丈夫だよ
シャロ,ん？何か紙が……チケット？ひーふーみー……人数分あるわね
リゼ,まったく……お祝いするはずが
千夜,こっちが気をつかわれちゃったね
ココア,じゃあ、今度の日曜日はみんなでライブ会場に集合だね！
マヤ,お、ココアってばまた急に元気になったな
メグ,お友達と会えるからだよね
チノ,そうですね……その時はきっと
キャシー,で、愛海が言ったのヨ
モバP,以下P
キャシー,えへへ……やり過ぎちゃったカシラ？
P,当たり前だ！！
