ショタ提督,以下提督
天津風,…
明石,てへっ♪
提督,開幕から人をｲﾗｯとさせる天才だねお前
夕張,ﾒｰﾝｺﾞ♪
提督,お前らストレスで俺の事殺しにきてるだろ
明石,すみません、ウィルスが入った試験管をついうっかり手が滑ってしまい落としてしまって…
天津風,言動と回想がかすりもしてない！！ていうかこれ100%故意よ！！
夕張,投げられた試験管の先にいた私がちゃんと掴むことができていれば…くっ
提督,くっじゃねよその手に握っているもので掴めると思う！？それで掴めるものは絶望という名の未来だけだよ！！？
天津風,…それで、司令官はいつ戻るの？
明石,明日までには解毒剤作れますよ
天津風,じゃあ今日一日は小さいままね…仕事大丈夫？
提督,身体が小さくても出来るもんはある、別に気にすることでもない。しかし、タイミングが悪いな…
天津風,あなた？
提督,ああいや、なんでもない
天津風,？
提督,それにしても…
天津風,な、なにあなた…私の事じっとみて…
提督,お前、綺麗な顔してるな
天津風,！！！？はあっ！！？
提督,いつもお前の事見下ろしてたから気づかなかったけど、お前相当顔整ってるな、美人だわ
天津風,び、びびびびびびじびじびじんん！！？！？
提督,同じ目線の高さでお前の事見るの新鮮で面白いわ、この身体になって良かったことだなこれは
夕張,それ私達のおかげですよね
明石,褒めて褒めて～
提督,お姉ちゃん達！！死んでね！！なるべく苦しく！！！
明石/夕張,ありがとうございます！！！
天津風,どこにお礼をする要素が！！？
提督,…
天津風,やっといてあれだけどさすがに引くわあ、って顔してる…
北上,おーちっさいわーまじ
大井,生意気な提督の子供の頃ってやっぱり生意気そうな顔してるんですね
提督,頭いじるのやめてくれない？
時津風,しれぇーちっちゃーい、私と同じくらい？
提督,お前は同じ目線でも子供っていうか犬っぽいな
時津風,それどーゆー意味ー？
提督,目線の高さの違いで見え方が変わるって話だ、天津風見たときにそう感じてな
時津風,ふーん、で、天津風はどう見えたの？
提督,ああ、いつもより美
時津風,ちょっと天津風うるさーい
天津風,わわわ私の事はどどどどどどうでもいいじゃない！！！
北上,…ねえねえ、私のことはどう見える？見上げて見る北上様は？
提督,623P
北上,対空でるぅ。んじゃあさ、大井っちの事はどう見える？
大井,わ、私！？
提督,う～ん…
大井,う…ちょっと
提督,胸がでかくて顔がよく見えない。っっっっっっっっ！！！！！
大井,ただのエロガキじゃない！！
北上,どーどー
提督,いってー…もう冗談半分だって
時津風,それって顔が半分しか見えてなかったってこと？
提督,その通りさとっきー
提督/時津風,HAHAHA!!!!!!!
北上,さすがに九三式酸素魚雷20連発はやりすぎだわー
大井,死なないでしょこれくらいで、さ～行きましょ北上さん
提督,…生きてる？
時津風,艦娘じゃなかったら即死だね
提督,うん、大丈夫そうだ、丈夫だな流石に
天津風,あなたも大概よ…
時津風,んじゃあ私入渠してくるー
提督,おお、ゆっくりつかれよ
時津風,ういー
天津風,…さて、あなた、そろそろ仕事しましょ
提督,この身体になっても書類整理くらいなら出来るからな、サポート頼むよ
天津風,秘書艦だから、当然よ
提督,ありがとな
天津風,…！
提督,天津風？
天津風,あ！いや…さ、仕事仕事！
提督,お、おう…？
