ココナツ,まいどありー
ガキA,ありがと、ココナツ！
ココノツ,転ぶなよ
ガキB,わかってるよー！
ガキC,早くこれをボスのところへ
ガキB,そうだな、急ごう
ココノツ,え、ボス？
ガキA,わいわい
ガキB,きゃーきゃー
ガキC,わーわー
ココノツ,あいつらっていつもあの三人でうちの店に来るけど、ボスって誰だ？上級生かなんかにパシられてるのか…………。ここっていつも遊んでいる公園だよな……ボスって一体？
ガキ達,あ、ボス！買って来ましたよーー
ほたる,ふふ、なかなか早かったわね。ほめてつかわす
ガキA,それであの、言われた駄菓子買って来たんですけど、その…
ほたる,ふふ、みなまで言わずともわかっているわ……その駄菓子は全員の絆、みんなのものよ
ガキ達,ボスーーー！！
ガキB,あ、これは釣りです
ほたる,ふふ、釣りはいらねー取っときな！
ガキ達,ボスーーー！！
ほたる,ん、電話だわ！はいもしもし……。なんですって、この町に駄菓子ハンターが現れたですって！！わかったわ、ありがとうココノツくん！
ココノツ,しかも電話の相手僕だし………それに、駄菓子ハンター？
ガキA,ボス、駄菓子ハンターって………
ほたる,ええ、ついに来たわ……ココノツくんからの情報によると、この町の駄菓子屋から駄菓子を大人買いして独り占めしようとする悪いやつがやって来たみたいなのよ！
ガキA,そんな奴がやって来たのか、許せねえ！
ガキB,そうだ、みんなでやっつけようぜ！
ガキC,ボス、その駄菓子ハンターの特徴とかないんですか？
ほたる,情報によれば、その駄菓子ハンターはメガネをかけていて両方の手と脚がなくて、人一倍性欲が強いらしいわ
ココノツ,なんだよその意味がわからん設定は！？そんなのいるわけ___
駄菓子ハンター,あーあ、出馬出来ないなっちまったよ。ま、違う馬は出てたけどなww
ココノツ,って、いたぁーーー！！？しかも低レベルな下ネタ言いやがったよ！
ほたる,現れたわね！駄菓子ハンター"乙武"！！みんな、注意するのよ
ガキ達,はい、ボス！
乙武,チッ、憂さ晴らしにこの町の駄菓子全部買い占めてるーーー！
ほたる,そんなことはさせないわ！
ガキA,あれ？ボス、乙武の奴手と脚の先にうまい棒をつけてますよ！
ほたる,あれが乙武の修正の一つよ！駄菓子ハンター乙武は、手と脚が生まれつきなくて、ああやってうまい棒を腕と脚の先端につけることで手足代わりにしているのよ
ココノツ,いや、それただ食べ物で遊んでるだけでしょ！それが本当だったら哀れ過ぎるよ……
ほたる,あの手足となっているうまい棒こそが乙武の弱点なのよ！ちょうど私たちで四人分、あの四本のうまい棒を破壊してと乙武の動きを封じるのよ！
ガキ達,イエッサーー！
ココノツ,あんなの、ただうまい棒を折ってるだけじゃないか。あーあ、うまい棒もったいない……
ほたる,ふふふ、これで私たちの勝ちね
乙武,ﾊｧ…ﾊｧ………ふふふ、甘いぞ！
ココノツ,うわ、あいつズボンを脱ぎ始めたぞ！
ガキ達,うわぁーーー変質者だ！
乙武,ふふふ、俺にはまだこれがある
ほたる,なんですって………股間に、五本目のうまい棒が！！
乙武,えへへへ〜、姉ちゃんなかなかいい乳してるなぁ……
ココノツ,な、アイツ……ほたるさんのおっぱいをッ！？。こらぁーーーー乙武、ほたるさんをいやらしい目で見るな！
ほたる,ココノツくん！？いつからそこにッ！！
ガキ達,あ、ココナツの兄ちゃんだ！
ココノツ,大丈夫ですかほたるさん？
ほたる,ええ、それより大変なことになってしまったわ！乙武はまだ、股間にうまい棒を隠し持っていたのよ
乙武,うへへへへ〜〜
ココノツ,僕がなんとかします。ほたるさんはここから動かないで！
ほたる,ちょ、ココノツくん！？
ココノツ,ええい、これでも喰らえ……ココノツイマラチオーーーー！！
乙武,な、なに！？。ｲ、ｲｸﾞｩｩｩｩｩｩｩｩｩｩｩｩｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｯ///////////
ほたる,す、すごいわココノツくん！
サヤ,そんな、ココナツが………ココナツがぁーーーー！！
ガキ達,うえぇーーーーん、ココナツ兄ちゃんがぁーーーー！！
ヨウ,うう………ココノツよ、うちの店の跡取りがぁーーー
ほたる,みんな、泣いてはダメよ！ココノツくんは身を挺してこの町を駄菓子ハンターの手から救ったのよ。そんな彼のためにも、私たちは前を見て生きなくてはならないわ！
サヤ,うぅぅ………ほたるちゃん
豆,なんだよこれ………
