剣の乙女,以下、乙女
風の四天王,以下、風王
乙女,あら、そんなに私が変わったように見える？
風王,……そうだね、まるで別人だ
乙女,……愛する人が――彼女が出来た。私が変わったのは、それが理由よ
風王,成る程、そういう事……。…………えっ？。今、何て言ったんだい？
乙女,聞こえなかったのかしら
風王,ええ、と……勇者に、彼女が出来たのかな？
乙女,違うわ。この私、剣の乙女に――彼女が出来たのよ。……全く、勘違いしないで頂戴
風王,……いや、待ってくれ。えっ？君は女で……えっ、彼女？
乙女,それで？私に、何の用かしら？
風王,いや、ちょっと……その前に
乙女,どうしたの、不思議な顔をして
風王,君は……恋愛対象が、女性だったのかい？
乙女,運命の相手が、たまたま女だっただけ。……私は、彼女に会うために生まれてきたのよ
風王,……。そ、そう……なんだね
乙女,彼女の事が知りたい？良いわ、教えてあげる
風王,口を挟む暇すら与えてくれないのかい
乙女,私が、恋の相手に望んでいたものは、唯一つ
風王,……
乙女,この私よりも、強い事よ。彼女は……新しい仲間の彼女は、本当に強いわ
風王,……一つだけど、非常に厳しい条件だったんだね
乙女,私の剣戟の隙間を縫うように、攻撃魔法を飛ばし……
風王,それは……本当に、優れた使い手だね
乙女,時に前に出て盾となり、敵に大きな隙を作り出す……
風王,それは……敵としては、非常に厄介だね
乙女,ええ、本当に頼もしい仲間よ。彼女と出会えた運命に……感謝しないとね
風王,……敵の僕としては、素直に祝福出来ないな
乙女,けれど、突然現れても……信用出来ないでしょう？
風王,まあ、そうだろうね
乙女,だから、年長者としてお酒の席を設けたの
風王,お酒が入れば、本音も出るだろうしね
乙女,そうして、飲んでいたらね？。――お前は、相手に恵まれていなかっただけだ。――出会って来た男は、見る目が無かったらしい。……ですって！ふふっ！ねえ、聞いてる？
風王,……うん、まあ、聞いてるよ
乙女,それでね？彼女ったら、もうっ！
風王,……うん
乙女,あれよあれよと、酒場の上の宿を取ってね？
風王,……うん
乙女,……まあ、そんな感じで……ね？。私は……女の喜びを知ったの。やっ、やだもうっ！///何を言わせるのよ！///
風王,君が言い出したんだけどね？。それに、言いにくいんだけど……。……君のそれは、知ったかぶりだと思うよ
乙女,いいえ、私はそこで己の弱さを知ったわ
風王,己の弱さ？
乙女,ええ、そうよ……私自身ですら、知らなかったの
風王,剣の乙女である、君が？
乙女,この……右の鎖骨の、このライン。ここを舌でツウッとされると、なんだか凄いのよ
風王,ねえ、赤裸々すぎやしないかい？。けれど……それが、君が変わった理由か
乙女,そう、愛が私を変えたのよ
風王,……愛、か
乙女,私は、愛を知って――強くなった。……けれど、風の四天王。貴女は、弱くなったわね
風王,……はは、これは手厳しいね
乙女,今日の貴女は、どうしてまた男装をしてるのかしら？
風王,……女の格好をする理由が無くなっただけさ
乙女,ふぅん？そうなの
風王,それに、僕にはこっちの格好の方が似合うだろう？
乙女,いいえ、むしろ滑稽だわ。今の貴女は、女としての自分に自信が持てず……。踏み出した一歩を引っ込めただけだもの
風王,……君は、本当に厳しいな
乙女,今の貴女なら、目をつぶっても勝てるわ
風王,……へえ、試してみるかい？
乙女,死にたければ、かかって来なさい
風王,っ……！言うじゃないか！
乙女,ええ、見るに堪えないもの。敵とは言え、何かから逃げている貴女を見るのは。……ああ、臆病風でスカートがめくれるから、ズボンをはいてるのね？
風王,……！。随分と……舌が回るようになったじゃないか
乙女,彼女の舌技に比べれば、大したことは無いわ
風王,……急に惚気ないでくれるかい？
乙女,貴女が戦う気が無いってわかったから……つい、ね
風王,……確かに、君の言う通りだ。今の僕は……本当に、弱い
乙女,やっぱり、自覚はあったのね
風王,男など……そんな風に見下していた僕がだ
乙女,……
風王,一人の男が居なくなってしまっただけで、ね
乙女,違うわ。性別なんて……関係の無いわ。男だから？女だから？……そんなのは、些細な事よ。愛する、求めている人が消えてしまって、悲しい。……それだけでしょう？
風王,……。君は……何か、知っているのかい？
乙女,いいえ、何も。けれど、推測は出来る
風王,……
乙女,フラれたの？それとも、死んだのかしら？
風王,……忽然と、姿を消してしまったんだ。僕が、スカートをはいて行った……その夜にね
乙女,……馬鹿馬鹿しい。それで、また男装をするようになったの？
風王,……言いたくないな
乙女,じゃあ、言わせて貰うわ
風王,……
乙女,貴女が女の格好をして、男装をやめた事。それが、何かのきっかけになったと思ってるでしょう？。……そんな筈、有るわけ無いでしょう！
風王,……。……けれど、変わった事と言えば
乙女,それ以外に無い、とでも？
風王,……その通りだよ
乙女,……あのねぇ！。自信があるのか無いのか、ハッキリしなさいよ！。貴女が、男の格好をしたら、その男は戻ってくるの？。……ああもう！イライラさせないで頂戴！
風王,……。……だったら、僕はどうすれば良いんだ！
乙女,そんなの、私が知るわけないでしょう
風王,ああ、そうだろうね！君は、僕の敵だから！
乙女,ええ、だからこそ……私は知っているわ。風の四天王。――貴女は、探しものをするのが得意だ、って。それこそ……私の知らない方法も知ってるわよね
風王,っ――！！。彼を……探す……？
乙女,何？そんな事も思いつかなかったの？
風王,……考えもしなかった
乙女,呆れた……貴女、それでも四天王の一人なの？
風王,……ああ、僕は風の四天王だ。狙った獲物は――絶対に逃さないのさ
乙女,……どうやら、調子を取り戻したみたいね。風は、留まり続けるべきじゃないもの
風王,感謝するよ、剣の乙女。君は、僕の女々しさを見事に断ち切ってくれた！
乙女,……恋は盲目と言うけれど。時に……己をすら、見失わせてしまうのね。……。私は……彼女を見失わないよう、気を付けないと
火の四天王,剣の乙女よ！婚約が……！。パパが、婚約を解消しろと言ってきた！
乙女,……貴女、火龍王をパパって呼んでるの？。それより、婚約を解消って……もう、わかったから！！。一緒に良い方法を考えるから、ブレスを吐かないで頂戴！！
