向井拓海,お便り読むぞォォォ！！！
姫川友紀,ばっちこーい！
拓海,ラジオネーム山口俊メンバーからだ
友紀,後が怖いのでノーコメント
拓海,俺は岸が大好きだ！MCの二人は岸が大好きか？だとよ
友紀,北海道の監督さんかな？
拓海,岸孝之楽天
友紀,ほう、それはどうして？
拓海,細すぎんだよなぁ……もう少し肉があった方が好みだな
友紀,拓海ちゃんはクマみたいな大男がタイプ……っと
拓海,極短過ぎンだろうがよォォォ！！？。姫川・向井のヒットエンドラジオー！！！
友紀,今日で何回目の放送だっけ？
拓海,えーっと、いくつだ…？わかんねえな
友紀,わかんないのでたくさん！でいいよ
拓海,お、アーニャのステマか？
友紀,アーニャちゃんのたくさん！は好評発売中なんでみんな買ってあげてねー！
拓海,で、第何回なんだよ
友紀,7回だってさ
拓海,ラッキーセブンじゃねえか
友紀,言うほどラッキーさを感じないよね、ラッキーセブンって
拓海,言うほど点入ってるイメージねえよな
友紀,そして今日のゲストは…？
拓海,７にちなんだゲストが来るのか？
友紀,ウサミン来ちゃうの？
拓海,川崎球場のコトとか語られてもアタシ全く分かんねえぞ
友紀,さすがにそこまで遡らないと思うよ？
拓海,まあ７と今回のゲスト、全く関係ねえんだけどな
友紀,そうだね。じゃあゲストさん、自己紹介どうぞー！
諸星きらり,にゃっほーい！諸星きらりだよ☆
友紀,はいみんなー、にょわー☆してね、にょわー☆
きらり,にょわー☆
拓海,…………
友紀,拓海ちゃんほら、にょわー☆
拓海,ハァ！？ア、アタシもやんのか！？
友紀,ほら、せーの。にょわー☆
きらり,にょわー☆
拓海,にょ……にょわー☆。何でアタシまでにょわー☆しなきゃいけねえんだよ！！！
友紀,全国の向井にょわ海を待ち望んでるファンに向けてのサービスだよ
拓海,そんな奴全国に何人居るんだよ！！！
きらり,3人ぐらい居ると思うにぃ
拓海,少ねぇよ！！！ニッチ過ぎんだろうがよォォォ！！！
友紀,大将！今日もサービス旺盛だね！。話は変わるけど、きらりちゃんはどこのファンなの？
きらり,きらりはねぇ、スワローズのファンだにぃ☆
拓海,ついにスワローズファンが来たか
友紀,エイサ～イ、ハラマスコ～イってヤツだね
拓海,全然違うわ。東京音頭ヨイヨーイだろ
きらり,それ、杏ちゃんがやってたやつだにぃ
友紀,杏ちゃん…
拓海,諸星家は全員スワローズファンなのか？
きらり,うん！パパもママもスワローズファンだから、きらりも好きになったゆ！
友紀,ちょっと前だけど、アンチキャッツファンの受け皿みたいな側面もあったからね
きらり,パパにキャッツの話をすゆとね、とーっても不機嫌になるからえぬじーなのぉ
友紀,確定だね
拓海,確定だな
友紀,ところできらりちゃんは、特定の選手のファンだったりするのかな？
きらり,きらりはねー、山田哲人ちゃんのファンだにぃ☆
拓海,テテーテテーテテ♪
きらり,やまーだてつとぉ♪
友紀,妥当な所だねー
きらり,背もおっきくないのに、ぱこーん！ってホームラン打つとこが好きだにぃ☆
拓海,あのガタイはホームラン打ちそうな見た目じゃねえよな
友紀,細身でホームラン打つ選手はかっこいいけど、その逆だと何か嫌だよね
拓海,デカい図体だけど単打ばっかのヤツとかな
友紀,バレンティンの図体で内野安打連発したり、盗塁しまくってたらイヤでしょ？
拓海,いや、それはイヤとか通り越して気持ち悪いぜ
友紀,バレンティンほど、見た目とプレー内容が結びつく選手もいないよね
拓海,だな
※ココ…ウラディミール・バレンティン,ヤクルト
友紀,じゃあCM挟んだらお便りを読んでいきたいと思います
きらり,おたよりいっぱい来てるかにぃ？
友紀,そりゃあ、たくさん！来てるよ
拓海,何でビックリマークそこに入れた？
友紀,サブリミナル効果だよ、サブリミナル効果
きらり,さぶりむぇ……サブリミナル効果だにぃ
拓海,きらりもイチイチ言わなくていいからな？
きらり,ほーい
友紀,じゃ、CMいってみよー
相葉夕美,今日は・・・
拓海,ラジオの・・・
夕美,収録です！
拓海,・・・
夕美,ヨ・ロ・シ・ク！！
拓海,姫川・向井の・・・
夕美,ヒットエンドラジオ！！
友紀,なにイチャついてんねん。はいお便り読んでくよー
拓海,ジングル掘り下げねえんだな
友紀,ヤブヘビだから掘り下げません。バカップル乙
拓海,へいへい
友紀,ラジオネーム坂グッチ裕三さんからだよ
拓海,とんでもねえフュージョンしてんぞ
友紀,青木宣親選手がスワローズに復帰して、ついに通算打率がNPB1位になりましたね。凄いと思いますだって
拓海,4000打数以上が条件だったよな？
友紀,そうだね。4000打数オーバーで打率.327だって
拓海,バケモンだな
きらり,正直ね、帰ってくると思ってなかったにぃ
友紀,でも他の球団のユニフォーム着てるイメージも湧かないけどなー。青木選手ってどこ出身だっけ？
拓海,どこだ？
友紀,宮崎かぁ……ホークス？
拓海,ねえよ、ねえ
友紀,やっぱり青木宣親はスワローズだね
きらり,ノリちゃんも、ちっちゃな身体で頑張ってるにぃ☆
友紀,そんなに小さかったっけ？
拓海,アイツ175ぐらいなかったか？
友紀,まあプロ野球選手だと小さい部類かな？
拓海,屈んだようなフォームで打つから余計小さく見えるんじゃねえか？
友紀,あー
きらり,あー
拓海,次のお便りは、ラジオネームペンギンじゃないよからだな
友紀,つばくろうだよ
きらり,ペンギンってよく間違えられるにぃ☆
拓海,スワローズの顔とも言える存在のつば九郎ですが、中身がとんでもないオッサンだと思うのは僕だけでしょうか？
友紀,中に誰もいませんよ？
拓海,中身って言って大丈夫なのかオイ
友紀,カンペにリクエストしてみようか
拓海,いやアウトだろ！？
友紀,判定通りセーフで試合を再開します
きらり,つば九郎ちゃんは、けっこう腹ぐろーいと思うにぃ☆
友紀,つば九郎だから許されてる風潮あるよね
拓海,際どいライン攻め過ぎだろ
きらり,あとはねー、おしごと中に競馬の新聞よんでたりー
友紀,ご丁寧に赤ペンまで持ってたね
拓海,ガチのオッサンじゃねえか
友紀,一日ぐらい、中身を石井一久元ヤクルト
拓海,誰も気づかねえよ
きらり,絶対わかんないにぃ
友紀,セグウェイ乗って球場一周しだしたあたりであれ、もしかして中身石井一久？って怪しまれるぐらいだよね
きらり,つば九郎ちゃんがまた変なコトしてる～って言って流されちゃうと思うゆ
拓海,誰にも気づかれねえドッキリとか悲し過ぎるだろ
友紀,次はきらりちゃんに読んでもらうね
きらり,はーい！ラジオネームカラシシティーちゃんからだにぃ☆
拓海,街かよ
きらり,きらりちゃんは以前にマリーンズのお仕事をされてましたが、マリーンズのことは好きなんですか？
