上条春菜,プロデューサーさん、見てくださいあの子！
モバP,え、どれ？
春菜,あの子ですよあの子！ほら、眼鏡をかけたおさげの！
モバP,えーっと……。ああ、高山紗代子か
春菜,プロデューサーさん、知ってるんですか！？
モバP,ああ。今日の相手だよ。ライブバトルの
春菜,だ、誰が？
モバP,高山紗代子が
春菜,だ、誰の？
モバP,お前の
春菜,ということは、あの子はアイドル……？
モバP,そうだ
春菜,そ、そんな……！
モバP,急にどうした春菜
春菜,あんな、あんなにも眼鏡が似合うアイドルのことを知らなかったなんて……！この上条春菜、一生の不覚です……っ！
モバP,そんなに落ち込むようなことか？
春菜,そんなにです！紗代子ちゃんこそ眼鏡アイドル界に舞い降りた新星！きっと私の良き同志となってくれるはずです！
モバP,…………
春菜,こうしてはいられません！プロデューサーさん、さっそくご挨拶に伺いましょう！
モバP,まあ待て待て。とりあえず準備をしてから──
春菜,何してるんですかプロデューサーさん！早く行きますよ！
モバP,……春菜、765プロの控え室は左だ
高山紗代子,……
ミリP,紗代子、大丈夫か？
紗代子,……緊張はしてます。でも、この日のために一生懸命レッスンをしてきました！だから、きっと……
ミリP,そうだな、紗代子は頑張ってる。相手はアイドルとしては先輩だけど、その努力は絶対に無駄にはならないよ。全力でぶつかってこい！
紗代子,っ……はい！今の私の全力、見ていてください！
ミリP,あれ、誰だろう？
紗代子,スタッフさんかもしれませんね。私、出ます。はーい
春菜,失礼します！
紗代子,！？
ミリP,！？
春菜,はじめまして、346プロの上条春菜です！今日はよろしくお願いします！
紗代子,こ、こちらこそ、よろしくお願いします……
モバP,おい春菜！廊下を走るな！。……ああ、765さんすみません。ウチの上条が挨拶をすると言って聞かなくて……
ミリP,いえ、大丈夫ですよ。こちらこそすみません。我々から伺おうと思っていたんですけど……な、紗代子？
春菜,素敵な眼鏡ですね！それを選んだポイントとかありますか？
紗代子,えっと、形と色が好みだったので……
ミリP,ははは、すっかり話し込んでますね
モバP,すみません本当に。おい春菜！もう戻るぞ！
春菜,ええっ！？眼鏡トークはまだまだこれからですよ！？
モバP,高山さん引いてるだろ！迷惑かけんな！もし集中乱してたらどうするつもりだ？
紗代子,い、いえ！私は大丈夫です
モバP,ほら気ぃ遣わせてる。帰るぞ。こっちにも準備があるんだから
春菜,うう……紗代子ちゃん、ライブバトルの後、じっくりお話しましょうねー！
モバP,お前な、かけるなら眼鏡だけにしとけって俺は何度も──
紗代子,す、すごい人でしたね……
ミリP,ああ、噂通りの眼鏡ストだ
紗代子,め、眼鏡スト……？
ミリP,そうだ。眼鏡をこよなく愛する眼鏡アイドル、それが上条春菜ちゃんだよ
紗代子,……そう、なんですね
