Ｐ,……ふう。さすがにアニバーサリーは堪えるな……。どれ、こういう時はちひろさんのドリンクでも……。…………？。何だこりゃ、銀色のボトル……？。まあいいか。流石にちったあ休んだ方がいいだろ。飲んで寝よ寝よ……
ちひろ,おはようございまーす。あ、そうだ。Ｐさんが泊まりで残業してたんだっけ……。…………？
？？？,くぅ……くぅ……
ちひろ,……はっ！つい写真を大量に！？。折角だから後でＰさんに売りつけよっと……
？？？,…………むぅ？。ちひろ、さん……？
ちひろ,え？ああ、えっと、その……。おはようござい、ます？
？？？,ん？なんか声おかしいな……。あー、あー……
ちひろ,それで、どちら様で？鍵は開いていたかもしれませんが、事務所の受付はまだ先でしてですね……
？？？,……は？何言ってるんです？
P♀,俺ですよ、プロデューサーです。Pですよ
ちひろ,………………は？
P♀,……何だこりゃあ
ちひろ,えっと、すみません。あのボトル、試作のドリンクでしてね。回復には代謝なんかの細胞レベルで……
P♀,…………。……。……ふむ、サイズは充分……。ポテンシャル大ッ！。スカウト不要ッ！！。ちひろさん、俺デビューしますッ！！
ヘレン,私よ。Pがドリンクを飲んで女に、ですって？
ちひろ,……ええ。信じがたい話なのは重々承知していますが……
ヘレン,…………ﾌｯ。私の人生にはふさわしいレベルの事件ね
P♀,どうだヘレン、イケると思わないか？
ヘレン,流石私のプロデューサー。ナイスなレベルよ
P♀,さて、そうと決まればデビューの用意をしないとな。それと全員に連絡を入れておくか
ヘレン,貴方なら私のレベルについて来られるでしょうね
ちひろ,イヤイヤイヤ！流石に無理がありますって！！誰もがヘレンさんのように受け入れるとは限りませんし！それに、仕事はどうするつもりですか！？
P♀,はっはっは、ウチのアイドルはこの程度じゃあもう動じませんよ。それに２００人近くを一人に任せさせておいて何を今更
ヘレン,だいたい、元はと言えば貴方が原因じゃない
ちひろ,ぐう……(なんかヘレンさんに正論を言われるのが悔しい……)！
P♀,みんなーっ！今日も応援ありがとーっ☆
トレーナー,いや、ホント凄いですよね。レッスンや基礎トレも殆ど必要ナシ。自己管理までパーフェクト
P♀,いやあ、伊達にレッスン見学してませんからねえ。四六時中アイドル見てきたんですからこんくらいは
トレーナー,あ、お疲れ様でした
P♀,ええお疲れ様。打ち上げはパーッとやりましょうや
ちひろ,しかも男女の切り替わりもバッチリ、と……。副作用も見られませんね、今のところ
P♀,ああ。一応人間ドッグなんかも受けてみたが問題無し。カウンセリングで性同一性障害の疑いがあるとか言われたが、そりゃしゃあねえや。焼肉がいいッスねえ。明日はオフ取ってあるし
トレーナー,あらあら、人気アイドルが大丈夫なんですか？
P♀,いや、何かメチャクチャ腹減ってるんスよ。何でですかねえ
みちる,パン食べますか！？
法子,ドーナツもありますよ！
春菜,今ならメガネも付いてきます！！
P♀,気持ちはありがたいが、いや何かこう、肉をさ、食いたいんだよなあ……
茜,いいですね！！！！パーッとやっちゃいましょう！！！！
P♀,くぅ、くぅ……
みちる,お腹いっぱいになったら寝ちゃいましたね！
ちひろ,見て下さいよこの寝顔。永久保存版ですよこんなの
法子,いいなー。かわいいしセクシー
ちひろ,私が送って行くしかなさそうですね……。タクシー呼びましょうか
P,何か起きたら戻ってました
ちひろ,ようやく戻ってきた、って感じですねえ。効力は二ヶ月強、と……
茜,やっぱりこのプロデューサーの方がいいですね！！！！
P,うおっ！！？
P♀,いちち……。……ん、アレ？。戻ってる！！？……いや変わってる？
ちひろ,あー……副作用ってコレかも……
P♀,何……？ってことは……
ちひろ,？
P♀,引退とかどうしようかと思ってましたが、これなら問題なくアイドル活動出来ますね！
ちひろ,
P♀,みんなーっ！！これからもP♀のことよろしくねーっ☆。それじゃあ、次の曲はオールスターとも共演！お願い！シンデレラ行くよー！！
ちひろ,結局仕事のしわ寄せが来てるんですよー！うわーん！！
柚,ぺちぺちーっ♪
P,痛い痛い
楓,ふふっ……♪
P,痛っ、痛っ
周子,……何しとん？
柚,んー？Pさんがお昼奢ってくれるって言ってくれたのに忙しいくてムリっぽいってー。だからオシオキ
周子,何ー？それは許さーん♪
P,痛ェ！！
