七尾百合子,以下、百合子
ミリＰ,以下、Ｐ
百合子,！！
P,本で顔隠された
Ｐ,はぁ……
青羽美咲,以下、美咲
Ｐ,ああ、いえ……ちょっと耳貸してもらっていいですか？
美咲,？
Ｐ,……後ろのソファーに座った百合子が、こっちをチラチラ見てくるんです
美咲,百合子ちゃんが？
Ｐ,はい……ここ最近、なんか距離を置かれてるみたいで
美咲,……プロデューサーさん、何かしたんじゃないですかー？
Ｐ,そ、それが心当たりがないんですよ……。もしかして、俺のスーツになんか付いてる？
美咲,んー……大丈夫だと思います！
Ｐ,本当ですか？それなら良かった。この後営業なので……ゴミとか付いてたらどうしようかと
美咲,営業なんですか？
Ｐ,はい、テレビ局の方で打ち合わせが
美咲,それなら……
百合子,！？
Ｐ,あ、青羽さん？
美咲,ネクタイ、曲がってますよ？。はい！これでバッチリです！
Ｐ,ありがとうございます……気づきませんでした
百合子,……うぅ
Ｐ,それじゃ、そろそろ出ます
美咲,お仕事、頑張ってくださいね！
Ｐ,……はい！
美咲,……百合子ちゃんの事はどうするんですか？
Ｐ,うーん……でも、俺を遠ざけてるのに俺から聞くのも
美咲,それじゃ、私の方から話を聞いてみましょうか？
Ｐ,良いんですか？
美咲,任せて下さい！。それに女の子同士の方が、話しやすいと思いますし！
Ｐ,それじゃあお願いします、何かあれば電話下さい
美咲,はい、いってらっしゃ～い♪
Ｐ,いってきまーす！
美咲,…………♪
音無小鳥,以下、小鳥
美咲,……ひっ！？
小鳥,見てたわよ美咲ちゃん……！
美咲,お、音無先輩……そのですね
小鳥,新婚さんみたいだったわね……？
美咲,し、新婚さんですかー？……えへ～♪
小鳥,の、ノロケオーラ！？後輩にまでノロけられるなんて
美咲,の、ノロけてるわけじゃないですよ！？
小鳥,…………
美咲,……えへ♪
小鳥,そういえば……百合子ちゃん、さっきから何やってるの？
百合子,あぅっ……そ、それは
小鳥,プロデューサーさんの方じーっと見てたけど……
美咲,プロデューサーさん、遠ざけられてるのかもって悲しんでたよ？
百合子,そ、そういう訳じゃないんです！。その……なんとか話そうと思うんですけど。話そうと思えば思うほど……なんか、顔が赤くなってきちゃって
