本田未央,おっはよーございまーす！
渋谷凛,……
未央,しぶりん、おはよー！……あれ？何読んでるの？
凛,ああ、未央、おはよ
未央,それ……なんか難しそうな本だね、参考書みたいな？
凛,うん、そんな感じかな。最近、個性的なアイドルが増えて来たでしょ？歌と踊りだけじゃなくて、資格か何か身につけておけば活躍の幅も増えるかなって
未央,へぇ～！しぶりんいろいろ考えてるんだねぇ……ちなみにその本は？
凛,バーベキュー検定
未央,もっと他になかったの！？。なにその検定初めて聞いたよ……雑食にも程があるでしょしぶりん……
凛,違う違う、バーベキューだから、肉食だよ
未央,頼むから会話のキャッチボールをしてよしぶりん……。しぶりんがバーベキュー検定持ってます！とか言ってもファンの人たちポカーンとしちゃうよ？
凛,そうかな？私の見込みでは、ファンが3万5000人程度増える予定なんだけど
未央,皮算用が過ぎるよ！？
凛,キャー！焼いて！みたいな
未央,それをファンとカウントするのはデトロイト○タルシティの世界だけだからね？
凛,じゃあ他に何の資格があるのさ！
未央,なんで若干キレてるの！？
凛,ちゃんとした代案じゃなかったら……焼くからね？
未央,しぶりん絶対バーベキュー向いてないよ。代案って言われても……あ！最近話題の“野菜ソムリエ”とかどう？料理番組とか出れるかも！
凛,ああ、あのトマトを相手にぶつけまくるやつのこと？
未央,しぶりんの知識の偏りはどうやって巻き起こってるの？
凛,どうすればなれるの？肩には自信があるよ
未央,肩をウリにした野菜ソムリエとか絶対イヤなんだけど
凛,もっと、みんなを驚かせるような能力を身に着けたいんだよね
未央,そこは正しいのになんで一歩目がバーベキューに向かっちゃったんだろう
凛,他にピンときたのは、江戸文化歴史検定・新日本プロレス検定・船の文化検定とかなんだけど
未央,まずしぶりんのピンとくる基準を教えて？場合によっては帰るから。別に資格じゃなくてもいいでしょ？何か特技とかさ？
凛,あー、それもいいかも
未央,でしょ？例えば……マジックとか
凛,では……今からこの10000円分のiTunesカードを、ただの紙きれにしてみせます
未央,そういう心にくるのはやめて
凛,マジックって言ったのは未央の方なのに
未央,まあ確かにある意味魔法みたいに消えていくけど
凛,きらりが仕事に行きたがらない杏を働かせるのはマジック？
未央,それは物理学かな
凛,もう何でもいいから案出してよ！
未央,だからなんで怒るの！？
凛,そうだ！クイズ王とかどうかな
未央,おお！いいじゃん！インテリアイドルならいろいろ呼ばれるかも！
凛,じゃあ、何か問題出してくれない？
未央,いいよ！ジャンルは？
凛,アイオワ州について
未央,狭っっっ！！？？。作れないよ！！！カテゴリとして独立できるほどアイオワ州は謎を孕んでないよ！！！
凛,ええ……？ワガママだね……
未央,冗談でも言われたくなかったよ
凛,じゃあミズーリ州でもいいよ
未央,そのアメリカ中西部への自信はどこから来るの！？。もっと、こう……あっと言わせるような雑学とかさ……
凛,ああ、なるほど。じゃあ未央、スマホのバッテリー持ちが悪くなってきたなーって思った時、どうすればいいと思う？
未央,え！それ知らない！どうすればいいの？
凛,機種変更をするといいよ
未央,雑なだけの知識は雑学とは呼ばないんだよ
凛,じゃあ、もっと地味なやつでもいいかな
未央,一応聞くけど、例えば？
凛,日本さかな検定とか……
未央,なんでそうピンポイントで競合相手がいるの狙っちゃうかな！？
凛,まあシンデレラガールだし？
未央,逆に付け焼刃の知識でボコボコにされる姿を見たいって思えてきたよ。じゃあ、何か楽器でも始めてみたらどう？音感とかはあるんだしさ
凛,たまには良いこと言うね
未央,いちいち煽るね
凛,早速カスタネット買ってくる
未央,せめて音階がある楽器を！
凛,ピアノとかヴァイオリンとかはありふれてるから嫌なんだよね
未央,初心者が違いを求めても惨めなだけだよ？
凛,あ！ブブゼラとか！
未央,何をもってあ！って言ったの！？
凛,これもダメなの？
未央,ダメだよ！！レッスンルームでブブゼラ吹いてるしぶりんをどんな顔で見てればいいのさ！？
凛,ああ、頑張ってるなって
未央,思えるか！！！
凛,じゃあ逆に、得意な人から教わるってのはどうかな？
未央,よかった、しぶりんにも他人の話を聞くという発想はあったんだね
凛,ブブゼラが上手そうなのは……芳乃かな
未央,ブブゼラの流れ終わってなかったの！？あとよしのんはほら貝！！！
凛,似たようなものでしょ？
未央,吹く楽器全部ブブゼラに見えてるの？
凛,もう！文句ばっかり！これじゃ埒が明かないよ！
未央,もう諦めなよ！こんなしぶりん見たくないよ！
島村卯月,おはようございます！
凛,あ、卯月！なんか身に着けたら便利そうな特技とか知らない？
未央,いきなりすぎるよ
卯月,バーベキュー検定なんてどうでしょう！
未央,なんでそれが真っ先に出るの！？そんなメジャーな資格なの！？
卯月,じゃあ、格闘技はどうですか？護身にもなりますし！
未央,おお……しまむーっぽくはないけどいいかも……
凛,いいね、卯月は格闘技やってるの？
未央,いやいや流石に
卯月,はい！渋川流柔術を！
未央,怖い怖い怖い！！！
凛,私も、通信空手をやってた夢を見たことがあるから、互角ってとこかな……
未央,土俵に立ってすらないよ！！！
卯月,あと、語学とかもいいんじゃないですか？
凛,いいねぇ！いいねぇ！
未央,そのテンションは何！？
卯月,私はTOEIC960点くらいですけど、凛ちゃんなら満点も夢じゃないですよ！
未央,しまむーのスペックがアイドルやってる場合じゃないんだけど！？
凛,わ、私なら1000点は堅いかな
未央,TOEICは990点満点だよ！！
凛,結局いい案は出なかったね
未央,しぶりんはそのままでいてよ……
卯月,そうですよ！凛ちゃんは今のままで十分魅力的です！
凛,……ありがと、2人共
未央,じゃ、お昼でも食べに行かない？
卯月,いいですね！どこに行きましょう？
凛,バーベキュー！
未央,バーベキューはもういいよ！！！
